,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
2866,Andaman and Nicobar Islands,India,2020-06-11 03:33:41,33,0,33
2902,Andaman and Nicobar Islands,India,2020-06-12 05:09:52,38,0,33
13472,Andaman and Nicobar Islands,India,2020-06-13 03:33:14,38,0,33
13436,Andaman and Nicobar Islands,India,2020-06-14 03:33:15,38,0,33
21392,Andaman and Nicobar Islands,India,2020-06-15 03:33:14,38,0,33
21428,Andaman and Nicobar Islands,India,2020-06-16 04:33:09,41,0,33
5903,Andaman and Nicobar Islands,India,2020-06-17 04:33:21,44,0,33
5867,Andaman and Nicobar Islands,India,2020-06-18 04:33:18,44,0,33
12323,Andaman and Nicobar Islands,India,2020-06-19 04:33:17,44,0,33
12287,Andaman and Nicobar Islands,India,2020-06-20 04:33:19,45,0,35
21244,Andaman and Nicobar Islands,India,2020-06-21 04:33:19,47,0,36
21280,Andaman and Nicobar Islands,India,2020-06-22 04:33:20,48,0,37
9055,Andaman and Nicobar Islands,India,2020-06-23 04:33:22,48,0,37
9019,Andaman and Nicobar Islands,India,2020-06-24 04:33:28,50,0,40
5536,Andaman and Nicobar Islands,India,2020-06-25 05:26:54,56,0,43
5572,Andaman and Nicobar Islands,India,2020-06-26 04:33:43,59,0,43
13174,Andaman and Nicobar Islands,India,2020-06-27 04:33:35,72,0,43
13138,Andaman and Nicobar Islands,India,2020-06-28 04:34:04,72,0,43
6865,Andaman and Nicobar Islands,India,2020-06-29 04:33:44,76,0,45
6755,Andaman and Nicobar Islands,India,2020-06-30 04:33:48,90,0,46
15550,Andaman and Nicobar Islands,India,2020-07-01 04:33:52,97,0,50
19318,Andaman and Nicobar Islands,India,2020-07-02 04:33:46,100,0,50
10281,Andaman and Nicobar Islands,India,2020-07-03 04:33:54,109,0,51
10317,Andaman and Nicobar Islands,India,2020-07-04 04:33:51,116,0,54
1267,Andaman and Nicobar Islands,India,2020-07-05 04:33:46,119,0,66
1231,Andaman and Nicobar Islands,India,2020-07-06 04:33:57,125,0,72
17154,Andaman and Nicobar Islands,India,2020-07-07 04:34:00,141,0,74
17190,Andaman and Nicobar Islands,India,2020-07-08 05:33:48,147,0,75
11284,Andaman and Nicobar Islands,India,2020-07-09 04:34:23,149,0,77
11394,Andaman and Nicobar Islands,India,2020-07-10 04:34:24,151,0,83
14175,Andaman and Nicobar Islands,India,2020-07-11 04:34:26,156,0,92
14139,Andaman and Nicobar Islands,India,2020-07-12 04:34:30,163,0,93
3569,Andaman and Nicobar Islands,India,2020-07-13 04:43:04,163,0,93
3605,Andaman and Nicobar Islands,India,2020-07-14 04:34:46,166,0,109
7087,Andaman and Nicobar Islands,India,2020-07-15 04:34:39,166,0,109
7051,Andaman and Nicobar Islands,India,2020-07-16 04:44:59,176,0,130
22284,Andaman and Nicobar Islands,India,2020-07-17 04:34:50,180,0,133
22320,Andaman and Nicobar Islands,India,2020-07-18 04:34:45,194,0,142
5719,Andaman and Nicobar Islands,India,2020-07-19 04:34:58,198,0,145
5755,Andaman and Nicobar Islands,India,2020-07-20 05:34:40,203,0,145
7978,Andaman and Nicobar Islands,India,2020-07-21 04:38:46,207,0,152
7942,Andaman and Nicobar Islands,India,2020-07-22 04:34:42,212,0,159
20096,Andaman and Nicobar Islands,India,2020-07-23 05:15:04,221,0,163
20132,Andaman and Nicobar Islands,India,2020-07-24 05:30:40,240,0,170
12506,Andaman and Nicobar Islands,India,2020-07-25 04:47:39,259,0,174
12470,Andaman and Nicobar Islands,India,2020-07-26 04:35:00,290,0,176
4794,Andaman and Nicobar Islands,India,2020-07-27 04:35:02,324,0,182
4830,Andaman and Nicobar Islands,India,2020-07-28 04:58:43,338,1,192
21466,Andaman and Nicobar Islands,India,2020-07-29 04:35:11,338,1,192
21540,Andaman and Nicobar Islands,India,2020-07-30 03:35:26,363,1,196
1601,Andaman and Nicobar Islands,India,2020-07-31 03:40:34,428,2,201
1564,Andaman and Nicobar Islands,India,2020-08-01 04:36:27,548,5,214
12359,Andaman and Nicobar Islands,India,2020-08-02 04:34:47,636,7,226
4605,Andaman and Nicobar Islands,India,2020-08-03 04:34:35,734,8,242
4568,Andaman and Nicobar Islands,India,2020-08-04 04:41:59,830,10,263
8088,Andaman and Nicobar Islands,India,2020-08-05 04:34:43,928,12,277
8125,Andaman and Nicobar Islands,India,2020-08-06 04:35:02,1027,14,326
20392,Andaman and Nicobar Islands,India,2020-08-07 04:35:11,1123,16,355
20355,Andaman and Nicobar Islands,India,2020-08-08 04:34:53,1222,19,425
2938,Andaman and Nicobar Islands,India,2020-08-09 04:34:54,1351,20,500
2829,Andaman and Nicobar Islands,India,2020-08-10 04:34:55,1490,20,648
17412,Andaman and Nicobar Islands,India,2020-08-11 04:35:08,1625,20,709
17449,Andaman and Nicobar Islands,India,2020-08-12 04:27:29,1764,21,749
10723,Andaman and Nicobar Islands,India,2020-08-13 04:29:15,1900,21,829
10686,Andaman and Nicobar Islands,India,2020-08-14 04:51:19,2037,22,924
1675,Andaman and Nicobar Islands,India,2020-08-15 04:27:31,2186,24,1032
1712,Andaman and Nicobar Islands,India,2020-08-16 04:27:42,2306,24,1128
15067,Andaman and Nicobar Islands,India,2020-08-17 04:27:20,2399,28,1226
15030,Andaman and Nicobar Islands,India,2020-08-18 04:27:56,2445,29,1325
9759,Andaman and Nicobar Islands,India,2020-08-19 04:27:00,2529,30,1421
9722,Andaman and Nicobar Islands,India,2020-08-20 04:27:43,2604,30,1529
935,Andaman and Nicobar Islands,India,2020-08-21 04:27:41,2680,31,1638
972,Andaman and Nicobar Islands,India,2020-08-22 04:27:49,2747,32,1744
17006,Andaman and Nicobar Islands,India,2020-08-23 04:27:48,2808,32,1853
16969,Andaman and Nicobar Islands,India,2020-08-24 04:27:56,2860,33,1963
19576,Andaman and Nicobar Islands,India,2020-08-25 04:28:02,2904,35,2092
