Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Andhra Pradesh,India,2020-06-11 03:33:41,5070,77,2802,2191.0,1909143.0,12869.0
Andhra Pradesh,India,2020-06-12 05:09:52,5429,80,3048,2301.0,2058148.0,14263.0
Andhra Pradesh,India,2020-06-13 03:33:14,5429,80,3048,2301.0,1652557.0,10554.0
Andhra Pradesh,India,2020-06-14 03:33:15,5680,80,3105,2495.0,2057497.0,14259.0
Andhra Pradesh,India,2020-06-15 03:33:14,5965,82,3195,2688.0,2242643.0,14509.0
Andhra Pradesh,India,2020-06-16 04:33:09,6456,88,3316,3052.0,1984200.0,13527.0
Andhra Pradesh,India,2020-06-17 04:33:21,6841,88,3509,3244.0,228684.0,2028.0
Andhra Pradesh,India,2020-06-18 04:33:18,7071,90,3641,3340.0,237478.0,2113.0
Andhra Pradesh,India,2020-06-19 04:33:17,7518,92,3789,3637.0,2028661.0,13960.0
Andhra Pradesh,India,2020-06-20 04:33:19,7961,96,3917,3948.0,880138.0,7061.0
Andhra Pradesh,India,2020-06-21 04:33:19,8452,101,4111,4240.0,264633.0,2374.0
Andhra Pradesh,India,2020-06-22 04:33:20,8999,106,4331,4562.0,678352.0,5674.0
Andhra Pradesh,India,2020-06-23 04:33:22,9372,111,4495,4766.0,2060398.0,14301.0
Andhra Pradesh,India,2020-06-24 04:33:28,10002,119,4599,5284.0,1793072.0,11763.0
Andhra Pradesh,India,2020-06-25 05:26:54,10331,124,4779,5428.0,2019654.0,13874.0
Andhra Pradesh,India,2020-06-26 04:33:43,10884,136,4988,5760.0,2019965.0,13874.0
Andhra Pradesh,India,2020-06-27 04:33:35,11489,148,5196,6145.0,2044510.0,14094.0
Andhra Pradesh,India,2020-06-28 04:34:04,12285,157,5480,6648.0,2065657.0,14342.0
Andhra Pradesh,India,2020-06-29 04:33:44,13241,169,5908,7164.0,875244.0,6991.0
Andhra Pradesh,India,2020-06-30 04:33:48,13891,180,6232,7479.0,2053665.0,14208.0
Andhra Pradesh,India,2020-07-01 04:33:52,14595,187,6511,7897.0,44073.0,571.0
Andhra Pradesh,India,2020-07-02 04:33:46,15252,193,6988,8071.0,873098.0,6966.0
Andhra Pradesh,India,2020-07-03 04:33:54,16097,198,7313,8586.0,1593008.0,10130.0
Andhra Pradesh,India,2020-07-04 04:33:51,16934,206,7632,9096.0,2043106.0,14096.0
Andhra Pradesh,India,2020-07-05 04:33:46,17699,218,8008,9473.0,1998981.0,13659.0
Andhra Pradesh,India,2020-07-06 04:33:57,18697,232,8422,10043.0,1002229.0,7384.0
Andhra Pradesh,India,2020-07-07 04:34:00,20019,239,8920,10860.0,2039103.0,14047.0
Andhra Pradesh,India,2020-07-08 05:33:48,21197,252,9745,11200.0,2201376.0,14318.0
Andhra Pradesh,India,2020-07-09 04:34:23,22259,264,11101,10894.0,1957999.0,13249.0
Andhra Pradesh,India,2020-07-10 04:34:24,23814,277,12154,11383.0,838944.0,6671.0
Andhra Pradesh,India,2020-07-11 04:34:26,25422,292,13194,11936.0,863588.0,6873.0
Andhra Pradesh,India,2020-07-12 04:34:30,27235,309,14393,12533.0,1768887.0,11515.0
Andhra Pradesh,India,2020-07-13 04:43:04,29168,328,15412,13428.0,861149.0,6843.0
Andhra Pradesh,India,2020-07-14 04:34:46,31103,365,16464,14274.0,2039803.0,14060.0
Andhra Pradesh,India,2020-07-15 04:34:39,33019,408,17467,15144.0,1911203.0,12770.0
Andhra Pradesh,India,2020-07-16 04:44:59,35451,452,18378,16621.0,471042.0,4035.0
Andhra Pradesh,India,2020-07-17 04:34:50,38044,492,19393,18159.0,1961994.0,13210.0
Andhra Pradesh,India,2020-07-18 04:34:45,40646,534,20298,19814.0,1773747.0,11465.0
Andhra Pradesh,India,2020-07-19 04:34:58,44609,586,21763,22260.0,842401.0,6561.0
Andhra Pradesh,India,2020-07-20 05:34:40,49650,642,22890,26118.0,848160.0,6561.0
Andhra Pradesh,India,2020-07-21 04:38:46,53724,696,24228,28800.0,2021384.0,13772.0
Andhra Pradesh,India,2020-07-22 04:34:42,58668,758,25574,32336.0,832510.0,6421.0
Andhra Pradesh,India,2020-07-23 05:15:04,64713,823,32127,31763.0,2000141.0,13541.0
Andhra Pradesh,India,2020-07-24 05:30:40,72711,884,37555,34272.0,-67282.0,-804.0
Andhra Pradesh,India,2020-07-25 04:47:39,80858,933,39935,39990.0,1994561.0,13541.0
Andhra Pradesh,India,2020-07-26 04:35:00,88671,985,43255,44431.0,1985059.0,13467.0
Andhra Pradesh,India,2020-07-27 04:35:02,96298,1041,46301,48956.0,2021086.0,13473.0
Andhra Pradesh,India,2020-07-28 04:58:43,102349,1090,49558,51701.0,1677424.0,10606.0
Andhra Pradesh,India,2020-07-29 04:35:11,102349,1090,49558,51701.0,1286454.0,8083.0
Andhra Pradesh,India,2020-07-30 04:35:05,120390,1213,55406,63771.0,768424.0,5949.0
Andhra Pradesh,India,2020-07-31 04:35:18,130557,1281,60024,69252.0,453368.0,3760.0
Andhra Pradesh,India,2020-08-01 04:36:27,140933,1349,63864,75720.0,735403.0,5715.0
Andhra Pradesh,India,2020-08-02 04:34:47,150209,1407,76614,72188.0,1800130.0,11816.0
Andhra Pradesh,India,2020-08-03 04:34:35,158764,1474,82886,74404.0,1752467.0,11445.0
Andhra Pradesh,India,2020-08-04 04:41:59,166586,1537,88672,76377.0,2042369.0,13024.0
Andhra Pradesh,India,2020-08-05 04:34:43,176333,1604,95625,79104.0,-167334.0,-1498.0
Andhra Pradesh,India,2020-08-06 04:35:02,186461,1681,104354,80426.0,702299.0,5481.0
Andhra Pradesh,India,2020-08-07 04:35:11,196789,1753,112870,82166.0,1720464.0,11207.0
Andhra Pradesh,India,2020-08-08 04:34:53,206960,1842,120464,84654.0,-199280.0,-1713.0
Andhra Pradesh,India,2020-08-09 04:34:54,217040,1939,129615,85486.0,659774.0,5128.0
Andhra Pradesh,India,2020-08-10 04:34:55,227860,2036,138712,87112.0,649488.0,5033.0
Andhra Pradesh,India,2020-08-11 04:35:08,235525,2116,145636,87773.0,493782.0,3936.0
Andhra Pradesh,India,2020-08-12 04:27:29,244549,2203,154749,87597.0,282963.0,2431.0
Andhra Pradesh,India,2020-08-13 04:29:15,254146,2296,161425,90425.0,628936.0,4819.0
Andhra Pradesh,India,2020-08-14 04:51:19,264142,2378,170984,90780.0,2044480.0,12301.0
Andhra Pradesh,India,2020-08-15 04:27:31,273085,2475,180703,89907.0,600910.0,4572.0
Andhra Pradesh,India,2020-08-16 04:27:42,281817,2562,191117,88138.0,285306.0,2350.0
Andhra Pradesh,India,2020-08-17 04:27:20,289829,2650,201234,85945.0,955545.0,5869.0
Andhra Pradesh,India,2020-08-18 04:27:56,296609,2732,209100,84777.0,-42463.0,-436.0
Andhra Pradesh,India,2020-08-19 04:27:00,306261,2820,218311,85130.0,191864.0,1597.0
Andhra Pradesh,India,2020-08-20 04:27:43,316003,2906,226372,86725.0,1654005.0,10504.0
Andhra Pradesh,India,2020-08-21 04:27:41,325396,3001,235218,87177.0,1741859.0,11385.0
Andhra Pradesh,India,2020-08-22 04:27:49,334940,3092,244045,87803.0,1741272.0,11394.0
Andhra Pradesh,India,2020-08-23 04:27:48,345216,3189,252638,89389.0,512179.0,3710.0
Andhra Pradesh,India,2020-08-24 04:27:56,353111,3282,260087,89742.0,359903.0,2659.0
Andhra Pradesh,India,2020-08-25 04:28:02,361712,3368,268828,89516.0,455967.0,3291.0
Andhra Pradesh,India,2020-08-26 04:28:11,361712,3368,268828,89516.0,527627.0,3799.0
Andhra Pradesh,India,2020-08-27 04:28:15,382469,3541,286720,92208.0,1693335.0,10938.0
Andhra Pradesh,India,2020-08-28 04:28:11,393090,3633,295248,94209.0,1464262.0,8783.0
Andhra Pradesh,India,2020-08-29 04:28:19,403616,3714,303711,96191.0,482629.0,3428.0
Andhra Pradesh,India,2020-08-30 04:28:22,414164,3796,312687,97681.0,-406646.0,-3704.0
Andhra Pradesh,India,2020-08-31 04:28:27,424767,3884,321754,99129.0,1863799.0,10747.0
Andhra Pradesh,India,2020-09-01 04:28:31,434771,3969,330526,100276.0,1494808.0,9088.0
Andhra Pradesh,India,2020-09-02 04:28:25,445139,4053,339876,101210.0,209246.0,1505.0
Andhra Pradesh,India,2020-09-03 04:28:22,455531,4125,348330,103076.0,380422.0,2632.0
Andhra Pradesh,India,2020-09-04 04:28:26,465730,4200,358009,103521.0,1219412.0,6632.0
Andhra Pradesh,India,2020-09-05 04:28:19,476506,4276,370163,102067.0,1512404.0,9319.0
Andhra Pradesh,India,2020-09-06 04:28:33,487331,4347,382104,100880.0,420345.0,2892.0
Andhra Pradesh,India,2020-09-07 04:28:30,498125,4417,394019,99689.0,1573119.0,10009.0
Andhra Pradesh,India,2020-09-08 04:28:25,506493,4487,404074,97932.0,1559957.0,9886.0
Andhra Pradesh,India,2020-09-09 04:28:48,517094,4560,415765,96769.0,283590.0,1984.0
Andhra Pradesh,India,2020-09-10 04:29:01,527512,4634,425607,97271.0,361447.0,2529.0
Andhra Pradesh,India,2020-09-11 04:46:23,537687,4702,435647,97338.0,1526185.0,9648.0
Andhra Pradesh,India,2020-09-12 04:25:05,547686,4779,446716,96191.0,1527733.0,9695.0
Andhra Pradesh,India,2020-09-13 04:30:52,557587,4846,457008,95733.0,1468455.0,9118.0
Andhra Pradesh,India,2020-09-14 04:26:00,567123,4912,467139,95072.0,-260862.0,-2092.0
Andhra Pradesh,India,2020-09-15 03:22:50,567123,4912,467139,95072.0,1506129.0,9532.0
Andhra Pradesh,India,2020-09-16 04:22:53,583925,5041,486531,92353.0,-442992.0,-3692.0
Andhra Pradesh,India,2020-09-17 04:22:00,592760,5105,497376,90279.0,-442551.0,-3698.0
Andhra Pradesh,India,2020-09-18 05:05:00,601462,5177,508088,88197.0,-512791.0,-4192.0
Andhra Pradesh,India,2020-09-19 04:22:00,609558,5244,519891,84423.0,271154.0,1848.0
Andhra Pradesh,India,2020-09-20 04:22:00,617776,5302,530711,81763.0,263285.0,1792.0
Andhra Pradesh,India,2020-09-21 04:23:00,625514,5359,541319,78836.0,1450032.0,9118.0
Andhra Pradesh,India,2020-09-22 04:23:00,631749,5410,551821,74518.0,1253967.0,7261.0
Andhra Pradesh,India,2020-09-23 04:23:00,639302,5461,562376,71465.0,242646.0,1643.0
Andhra Pradesh,India,2020-09-24 04:23:00,646530,5506,570667,70357.0,1354725.0,8209.0
Andhra Pradesh,India,2020-09-25 04:23:00,654385,5558,579474,69353.0,7073.0,48.0
Andhra Pradesh,India,2020-09-26 04:23:00,661458,5606,588169,67683.0,-616849.0,-5020.0
Andhra Pradesh,India,2020-09-27 04:23:00,668751,5663,597294,65794.0,-663322.0,-5583.0
Andhra Pradesh,India,2020-09-28 04:23:00,675674,5708,605090,64876.0,-658740.0,-5502.0
Andhra Pradesh,India,2020-09-29 04:23:42,681161,5745,612300,63116.0,200112.0,1353.0
Andhra Pradesh,India,2020-09-30 04:23:33,687351,5780,622136,59435.0,1386039.0,8665.0
Andhra Pradesh,India,2020-10-01 04:23:42,693484,5828,629211,58445.0,1379425.0,8614.0
Andhra Pradesh,India,2020-10-02 04:23:51,700235,5869,636508,57858.0,1582348.0,8751.0
Andhra Pradesh,India,2020-10-03 04:23:40,706790,5900,643993,56897.0,336651.0,1836.0
Andhra Pradesh,India,2020-10-04 04:23:44,713014,5941,651791,55282.0,808128.0,3859.0
Andhra Pradesh,India,2020-10-05 04:23:33,719256,5981,658875,54400.0,874565.0,4241.0
Andhra Pradesh,India,2020-10-06 04:23:33,723512,6019,666433,51060.0,1457122.0,8523.0
Andhra Pradesh,India,2020-10-07 04:23:40,729307,6052,672479,50776.0,149416.0,1024.0
Andhra Pradesh,India,2020-10-08 04:23:56,734427,6086,678828,49513.0,-727356.0,-5996.0
Andhra Pradesh,India,2020-10-09 04:23:59,739719,6128,684930,48661.0,-690069.0,-5486.0
Andhra Pradesh,India,2020-10-10 04:23:57,744864,6159,691040,47665.0,223136.0,1278.0
Andhra Pradesh,India,2020-10-11 04:23:46,750517,6194,697699,46624.0,137074.0,958.0
Andhra Pradesh,India,2020-10-12 04:23:45,755727,6224,703208,46295.0,109978.0,746.0
Andhra Pradesh,India,2020-10-13 04:24:02,758951,6256,708712,43983.0,107487.0,720.0
Andhra Pradesh,India,2020-10-14 04:24:05,763573,6291,714427,42855.0,269987.0,1394.0
Andhra Pradesh,India,2020-10-15 04:24:28,767465,6319,719477,41669.0,794595.0,3703.0
Andhra Pradesh,India,2020-10-16 04:24:01,771503,6357,725099,40047.0,1309099.0,8146.0
Andhra Pradesh,India,2020-10-17 04:24:12,775470,6382,730109,38979.0,452716.0,2064.0
Andhra Pradesh,India,2020-10-18 04:24:25,779146,6406,735638,37102.0,109723.0,756.0
Andhra Pradesh,India,2020-10-19 04:24:16,783132,6429,740229,36474.0,-778062.0,-6352.0
Andhra Pradesh,India,2020-10-20 04:24:22,786050,6453,744532,35065.0,1190091.0,7015.0
Andhra Pradesh,India,2020-10-21 04:24:14,789553,6481,749676,33396.0,43655.0,263.0
Andhra Pradesh,India,2020-10-22 04:24:27,793299,6508,754415,32376.0,-183741.0,-1264.0
Andhra Pradesh,India,2020-10-23 04:24:46,796919,6524,758138,32257.0,91686.0,637.0
Andhra Pradesh,India,2020-10-24 04:24:46,800684,6544,762419,31721.0,1265381.0,7825.0
Andhra Pradesh,India,2020-10-25 04:24:36,804026,6566,765991,31469.0,1152366.0,6707.0
Andhra Pradesh,India,2020-10-26 04:25:02,807023,6587,769576,30860.0,647029.0,2894.0
