Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Assam,India,2020-06-11 03:33:41,2937,4,1085,1848.0,153743.0,558.0
Assam,India,2020-06-12 05:09:52,3319,6,1432,1881.0,208108.0,967.0
Assam,India,2020-06-13 03:33:14,3319,6,1432,1881.0,631731.0,6183.0
Assam,India,2020-06-14 03:33:15,3498,8,1537,1953.0,610668.0,6044.0
Assam,India,2020-06-15 03:33:14,3718,8,1584,2126.0,210041.0,985.0
Assam,India,2020-06-16 04:33:09,4158,8,2166,1984.0,199809.0,894.0
Assam,India,2020-06-17 04:33:21,4319,8,2166,2145.0,15435.0,40.0
Assam,India,2020-06-18 04:33:18,4605,8,2642,1955.0,615327.0,6145.0
Assam,India,2020-06-19 04:33:17,4777,9,2654,2114.0,211966.0,1056.0
Assam,India,2020-06-20 04:33:19,4904,9,3039,1856.0,535549.0,4901.0
Assam,India,2020-06-21 04:33:19,4904,9,3039,1856.0,512290.0,4643.0
Assam,India,2020-06-22 04:33:20,5388,9,3360,2019.0,91383.0,265.0
Assam,India,2020-06-23 04:33:22,5586,9,3521,2056.0,210795.0,1048.0
Assam,India,2020-06-24 04:33:28,5831,9,3762,2060.0,605825.0,6010.0
Assam,India,2020-06-25 05:26:54,6198,9,3958,2231.0,250378.0,1321.0
Assam,India,2020-06-26 04:33:43,6321,9,4033,2279.0,5067.0,5.0
Assam,India,2020-06-27 04:33:35,6607,9,4259,2339.0,211663.0,1095.0
Assam,India,2020-06-28 04:34:04,6816,9,4500,2307.0,606496.0,6033.0
Assam,India,2020-06-29 04:33:44,7206,10,5088,2108.0,691507.0,6309.0
Assam,India,2020-06-30 04:33:48,7752,11,5333,2408.0,169469.0,669.0
Assam,India,2020-07-01 04:33:52,8227,12,5647,2568.0,632409.0,6185.0
Assam,India,2020-07-02 04:33:46,8582,12,5851,2719.0,208988.0,1081.0
Assam,India,2020-07-03 04:33:54,9013,12,6106,2895.0,-5694.0,-6.0
Assam,India,2020-07-04 04:33:51,9673,14,6349,3310.0,611398.0,6151.0
Assam,India,2020-07-05 04:33:46,10668,14,6657,3997.0,550787.0,5166.0
Assam,India,2020-07-06 04:33:57,11388,14,7125,4249.0,711856.0,6582.0
Assam,India,2020-07-07 04:34:00,12160,14,7882,4264.0,430534.0,3724.0
Assam,India,2020-07-08 05:33:48,12522,14,8329,4179.0,602141.0,6047.0
Assam,India,2020-07-09 04:34:23,13336,16,8729,4591.0,192679.0,910.0
Assam,India,2020-07-10 04:34:24,14032,22,8726,5284.0,203617.0,1072.0
Assam,India,2020-07-11 04:34:26,14600,27,9147,5426.0,596611.0,5984.0
Assam,India,2020-07-12 04:34:30,15536,35,9150,6351.0,203204.0,1074.0
Assam,India,2020-07-13 04:43:04,16071,35,10426,5610.0,201206.0,1051.0
Assam,India,2020-07-14 04:34:46,16806,36,10894,5876.0,198704.0,984.0
Assam,India,2020-07-15 04:34:39,17807,40,11416,6351.0,46599.0,115.0
Assam,India,2020-07-16 04:44:59,18666,46,12173,6447.0,555434.0,5341.0
Assam,India,2020-07-17 04:34:50,19754,48,12888,6818.0,113312.0,348.0
Assam,India,2020-07-18 04:34:45,20646,51,14105,6490.0,583890.0,5865.0
Assam,India,2020-07-19 04:34:58,22918,53,15165,7700.0,589633.0,5978.0
Assam,India,2020-07-20 05:34:40,23999,57,16023,7919.0,-13331.0,-43.0
Assam,India,2020-07-21 04:38:46,25382,58,17095,8229.0,193219.0,1049.0
Assam,India,2020-07-22 04:34:42,25382,58,18033,7291.0,191610.0,1020.0
Assam,India,2020-07-23 05:15:04,26772,64,18033,8675.0,188173.0,940.0
Assam,India,2020-07-24 05:30:40,28791,70,20699,8022.0,188736.0,1022.0
Assam,India,2020-07-25 04:47:39,29921,76,21761,8084.0,565748.0,5682.0
Assam,India,2020-07-26 04:35:00,31086,77,23055,7954.0,186731.0,1022.0
Assam,India,2020-07-27 04:35:02,32228,79,24040,8109.0,168481.0,789.0
Assam,India,2020-07-28 04:58:43,33576,86,25402,8088.0,25261.0,59.0
Assam,India,2020-07-29 04:35:11,33576,86,25402,8088.0,-27990.0,-77.0
Assam,India,2020-07-30 04:35:05,36295,92,27832,8371.0,179114.0,925.0
Assam,India,2020-07-31 04:35:18,38407,94,29080,9233.0,178158.0,966.0
Assam,India,2020-08-01 04:36:27,40269,98,30357,9814.0,2635.0,7.0
Assam,India,2020-08-02 04:34:47,41726,101,31442,10183.0,159681.0,774.0
Assam,India,2020-08-03 04:34:35,42904,105,32384,10415.0,542785.0,5495.0
Assam,India,2020-08-04 04:41:59,45275,109,33428,11738.0,490963.0,4756.0
Assam,India,2020-08-05 04:34:43,48161,115,34421,13625.0,152230.0,750.0
Assam,India,2020-08-06 04:35:02,50445,121,35892,14432.0,-16869.0,-35.0
Assam,India,2020-08-07 04:35:11,52817,126,37224,15467.0,65516.0,204.0
Assam,India,2020-08-08 04:34:53,55496,132,38809,16555.0,86267.0,337.0
Assam,India,2020-08-09 04:34:54,57714,140,40591,16983.0,166741.0,995.0
Assam,India,2020-08-10 04:34:55,58837,145,42325,16367.0,-20430.0,-51.0
Assam,India,2020-08-11 04:35:08,61737,151,43586,18000.0,541886.0,5746.0
Assam,India,2020-08-12 04:27:29,64406,155,45073,19178.0,140831.0,762.0
Assam,India,2020-08-13 04:29:15,68999,161,47209,21629.0,137518.0,770.0
Assam,India,2020-08-14 04:51:19,71795,169,49383,22243.0,546780.0,5964.0
Assam,India,2020-08-15 04:27:31,74501,175,51693,22633.0,-5502.0,-14.0
Assam,India,2020-08-16 04:27:42,75558,182,53286,22090.0,222613.0,1571.0
Assam,India,2020-08-17 04:27:20,76875,189,55215,21471.0,543597.0,5973.0
Assam,India,2020-08-18 04:27:56,79667,197,56734,22736.0,414021.0,4147.0
Assam,India,2020-08-19 04:27:00,82201,203,58294,23704.0,538156.0,5957.0
Assam,India,2020-08-20 04:27:43,84317,213,60348,23756.0,-4650.0,-16.0
Assam,India,2020-08-21 04:27:41,86052,221,63120,22711.0,446032.0,4591.0
Assam,India,2020-08-22 04:27:49,87908,227,65596,22085.0,582220.0,6021.0
Assam,India,2020-08-23 04:27:48,89468,234,67641,21593.0,525823.0,5837.0
Assam,India,2020-08-24 04:27:56,90740,242,70900,19598.0,117897.0,698.0
Assam,India,2020-08-25 04:28:02,92619,252,73090,19277.0,612234.0,6107.0
Assam,India,2020-08-26 04:28:11,94592,260,74814,19518.0,126891.0,859.0
Assam,India,2020-08-27 04:28:15,96771,274,76962,19535.0,-71389.0,-216.0
Assam,India,2020-08-28 04:28:11,98807,278,79307,19222.0,109247.0,656.0
Assam,India,2020-08-29 04:28:19,101367,286,81070,20011.0,113979.0,726.0
Assam,India,2020-08-30 04:28:22,103794,289,82510,20995.0,-50977.0,-163.0
Assam,India,2020-08-31 04:28:27,105774,296,83927,21551.0,514307.0,5859.0
Assam,India,2020-09-01 04:28:31,109040,306,85461,23273.0,511094.0,5850.0
Assam,India,2020-09-02 04:28:25,111724,315,86895,24514.0,28747.0,138.0
Assam,India,2020-09-03 04:28:22,115279,323,88729,26227.0,96560.0,653.0
Assam,India,2020-09-04 04:28:26,118333,330,90700,27303.0,-112945.0,-321.0
Assam,India,2020-09-05 04:28:19,121224,345,92720,28159.0,95663.0,730.0
Assam,India,2020-09-06 04:28:33,123922,352,95063,28507.0,79787.0,548.0
Assam,India,2020-09-07 04:28:30,125459,360,96826,28273.0,458639.0,5206.0
Assam,India,2020-09-08 04:28:25,128244,370,99076,28798.0,498497.0,5811.0
Assam,India,2020-09-09 04:28:48,130823,378,101239,29206.0,83342.0,620.0
Assam,India,2020-09-10 04:29:01,133066,396,103504,29166.0,85156.0,708.0
