Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Bihar,India,2020-06-11 03:33:41,5459,32,2864,2563.0,639556.0,3711.0
Bihar,India,2020-06-12 05:09:52,5983,36,3266,2681.0,256614.0,1505.0
Bihar,India,2020-06-13 03:33:14,5983,36,3266,2681.0,253798.0,1469.0
Bihar,India,2020-06-14 03:33:15,6103,36,3587,2480.0,409294.0,2186.0
Bihar,India,2020-06-15 03:33:14,6290,39,3956,2295.0,547513.0,3038.0
Bihar,India,2020-06-16 04:33:09,6650,40,4409,2201.0,242753.0,1339.0
Bihar,India,2020-06-17 04:33:21,6778,41,4644,2093.0,245441.0,1359.0
Bihar,India,2020-06-18 04:33:18,6942,44,4926,1972.0,39138.0,234.0
Bihar,India,2020-06-19 04:33:17,7025,44,5056,1925.0,719043.0,9617.0
Bihar,India,2020-06-20 04:33:19,7181,50,5098,2033.0,806162.0,12143.0
Bihar,India,2020-06-21 04:33:19,7533,52,5529,1952.0,718195.0,9602.0
Bihar,India,2020-06-22 04:33:20,7612,53,5580,1979.0,60176.0,310.0
Bihar,India,2020-06-23 04:33:22,7825,55,5781,1989.0,718319.0,9606.0
Bihar,India,2020-06-24 04:33:28,8153,56,6104,1993.0,147292.0,741.0
Bihar,India,2020-06-25 05:26:54,8209,57,6113,2039.0,167316.0,821.0
Bihar,India,2020-06-26 04:33:43,8473,57,6441,1975.0,174255.0,847.0
Bihar,India,2020-06-27 04:33:35,8716,58,6762,1896.0,716075.0,9585.0
Bihar,India,2020-06-28 04:34:04,8931,59,6843,2029.0,717067.0,9602.0
Bihar,India,2020-06-29 04:33:44,9212,60,7118,2034.0,27392.0,174.0
Bihar,India,2020-06-30 04:33:48,9640,62,7390,2188.0,-2107.0,-10.0
Bihar,India,2020-07-01 04:33:52,10043,67,7687,2289.0,715691.0,9587.0
Bihar,India,2020-07-02 04:33:46,10249,70,7946,2233.0,297308.0,1618.0
Bihar,India,2020-07-03 04:33:54,10471,77,8020,2374.0,253727.0,1490.0
Bihar,India,2020-07-04 04:33:51,10954,80,8214,2660.0,214170.0,1094.0
Bihar,India,2020-07-05 04:33:46,11700,89,8686,2925.0,713797.0,9560.0
Bihar,India,2020-07-06 04:33:57,11876,95,8765,3016.0,589774.0,3262.0
Bihar,India,2020-07-07 04:34:00,12125,97,8997,3031.0,706926.0,9439.0
Bihar,India,2020-07-08 05:33:48,12570,104,9284,3182.0,191793.0,892.0
Bihar,India,2020-07-09 04:34:23,13189,107,9554,3528.0,712769.0,9554.0
Bihar,India,2020-07-10 04:34:24,13944,115,9816,4013.0,710729.0,9524.0
Bihar,India,2020-07-11 04:34:26,14575,119,10109,4347.0,469531.0,2523.0
Bihar,India,2020-07-12 04:34:30,15373,131,10685,4557.0,240559.0,1308.0
Bihar,India,2020-07-13 04:43:04,16642,143,11498,5001.0,245776.0,1396.0
