Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Chandigarh,India,2020-06-11 03:33:41,323,5,286,32.0,65148.0,815.0
Chandigarh,India,2020-06-12 05:09:52,332,5,286,41.0,88371.0,1110.0
Chandigarh,India,2020-06-13 03:33:14,332,5,286,41.0,65449.0,1073.0
Chandigarh,India,2020-06-14 03:33:15,334,5,286,43.0,64787.0,809.0
Chandigarh,India,2020-06-15 03:33:14,345,5,286,54.0,19078.0,310.0
Chandigarh,India,2020-06-16 04:33:09,354,6,296,52.0,64931.0,814.0
Chandigarh,India,2020-06-17 04:33:21,358,6,302,50.0,61535.0,803.0
Chandigarh,India,2020-06-18 04:33:18,368,6,303,59.0,-23.0,-1.0
Chandigarh,India,2020-06-19 04:33:17,374,6,306,62.0,65104.0,814.0
Chandigarh,India,2020-06-20 04:33:19,381,6,315,60.0,2015.0,25.0
Chandigarh,India,2020-06-21 04:33:19,404,6,316,82.0,25790.0,371.0
Chandigarh,India,2020-06-22 04:33:20,406,6,316,84.0,65730.0,1073.0
Chandigarh,India,2020-06-23 04:33:22,411,6,322,83.0,43035.0,483.0
Chandigarh,India,2020-06-24 04:33:28,418,6,322,90.0,65233.0,1070.0
Chandigarh,India,2020-06-25 05:26:54,420,6,323,91.0,29921.0,390.0
Chandigarh,India,2020-06-26 04:33:43,423,6,329,88.0,12.0,0.0
Chandigarh,India,2020-06-27 04:33:35,425,6,335,84.0,61199.0,801.0
Chandigarh,India,2020-06-28 04:34:04,428,6,335,87.0,61510.0,803.0
Chandigarh,India,2020-06-29 04:33:44,429,6,336,87.0,64681.0,808.0
Chandigarh,India,2020-06-30 04:33:48,435,6,349,80.0,12143.0,171.0
Chandigarh,India,2020-07-01 04:33:52,440,6,364,70.0,74035.0,1080.0
Chandigarh,India,2020-07-02 04:33:46,446,6,367,73.0,20303.0,328.0
Chandigarh,India,2020-07-03 04:33:54,450,6,389,55.0,73.0,1.0
Chandigarh,India,2020-07-04 04:33:51,457,6,393,58.0,19094.0,310.0
Chandigarh,India,2020-07-05 04:33:46,460,6,395,59.0,23343.0,353.0
Chandigarh,India,2020-07-06 04:33:57,466,6,395,65.0,13511.0,210.0
Chandigarh,India,2020-07-07 04:34:00,489,6,401,82.0,61535.0,805.0
Chandigarh,India,2020-07-08 05:33:48,494,7,401,86.0,19121.0,309.0
Chandigarh,India,2020-07-09 04:34:23,513,7,402,104.0,20575.0,332.0
Chandigarh,India,2020-07-10 04:34:24,523,7,403,113.0,15949.0,248.0
Chandigarh,India,2020-07-11 04:34:26,539,7,408,124.0,86879.0,1098.0
Chandigarh,India,2020-07-12 04:34:30,555,7,413,135.0,61398.0,804.0
Chandigarh,India,2020-07-13 04:43:04,559,8,417,134.0,38954.0,432.0
Chandigarh,India,2020-07-14 04:34:46,588,8,423,157.0,13564.0,215.0
Chandigarh,India,2020-07-15 04:34:39,600,10,446,144.0,-160.0,-4.0
Chandigarh,India,2020-07-16 04:44:59,625,11,459,155.0,14809.0,232.0
Chandigarh,India,2020-07-17 04:34:50,651,11,476,164.0,64521.0,807.0
Chandigarh,India,2020-07-18 04:34:45,660,11,480,169.0,18413.0,297.0
Chandigarh,India,2020-07-19 04:34:58,700,12,485,203.0,65017.0,1066.0
Chandigarh,India,2020-07-20 05:34:40,717,12,488,217.0,61197.0,797.0
Chandigarh,India,2020-07-21 04:38:46,737,12,518,207.0,64401.0,803.0
Chandigarh,India,2020-07-22 04:34:42,751,12,518,221.0,5621.0,66.0
Chandigarh,India,2020-07-23 05:15:04,793,13,526,254.0,64558.0,807.0
Chandigarh,India,2020-07-24 05:30:40,800,13,531,256.0,20919.0,338.0
Chandigarh,India,2020-07-25 04:47:39,823,13,535,275.0,-449.0,-7.0
Chandigarh,India,2020-07-26 04:35:00,852,13,555,284.0,18192.0,293.0
Chandigarh,India,2020-07-27 04:35:02,887,13,572,302.0,19139.0,309.0
Chandigarh,India,2020-07-28 04:58:43,910,14,575,321.0,16336.0,260.0
Chandigarh,India,2020-07-29 04:35:11,910,14,575,321.0,65151.0,1065.0
Chandigarh,India,2020-07-30 04:35:05,978,14,611,353.0,11079.0,150.0
Chandigarh,India,2020-07-31 04:35:18,1016,14,647,355.0,59846.0,767.0
