Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-12 05:09:52,30,0,2,28.0,10640.0,4.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-13 03:33:14,30,0,2,28.0,3368.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-14 03:33:15,30,0,2,28.0,3345.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-15 03:33:14,35,0,2,33.0,2540.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-16 04:33:09,36,0,5,31.0,10634.0,4.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-17 04:33:21,45,0,9,36.0,3228.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-18 04:33:18,57,0,12,45.0,3414.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-19 04:33:17,58,0,13,45.0,3342.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-20 04:33:19,62,0,14,48.0,153.0,0.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-21 04:33:19,68,0,26,42.0,2964.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-22 04:33:20,88,0,26,62.0,858.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-23 04:33:22,91,0,27,64.0,593.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-24 04:33:28,120,0,29,91.0,3259.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-25 05:26:54,120,0,30,90.0,7592.0,4.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-26 04:33:43,155,0,32,123.0,2382.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-27 04:33:35,163,0,41,122.0,10412.0,4.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-28 04:34:04,177,0,55,122.0,3635.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-29 04:33:44,178,0,60,118.0,2985.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-06-30 04:33:48,203,0,77,126.0,1234.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-07-01 04:33:52,213,0,82,131.0,10698.0,4.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-07-02 04:33:46,215,0,86,129.0,10442.0,4.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-07-03 04:33:54,230,0,89,141.0,10626.0,4.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-07-04 04:33:51,257,0,96,161.0,-27.0,0.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-07-05 04:33:46,271,0,96,175.0,3390.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-07-06 04:33:57,271,0,106,165.0,2986.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-07-07 04:34:00,297,0,114,183.0,10385.0,4.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-07-08 05:33:48,405,0,183,222.0,10902.0,4.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-07-09 04:34:23,408,0,184,224.0,10274.0,4.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-07-10 04:34:24,411,0,189,222.0,8610.0,4.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-07-11 04:34:26,459,0,211,248.0,10138.0,4.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-07-12 04:34:30,471,0,226,245.0,9993.0,4.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-07-13 04:43:04,479,0,245,234.0,3291.0,2.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-07-14 04:34:46,495,1,268,226.0,2885.0,1.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-07-15 04:34:39,520,1,310,209.0,10155.0,3.0
Dadra and Nagar Haveli and Daman and Diu,India,2020-07-16 03:44:07,520,1,310,209.0,2612.0,1.0
