Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Delhi,India,2020-06-11 03:33:41,31309,905,11861,18543.0,1403819.0,24113.0
Delhi,India,2020-06-12 05:09:52,34687,1085,12731,20871.0,599837.0,9750.0
Delhi,India,2020-06-13 03:33:14,34687,1085,12731,20871.0,1795581.0,24780.0
Delhi,India,2020-06-14 03:33:15,36824,1214,13398,22212.0,1723448.0,24289.0
Delhi,India,2020-06-15 03:33:14,38958,1271,14945,22742.0,601536.0,9647.0
Delhi,India,2020-06-16 04:33:09,42829,1400,16427,25002.0,1398620.0,23699.0
Delhi,India,2020-06-17 04:33:21,44688,1837,16500,26351.0,-1859.0,-437.0
Delhi,India,2020-06-18 04:33:18,47102,1904,17457,27741.0,267122.0,3950.0
Delhi,India,2020-06-19 04:33:17,49979,1969,21341,26669.0,930700.0,11572.0
Delhi,India,2020-06-20 04:33:19,53116,2035,23569,27512.0,-18429.0,-950.0
Delhi,India,2020-06-21 04:33:19,56746,2112,31294,23340.0,1378783.0,22915.0
Delhi,India,2020-06-22 04:33:20,59746,2175,33013,24558.0,676942.0,9180.0
Delhi,India,2020-06-23 04:33:22,62655,2233,36602,23820.0,1719859.0,23353.0
Delhi,India,2020-06-24 04:33:28,66602,2301,39313,24988.0,571426.0,8600.0
Delhi,India,2020-06-25 05:26:54,70390,2365,41437,26588.0,1368947.0,22724.0
Delhi,India,2020-06-26 04:33:43,73780,2429,44765,26586.0,1344638.0,20980.0
Delhi,India,2020-06-27 04:33:35,77240,2492,47091,27657.0,1358431.0,22547.0
Delhi,India,2020-06-28 04:34:04,80188,2558,49301,28329.0,553354.0,8231.0
Delhi,India,2020-06-29 04:33:44,83077,2623,52607,27847.0,78389.0,1677.0
Delhi,India,2020-06-30 04:33:48,85161,2680,56235,26246.0,1344630.0,21988.0
Delhi,India,2020-07-01 04:33:52,87360,2742,58348,26270.0,544229.0,7980.0
Delhi,India,2020-07-02 04:33:46,89802,2803,59992,27007.0,219537.0,2966.0
Delhi,India,2020-07-03 04:33:54,92175,2864,63007,26304.0,60405.0,1332.0
