Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Goa,India,2020-06-11 03:33:41,359,0,67,292.0,178040.0,3371.0
Goa,India,2020-06-12 05:09:52,417,0,67,350.0,3933.0,29.0
Goa,India,2020-06-13 03:33:14,417,0,67,350.0,49432.0,718.0
Goa,India,2020-06-14 03:33:15,463,0,69,394.0,49513.0,718.0
Goa,India,2020-06-15 03:33:14,523,0,70,453.0,177789.0,3368.0
Goa,India,2020-06-16 04:33:09,592,0,85,507.0,160148.0,2877.0
Goa,India,2020-06-17 04:33:21,629,0,85,544.0,115584.0,1612.0
Goa,India,2020-06-18 04:33:18,656,0,96,560.0,177789.0,3372.0
Goa,India,2020-06-19 04:33:17,705,0,109,596.0,6111.0,56.0
Goa,India,2020-06-20 04:33:19,725,0,118,607.0,-202.0,0.0
Goa,India,2020-06-21 04:33:19,754,0,129,625.0,10216.0,93.0
Goa,India,2020-06-22 04:33:20,754,0,129,625.0,32023.0,419.0
Goa,India,2020-06-23 04:33:22,864,1,152,711.0,162184.0,2946.0
Goa,India,2020-06-24 04:33:28,909,1,205,703.0,47665.0,696.0
Goa,India,2020-06-25 05:26:54,951,2,289,660.0,173886.0,3215.0
Goa,India,2020-06-26 04:33:43,995,2,335,658.0,53471.0,785.0
Goa,India,2020-06-27 04:33:35,1039,2,370,667.0,170107.0,3145.0
Goa,India,2020-06-28 04:34:04,1128,2,420,706.0,56584.0,826.0
Goa,India,2020-06-29 04:33:44,1198,3,478,717.0,8246.0,83.0
Goa,India,2020-06-30 04:33:48,1198,3,478,717.0,60041.0,842.0
Goa,India,2020-07-01 04:33:52,1315,3,596,716.0,169414.0,3137.0
Goa,India,2020-07-02 04:33:46,1387,4,670,713.0,44641.0,659.0
Goa,India,2020-07-03 04:33:54,1482,4,734,744.0,166084.0,3071.0
Goa,India,2020-07-04 04:33:51,1482,4,734,744.0,42472.0,612.0
Goa,India,2020-07-05 04:33:46,1684,6,825,853.0,119966.0,1723.0
Goa,India,2020-07-06 04:33:57,1761,7,936,818.0,-810.0,-5.0
Goa,India,2020-07-07 04:34:00,1813,7,1061,745.0,-615.0,-4.0
Goa,India,2020-07-08 05:33:48,1903,8,1156,739.0,51282.0,757.0
Goa,India,2020-07-09 04:34:23,2039,8,1207,824.0,176221.0,3358.0
Goa,India,2020-07-10 04:34:24,2151,9,1273,869.0,52992.0,787.0
Goa,India,2020-07-11 04:34:26,2251,9,1347,895.0,106016.0,1492.0
Goa,India,2020-07-12 04:34:30,2368,12,1428,928.0,33870.0,456.0
Goa,India,2020-07-13 04:43:04,2453,14,1487,952.0,49438.0,735.0
