Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Gujarat,India,2020-06-11 03:33:41,21014,1313,14365,5336.0,46685.0,1270.0
Gujarat,India,2020-06-12 05:09:52,22032,1385,15101,5546.0,30445.0,867.0
Gujarat,India,2020-06-13 03:33:14,22032,1385,15101,5546.0,231129.0,2965.0
Gujarat,India,2020-06-14 03:33:15,22527,1415,15493,5619.0,12073.0,489.0
Gujarat,India,2020-06-15 03:33:14,23038,1448,15883,5707.0,801459.0,8628.0
Gujarat,India,2020-06-16 04:33:09,24055,1505,16664,5886.0,802729.0,8585.0
Gujarat,India,2020-06-17 04:33:21,24577,1533,17082,5962.0,746870.0,7807.0
Gujarat,India,2020-06-18 04:33:18,25093,1560,17430,6103.0,16727.0,485.0
Gujarat,India,2020-06-19 04:33:17,25601,1591,17819,6191.0,632435.0,6563.0
Gujarat,India,2020-06-20 04:33:19,26141,1618,18159,6364.0,172758.0,2258.0
Gujarat,India,2020-06-21 04:33:19,26680,1638,18694,6348.0,49800.0,1108.0
Gujarat,India,2020-06-22 04:33:20,27260,1663,19349,6248.0,45903.0,1032.0
Gujarat,India,2020-06-23 04:33:22,27825,1684,19909,6232.0,799610.0,8408.0
Gujarat,India,2020-06-24 04:33:28,28371,1710,20513,6148.0,791950.0,8287.0
Gujarat,India,2020-06-25 05:26:54,28943,1735,21088,6120.0,39825.0,870.0
Gujarat,India,2020-06-26 04:33:43,29520,1753,21498,6269.0,283228.0,2786.0
Gujarat,India,2020-06-27 04:33:35,30095,1771,22030,6294.0,270771.0,2721.0
Gujarat,India,2020-06-28 04:34:04,30709,1789,22409,6511.0,-8677.0,-404.0
Gujarat,India,2020-06-29 04:33:44,31320,1808,22800,6712.0,50622.0,1029.0
Gujarat,India,2020-06-30 04:33:48,31938,1827,23240,6871.0,234883.0,2577.0
Gujarat,India,2020-07-01 04:33:52,32557,1846,23662,7049.0,16796.0,316.0
Gujarat,India,2020-07-02 04:33:46,33232,1867,24030,7335.0,786144.0,8118.0
Gujarat,India,2020-07-03 04:33:54,33913,1886,24593,7434.0,-11386.0,-471.0
Gujarat,India,2020-07-04 04:33:51,34600,1904,24933,7763.0,120336.0,1691.0
Gujarat,India,2020-07-05 04:33:46,35312,1925,25406,7981.0,790560.0,8157.0
Gujarat,India,2020-07-06 04:33:57,36037,1943,25892,8202.0,792757.0,8163.0
Gujarat,India,2020-07-07 04:34:00,36772,1960,26315,8497.0,776498.0,7930.0
Gujarat,India,2020-07-08 05:33:48,37550,1977,26720,8853.0,40009.0,788.0
Gujarat,India,2020-07-09 04:34:23,38333,1993,27289,9051.0,221887.0,2389.0
Gujarat,India,2020-07-10 04:34:24,39194,2008,27718,9468.0,71615.0,1172.0
Gujarat,India,2020-07-11 04:34:26,40069,2022,28147,9900.0,258527.0,2462.0
Gujarat,India,2020-07-12 04:34:30,40941,2032,28649,10260.0,87846.0,1349.0
Gujarat,India,2020-07-13 04:43:04,41820,2045,29162,10613.0,783977.0,8037.0
Gujarat,India,2020-07-14 04:34:46,42722,2055,29770,10897.0,-17629.0,-495.0
Gujarat,India,2020-07-15 04:34:39,43637,2069,30503,11065.0,176531.0,2026.0
Gujarat,India,2020-07-16 04:44:59,44552,2079,31286,11187.0,103237.0,1459.0
Gujarat,India,2020-07-17 04:34:50,45481,2089,32103,11289.0,70702.0,1155.0
Gujarat,India,2020-07-18 04:34:45,46430,2106,32973,11351.0,779097.0,7976.0
Gujarat,India,2020-07-19 04:34:58,47390,2122,34035,11233.0,705229.0,6999.0
Gujarat,India,2020-07-20 05:34:40,48355,2142,34901,11312.0,206999.0,2221.0
Gujarat,India,2020-07-21 04:38:46,49353,2162,35678,11513.0,44381.0,827.0
Gujarat,India,2020-07-22 04:34:42,50379,2196,36423,11760.0,-17822.0,-350.0
Gujarat,India,2020-07-23 05:15:04,51399,2224,37260,11915.0,-28361.0,-776.0
Gujarat,India,2020-07-24 05:30:40,52477,2252,37978,12247.0,112594.0,1421.0
Gujarat,India,2020-07-25 04:47:39,53545,2278,38849,12418.0,20773.0,435.0
Gujarat,India,2020-07-26 04:35:00,54626,2300,39631,12695.0,20782.0,431.0
Gujarat,India,2020-07-27 04:35:02,55822,2326,40365,13131.0,5616.0,115.0
Gujarat,India,2020-07-28 04:58:43,56874,2348,41380,13146.0,767770.0,7728.0
Gujarat,India,2020-07-29 04:35:11,56874,2348,41380,13146.0,-35860.0,-1035.0
Gujarat,India,2020-07-30 04:35:05,59126,2396,43195,13535.0,766056.0,7682.0
Gujarat,India,2020-07-31 04:35:18,60285,2418,44074,13793.0,315483.0,2658.0
Gujarat,India,2020-08-01 04:36:27,61438,2441,44907,14090.0,761047.0,7593.0
