Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Haryana,India,2020-06-11 03:33:41,5209,45,2134,3030.0,144824.0,1595.0
Haryana,India,2020-06-12 05:09:52,5968,64,2260,3644.0,23007.0,314.0
Haryana,India,2020-06-13 03:33:14,5968,64,2260,3644.0,250509.0,2739.0
Haryana,India,2020-06-14 03:33:15,6334,70,2475,3789.0,743728.0,7869.0
Haryana,India,2020-06-15 03:33:14,6749,78,2803,3868.0,764746.0,9974.0
Haryana,India,2020-06-16 04:33:09,7722,100,3565,4057.0,264798.0,2956.0
Haryana,India,2020-06-17 04:33:21,8272,118,3748,4406.0,34157.0,371.0
Haryana,India,2020-06-18 04:33:18,8832,130,3952,4750.0,-560.0,-12.0
Haryana,India,2020-06-19 04:33:17,9218,134,4556,4528.0,761939.0,9915.0
Haryana,India,2020-06-20 04:33:19,9743,144,4889,4710.0,762132.0,9911.0
Haryana,India,2020-06-21 04:33:19,10223,149,5128,4946.0,256358.0,2844.0
Haryana,India,2020-06-22 04:33:20,10635,160,5557,4918.0,257658.0,2867.0
Haryana,India,2020-06-23 04:33:22,11025,169,5916,4940.0,759800.0,9641.0
Haryana,India,2020-06-24 04:33:28,11520,178,6498,4844.0,754002.0,8771.0
Haryana,India,2020-06-25 05:26:54,12010,188,6925,4897.0,758635.0,9498.0
Haryana,India,2020-06-26 04:33:43,12463,198,7380,4885.0,260288.0,2860.0
Haryana,India,2020-06-27 04:33:35,12884,211,8016,4657.0,734856.0,7630.0
Haryana,India,2020-06-28 04:34:04,13427,218,8472,4737.0,757420.0,9656.0
Haryana,India,2020-06-29 04:33:44,13829,223,8917,4689.0,758399.0,9838.0
Haryana,India,2020-06-30 04:33:48,14210,232,9502,4476.0,97047.0,917.0
Haryana,India,2020-07-01 04:33:52,14548,236,9972,4340.0,321252.0,3098.0
Haryana,India,2020-07-02 04:33:46,14941,240,10499,4202.0,755699.0,9446.0
Haryana,India,2020-07-03 04:33:54,15509,251,11019,4239.0,135725.0,1397.0
Haryana,India,2020-07-04 04:33:51,16003,255,11691,4057.0,754057.0,9393.0
Haryana,India,2020-07-05 04:33:46,16548,260,12257,4031.0,37838.0,343.0
Haryana,India,2020-07-06 04:33:57,17005,265,12944,3796.0,875545.0,9889.0
Haryana,India,2020-07-07 04:34:00,17504,276,13335,3893.0,249699.0,2734.0
Haryana,India,2020-07-08 05:33:48,17999,279,13645,4075.0,247965.0,2700.0
Haryana,India,2020-07-09 04:34:23,18690,282,14106,4302.0,283582.0,2926.0
Haryana,India,2020-07-10 04:34:24,19369,287,14510,4572.0,28671.0,263.0
Haryana,India,2020-07-11 04:34:26,19934,290,14904,4740.0,245265.0,2666.0
Haryana,India,2020-07-12 04:34:30,20582,297,15394,4891.0,34878.0,316.0
Haryana,India,2020-07-13 04:43:04,21240,301,15983,4956.0,243715.0,2649.0
Haryana,India,2020-07-14 04:34:46,21894,308,16602,4984.0,114221.0,1201.0
Haryana,India,2020-07-15 04:34:39,22628,312,17090,5226.0,40654.0,370.0
Haryana,India,2020-07-16 04:44:59,23306,319,17667,5320.0,105293.0,1063.0
Haryana,India,2020-07-17 04:34:50,24002,322,18185,5495.0,746991.0,9553.0
Haryana,India,2020-07-18 04:34:45,24797,327,18718,5752.0,244090.0,2708.0
Haryana,India,2020-07-19 04:34:58,25547,344,19318,5885.0,745357.0,9530.0
Haryana,India,2020-07-20 05:34:40,26164,349,19793,6022.0,447981.0,3769.0
Haryana,India,2020-07-21 04:38:46,26858,355,20226,6277.0,100116.0,1001.0
Haryana,India,2020-07-22 04:34:42,27462,364,20952,6146.0,-12914.0,-128.0
Haryana,India,2020-07-23 05:15:04,28186,372,21697,6117.0,845151.0,9764.0
Haryana,India,2020-07-24 05:30:40,28975,378,22249,6348.0,741974.0,9497.0
Haryana,India,2020-07-25 04:47:39,29755,382,22953,6420.0,740272.0,9264.0
Haryana,India,2020-07-26 04:35:00,30538,389,23654,6495.0,223669.0,2362.0
Haryana,India,2020-07-27 04:35:02,31332,392,24384,6556.0,736394.0,8903.0
Haryana,India,2020-07-28 04:58:43,32127,397,25046,6684.0,227099.0,2450.0
Haryana,India,2020-07-29 04:35:11,32127,397,25046,6684.0,869176.0,9768.0
Haryana,India,2020-07-30 04:35:05,33631,413,26420,6798.0,738078.0,9641.0
Haryana,India,2020-07-31 04:35:18,34254,417,27340,6497.0,233551.0,2600.0
Haryana,India,2020-08-01 04:36:27,34965,421,28227,6317.0,735608.0,9264.0
Haryana,India,2020-08-02 04:34:47,35758,428,29080,6250.0,24838.0,233.0
Haryana,India,2020-08-03 04:34:35,36519,433,29690,6396.0,734251.0,9376.0
Haryana,India,2020-08-04 04:41:59,37173,440,30470,6263.0,233952.0,2612.0
Haryana,India,2020-08-05 04:34:43,37796,448,31226,6122.0,732334.0,9205.0
Haryana,India,2020-08-06 04:35:02,38548,455,31960,6133.0,229661.0,2571.0
Haryana,India,2020-08-07 04:35:11,39303,458,32640,6205.0,730739.0,9189.0
Haryana,India,2020-08-08 04:34:53,40054,467,33444,6143.0,229676.0,2575.0
Haryana,India,2020-08-09 04:34:54,40843,474,34031,6338.0,11286.0,111.0
Haryana,India,2020-08-10 04:34:55,41635,483,34781,6371.0,249165.0,2672.0
Haryana,India,2020-08-11 04:35:08,42429,489,35492,6448.0,227982.0,2555.0
Haryana,India,2020-08-12 04:27:29,43227,500,36082,6645.0,10063.0,97.0
Haryana,India,2020-08-13 04:29:15,44024,503,36694,6827.0,223965.0,2519.0
Haryana,India,2020-08-14 04:51:19,44817,511,37486,6820.0,-4763.0,-44.0
Haryana,India,2020-08-15 04:27:31,45614,518,38348,6748.0,-35391.0,-369.0
Haryana,India,2020-08-16 04:27:42,46410,528,38939,6943.0,129061.0,3203.0
Haryana,India,2020-08-17 04:27:20,47153,538,39601,7014.0,206232.0,2195.0
Haryana,India,2020-08-18 04:27:56,48040,550,40610,6880.0,730978.0,9516.0
Haryana,India,2020-08-19 04:27:00,48936,557,41298,7081.0,224510.0,2507.0
Haryana,India,2020-08-20 04:27:43,49930,567,42056,7307.0,615098.0,5671.0
Haryana,India,2020-08-21 04:27:41,50926,578,42793,7555.0,721918.0,9485.0
Haryana,India,2020-08-22 04:27:49,52129,585,43413,8131.0,-23943.0,-213.0
Haryana,India,2020-08-23 04:27:48,53290,597,44013,8680.0,717244.0,9084.0
Haryana,India,2020-08-24 04:27:56,54386,603,44822,8961.0,717219.0,9450.0
Haryana,India,2020-08-25 04:28:02,55460,613,45405,9442.0,726236.0,9454.0
Haryana,India,2020-08-26 04:28:11,56608,623,46496,9489.0,206242.0,2292.0
Haryana,India,2020-08-27 04:28:15,58005,634,47613,9758.0,114125.0,1183.0
Haryana,India,2020-08-28 04:28:11,59298,646,48690,9962.0,-19995.0,-188.0
Haryana,India,2020-08-29 04:28:19,60596,661,49710,10225.0,709174.0,8961.0
Haryana,India,2020-08-30 04:28:22,61987,670,50711,10606.0,-35129.0,-315.0
Haryana,India,2020-08-31 04:28:27,63282,682,51620,10980.0,49793.0,495.0
Haryana,India,2020-09-01 04:28:31,64732,689,52672,11371.0,201954.0,2308.0
Haryana,India,2020-09-02 04:28:25,66426,706,53835,11885.0,138051.0,1357.0
Haryana,India,2020-09-03 04:28:22,68218,721,54875,12622.0,203441.0,2331.0
Haryana,India,2020-09-04 04:28:26,70099,740,55889,13470.0,224171.0,2434.0
Haryana,India,2020-09-05 04:28:19,71983,759,57171,14053.0,698412.0,8911.0
Haryana,India,2020-09-06 04:28:33,74272,781,58580,14911.0,696869.0,9268.0
Haryana,India,2020-09-07 04:28:30,76549,806,60051,15692.0,62133.0,742.0
Haryana,India,2020-09-08 04:28:25,78773,829,61611,16333.0,677862.0,7474.0
Haryana,India,2020-09-09 04:28:48,81059,854,63315,16890.0,-24451.0,-231.0
Haryana,India,2020-09-10 04:29:01,83353,882,65143,17328.0,116521.0,1137.0
Haryana,India,2020-09-11 04:46:23,85944,907,66705,18332.0,828882.0,9287.0
Haryana,India,2020-09-12 04:25:05,88332,932,68525,18875.0,683754.0,9128.0
Haryana,India,2020-09-13 04:30:52,91115,956,70713,19446.0,216395.0,2274.0
Haryana,India,2020-09-14 04:26:00,93641,975,72587,20079.0,-83898.0,-831.0
Haryana,India,2020-09-15 03:22:50,93641,975,72587,20079.0,174495.0,2049.0
Haryana,India,2020-09-16 04:22:53,98622,1026,77166,20430.0,185000.0,2091.0
Haryana,India,2020-09-17 04:22:00,101316,1045,78937,21334.0,669095.0,8626.0
Haryana,India,2020-09-18 05:05:00,103773,1069,81690,21014.0,5179.0,51.0
Haryana,India,2020-09-19 04:22:00,106261,1092,83878,21291.0,162893.0,1947.0
Haryana,India,2020-09-20 04:22:00,108952,1120,86150,21682.0,151201.0,1738.0
Haryana,India,2020-09-21 04:23:00,111257,1149,88697,21411.0,-94709.0,-889.0
Haryana,India,2020-09-22 04:23:00,113075,1177,90884,21014.0,657447.0,8502.0
Haryana,India,2020-09-23 04:23:00,114870,1206,93776,19888.0,-89323.0,-862.0
Haryana,India,2020-09-24 04:23:00,116856,1233,96347,19276.0,653630.0,8444.0
Haryana,India,2020-09-25 04:23:00,118554,1255,98410,18889.0,653028.0,8798.0
Haryana,India,2020-09-26 04:23:00,120578,1273,101273,18032.0,-99996.0,-976.0
Haryana,India,2020-09-27 04:23:00,122267,1291,103827,17149.0,198432.0,1991.0
Haryana,India,2020-09-28 04:23:00,123782,1307,105990,16485.0,34522.0,420.0
Haryana,India,2020-09-29 04:23:42,125412,1331,108411,15670.0,-34297.0,-375.0
Haryana,India,2020-09-30 04:23:33,126974,1356,110814,14804.0,134284.0,1526.0
Haryana,India,2020-10-01 04:23:42,128599,1382,112877,14340.0,15703.0,219.0
Haryana,India,2020-10-02 04:23:51,129912,1402,115038,13472.0,128285.0,1430.0
Haryana,India,2020-10-03 04:23:40,131388,1425,116716,13247.0,9702.0,147.0
Haryana,India,2020-10-04 04:23:44,132576,1450,118258,12868.0,133733.0,1535.0
Haryana,India,2020-10-05 04:23:33,133878,1470,120341,12067.0,110018.0,1118.0
Haryana,India,2020-10-06 04:23:33,134909,1491,121596,11822.0,-60637.0,-710.0
Haryana,India,2020-10-07 04:23:40,136115,1509,123286,11320.0,635577.0,8545.0
Haryana,India,2020-10-08 04:23:56,137398,1528,124841,11029.0,-117464.0,-1238.0
Haryana,India,2020-10-09 04:23:59,138682,1548,126267,10867.0,655469.0,8524.0
Haryana,India,2020-10-10 04:23:57,139932,1562,127540,10830.0,629637.0,8043.0
Haryana,India,2020-10-11 04:23:46,141090,1572,128841,10677.0,804879.0,8714.0
Haryana,India,2020-10-12 04:23:45,142155,1579,130003,10573.0,543157.0,4967.0
Haryana,India,2020-10-13 04:24:02,143221,1592,131228,10401.0,628041.0,8457.0
Haryana,India,2020-10-14 04:24:05,144302,1601,132382,10319.0,-118138.0,-1252.0
Haryana,India,2020-10-15 04:24:28,145507,1614,133706,10187.0,126385.0,1439.0
Haryana,India,2020-10-16 04:24:01,146706,1623,134719,10364.0,682242.0,8468.0
Haryana,India,2020-10-17 04:24:12,147933,1634,135858,10441.0,74359.0,615.0
Haryana,India,2020-10-18 04:24:25,149081,1640,137176,10265.0,620747.0,7987.0
Haryana,India,2020-10-19 04:24:16,150033,1640,138351,10042.0,622081.0,8420.0
Haryana,India,2020-10-20 04:24:22,151234,1648,139511,10075.0,114157.0,1316.0
Haryana,India,2020-10-21 04:24:14,152174,1660,140436,10078.0,-4241.0,-26.0
Haryana,India,2020-10-22 04:24:27,153367,1674,141506,10187.0,618021.0,8376.0
Haryana,India,2020-10-23 04:24:46,154495,1688,142798,10009.0,590107.0,6047.0
Haryana,India,2020-10-24 04:24:46,155765,1705,143978,10082.0,612613.0,7680.0
Haryana,India,2020-10-25 04:24:36,157064,1720,145196,10148.0,-23186.0,-250.0
Haryana,India,2020-10-26 04:25:02,158304,1727,146282,10295.0,117776.0,1352.0
Haryana,India,2020-10-27 04:24:45,159457,1737,147566,10154.0,49794.0,376.0
Haryana,India,2020-10-28 04:24:39,160705,1750,148503,10452.0,163839.0,1548.0
Haryana,India,2020-10-29 04:24:49,162223,1758.0,149451,11014.0,111665.0,1307.0
Haryana,India,2020-10-30 04:24:49,163817,1766,150660,11391.0,-43239.0,-493.0
Haryana,India,2020-10-31 04:24:44,165467,1777,151839,11851.0,606565.0,8280.0
Haryana,India,2020-11-01 04:36:19,167210,1789,153230,12191.0,-155200.0,-1601.0
Haryana,India,2020-11-02 05:25:04,168880,1795,154451,12634.0,95281.0,1145.0
Haryana,India,2020-11-03 06:00:16,170446,1810,155717,12919.0,600265.0,7998.0
Haryana,India,2020-11-04 05:25:09,172130,1817,156975,13338.0,601658.0,8247.0
Haryana,India,2020-11-05 06:05:03,174082,1836,158136,14110.0,-21908.0,-176.0
Haryana,India,2020-11-06 05:24:55,176146,1859,159643,14644.0,-22779.0,-185.0
Haryana,India,2020-11-07 05:24:52,178413,1880,161176,15357.0,591050.0,7706.0
Haryana,India,2020-11-08 05:24:56,180424,1897,162814,15713.0,66255.0,727.0
Haryana,India,2020-11-09 05:25:45,182804,1912,164444,16448.0,586439.0,7630.0
Haryana,India,2020-11-10 05:40:07,185231,1919,166595.0,16717.0,577700.0,6832.0
Haryana,India,2020-11-11 05:25:30,187777,1935,168421.0,17421.0,80823.0,1098.0
Haryana,India,2020-11-12 05:25:55,190323,1960,170250.0,18113.0,79940.0,1083.0
Haryana,India,2020-11-13 05:25:30,193111,1979,172265,18867.0,578669.0,8075.0
Haryana,India,2020-11-14 05:25:37,195799,2006,174380,19413.0,574347.0,7648.0
Haryana,India,2020-11-15 05:26:53,197917,2011,176368,19538.0,71919.0,1031.0
Haryana,India,2020-11-16 05:25:57,199874,2019,178298,19557.0,70093.0,1023.0
Haryana,India,2020-11-17 05:25:54,202027,2038,180647,19342.0,-187086.0,-1798.0
Haryana,India,2020-11-18 05:40:31,204477,2063,183261,19153.0,565240.0,7554.0
Haryana,India,2020-11-19 05:25:23,207039,2093,185403,19543.0,366776.0,3044.0
Haryana,India,2020-11-20 05:26:28,209251,2113,187559,19579.0,38828.0,537.0
Haryana,India,2020-11-21 05:25:51,212355,2138,190067,20150.0,315418.0,2488.0
Haryana,India,2020-11-22 05:25:45,215021,2163,192533,20325.0,-143038.0,-1404.0
Haryana,India,2020-11-23 05:25:26,217300,2188,194768,20344.0,11446.0,157.0
Haryana,India,2020-11-24 05:27:31,219963,2216,197335,20412.0,554954.0,7848.0
Haryana,India,2020-11-25 05:27:20,222292,2249,199278,20765.0,-177475.0,-1738.0
