,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
2878,Himachal Pradesh,India,2020-06-11 03:33:41,445,5,249
2914,Himachal Pradesh,India,2020-06-12 05:09:52,470,6,280
13484,Himachal Pradesh,India,2020-06-13 03:33:14,470,6,280
13448,Himachal Pradesh,India,2020-06-14 03:33:15,486,6,297
21404,Himachal Pradesh,India,2020-06-15 03:33:14,502,6,313
21440,Himachal Pradesh,India,2020-06-16 04:33:09,556,8,353
5915,Himachal Pradesh,India,2020-06-17 04:33:21,560,8,372
5879,Himachal Pradesh,India,2020-06-18 04:33:18,569,8,372
12335,Himachal Pradesh,India,2020-06-19 04:33:17,595,8,382
12299,Himachal Pradesh,India,2020-06-20 04:33:19,619,8,388
21256,Himachal Pradesh,India,2020-06-21 04:33:19,656,8,413
21292,Himachal Pradesh,India,2020-06-22 04:33:20,673,8,425
9067,Himachal Pradesh,India,2020-06-23 04:33:22,727,8,437
9031,Himachal Pradesh,India,2020-06-24 04:33:28,775,8,443
5548,Himachal Pradesh,India,2020-06-25 05:26:54,806,8,466
5584,Himachal Pradesh,India,2020-06-26 04:33:43,839,9,477
13186,Himachal Pradesh,India,2020-06-27 04:33:35,864,9,502
13150,Himachal Pradesh,India,2020-06-28 04:34:04,894,9,509
6877,Himachal Pradesh,India,2020-06-29 04:33:44,916,9,529
6767,Himachal Pradesh,India,2020-06-30 04:33:48,942,9,556
15562,Himachal Pradesh,India,2020-07-01 04:33:52,953,10,580
19330,Himachal Pradesh,India,2020-07-02 04:33:46,979,10,614
10293,Himachal Pradesh,India,2020-07-03 04:33:54,1014,10,628
10329,Himachal Pradesh,India,2020-07-04 04:33:51,1033,10,667
1279,Himachal Pradesh,India,2020-07-05 04:33:46,1046,11,704
1243,Himachal Pradesh,India,2020-07-06 04:33:57,1063,11,737
17166,Himachal Pradesh,India,2020-07-07 04:34:00,1077,11,763
17202,Himachal Pradesh,India,2020-07-08 05:33:48,1083,11,790
11296,Himachal Pradesh,India,2020-07-09 04:34:23,1101,11,833
11406,Himachal Pradesh,India,2020-07-10 04:34:24,1140,11,846
14187,Himachal Pradesh,India,2020-07-11 04:34:26,1171,11,883
14151,Himachal Pradesh,India,2020-07-12 04:34:30,1182,11,908
3581,Himachal Pradesh,India,2020-07-13 04:43:04,1213,11,929
3617,Himachal Pradesh,India,2020-07-14 04:34:46,1243,11,940
7099,Himachal Pradesh,India,2020-07-15 04:34:39,1309,11,951
7063,Himachal Pradesh,India,2020-07-16 04:44:59,1341,11,979
22296,Himachal Pradesh,India,2020-07-17 04:34:50,1377,11,984
22332,Himachal Pradesh,India,2020-07-18 04:34:45,1417,11,1024
5731,Himachal Pradesh,India,2020-07-19 04:34:58,1457,11,1036
5767,Himachal Pradesh,India,2020-07-20 05:34:40,1483,11,1059
7990,Himachal Pradesh,India,2020-07-21 04:38:46,1631,11,1067
7954,Himachal Pradesh,India,2020-07-22 04:34:42,1664,11,1077
20108,Himachal Pradesh,India,2020-07-23 05:15:04,1725,11,1105
20144,Himachal Pradesh,India,2020-07-24 05:30:40,1834,11,1136
12518,Himachal Pradesh,India,2020-07-25 04:47:39,1954,11,1145
12482,Himachal Pradesh,India,2020-07-26 04:35:00,2049,11,1173
4806,Himachal Pradesh,India,2020-07-27 04:35:02,2176,12,1198
4842,Himachal Pradesh,India,2020-07-28 04:58:43,2270,14,1216
21478,Himachal Pradesh,India,2020-07-29 04:35:11,2270,14,1216
21552,Himachal Pradesh,India,2020-07-30 04:35:05,2403,14,1332
1613,Himachal Pradesh,India,2020-07-31 04:35:18,2506,14,1387
1576,Himachal Pradesh,India,2020-08-01 04:36:27,2564,14,1459
12371,Himachal Pradesh,India,2020-08-02 04:34:47,2634,14,1502
4617,Himachal Pradesh,India,2020-08-03 04:34:35,2703,14,1559
4580,Himachal Pradesh,India,2020-08-04 04:41:59,2818,14,1658
8100,Himachal Pradesh,India,2020-08-05 04:34:43,2879,14,1710
8137,Himachal Pradesh,India,2020-08-06 04:35:02,2916,14,1762
