Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Jammu and Kashmir,India,2020-06-11 03:33:41,4346,48,1506,2792.0,118762.0,1872.0
Jammu and Kashmir,India,2020-06-12 05:09:52,4574,52,1820,2702.0,318848.0,4345.0
Jammu and Kashmir,India,2020-06-13 03:33:14,4574,52,1820,2702.0,215972.0,2730.0
Jammu and Kashmir,India,2020-06-14 03:33:15,4730,53,2086,2591.0,99425.0,1560.0
Jammu and Kashmir,India,2020-06-15 03:33:14,4878,55,2269,2554.0,121323.0,1900.0
Jammu and Kashmir,India,2020-06-16 04:33:09,5220,62,2604,2554.0,347403.0,4495.0
Jammu and Kashmir,India,2020-06-17 04:33:21,5298,63,2781,2454.0,13092.0,258.0
Jammu and Kashmir,India,2020-06-18 04:33:18,5406,65,2914,2427.0,336396.0,4465.0
Jammu and Kashmir,India,2020-06-19 04:33:17,5555,71,3144,2340.0,326083.0,4358.0
Jammu and Kashmir,India,2020-06-20 04:33:19,5680,75,3194,2411.0,48416.0,803.0
Jammu and Kashmir,India,2020-06-21 04:33:19,5834,81,3336,2417.0,319784.0,4328.0
Jammu and Kashmir,India,2020-06-22 04:33:20,5956,82,3382,2492.0,69114.0,1099.0
Jammu and Kashmir,India,2020-06-23 04:33:22,6088,85,3531,2472.0,1409.0,16.0
Jammu and Kashmir,India,2020-06-24 04:33:28,6236,87,3642,2507.0,360615.0,4488.0
Jammu and Kashmir,India,2020-06-25 05:26:54,6422,88,3818,2516.0,324640.0,4338.0
Jammu and Kashmir,India,2020-06-26 04:33:43,6549,90,3967,2492.0,443324.0,4651.0
Jammu and Kashmir,India,2020-06-27 04:33:35,6762,91,4080,2591.0,322458.0,4331.0
Jammu and Kashmir,India,2020-06-28 04:34:04,6966,93,4225,2648.0,292084.0,3958.0
Jammu and Kashmir,India,2020-06-29 04:33:44,7093,94,4316,2683.0,-331.0,-3.0
Jammu and Kashmir,India,2020-06-30 04:33:48,7237,95,4585,2557.0,77471.0,1245.0
Jammu and Kashmir,India,2020-07-01 04:33:52,7497,101,4722,2674.0,304659.0,4161.0
Jammu and Kashmir,India,2020-07-02 04:33:46,7695,105,4856,2734.0,106343.0,1656.0
Jammu and Kashmir,India,2020-07-03 04:33:54,7849,115,4974,2760.0,315476.0,4280.0
Jammu and Kashmir,India,2020-07-04 04:33:51,8019,119,5075,2825.0,119715.0,1855.0
Jammu and Kashmir,India,2020-07-05 04:33:46,8246,127,5143,2976.0,19775.0,400.0
Jammu and Kashmir,India,2020-07-06 04:33:57,8429,132,5255,3042.0,102249.0,1570.0
Jammu and Kashmir,India,2020-07-07 04:34:00,8675,138,5318,3219.0,116175.0,1806.0
Jammu and Kashmir,India,2020-07-08 05:33:48,8931,143,5399,3389.0,94650.0,1461.0
Jammu and Kashmir,India,2020-07-09 04:34:23,9261,149,5567,3545.0,272367.0,3590.0
Jammu and Kashmir,India,2020-07-10 04:34:24,9501,154,5695,3652.0,90343.0,1395.0
Jammu and Kashmir,India,2020-07-11 04:34:26,9888,159,5786,3943.0,71209.0,1123.0
Jammu and Kashmir,India,2020-07-12 04:34:30,10156,169,5895,4092.0,85169.0,1313.0
Jammu and Kashmir,India,2020-07-13 04:43:04,10513,179,5979,4355.0,83251.0,1287.0
Jammu and Kashmir,India,2020-07-14 04:34:46,10827,187,6095,4545.0,172659.0,2183.0
Jammu and Kashmir,India,2020-07-15 04:34:39,11173,195,6223,4755.0,-5767.0,-130.0
Jammu and Kashmir,India,2020-07-16 04:44:59,11666,206,6337,5123.0,315474.0,4208.0
Jammu and Kashmir,India,2020-07-17 04:34:50,12156,222,6446,5488.0,319143.0,4207.0
Jammu and Kashmir,India,2020-07-18 04:34:45,12757,231,6558,5968.0,-4738.0,-112.0
Jammu and Kashmir,India,2020-07-19 04:34:58,13198,236,7165,5797.0,-6649.0,-146.0
Jammu and Kashmir,India,2020-07-20 05:34:40,13899,244,7811,5844.0,345474.0,4323.0
Jammu and Kashmir,India,2020-07-21 04:38:46,14650,254,8274,6122.0,304198.0,4103.0
Jammu and Kashmir,India,2020-07-22 04:34:42,15258,263,8455,6540.0,290514.0,3897.0
Jammu and Kashmir,India,2020-07-23 05:15:04,15711,273,8607,6831.0,105033.0,1607.0
Jammu and Kashmir,India,2020-07-24 05:30:40,16429,282,8709,7438.0,190525.0,2330.0
Jammu and Kashmir,India,2020-07-25 04:47:39,16782,296,9217,7269.0,392384.0,4331.0
Jammu and Kashmir,India,2020-07-26 04:35:00,17305,305,9517,7483.0,325463.0,4228.0
Jammu and Kashmir,India,2020-07-27 04:35:02,17920,312,9928,7680.0,300549.0,4044.0
Jammu and Kashmir,India,2020-07-28 04:58:43,18390,321,10402,7667.0,301186.0,4041.0
Jammu and Kashmir,India,2020-07-29 04:35:11,18390,321,10402,7667.0,313764.0,4111.0
Jammu and Kashmir,India,2020-07-30 04:35:05,19419,348,11322,7749.0,313038.0,4090.0
Jammu and Kashmir,India,2020-07-31 04:35:18,19869,365,11842,7662.0,102307.0,1538.0
Jammu and Kashmir,India,2020-08-01 04:36:27,20359,377,12217,7765.0,309893.0,4049.0
Jammu and Kashmir,India,2020-08-02 04:34:47,20972,388,12871,7713.0,302089.0,4007.0
Jammu and Kashmir,India,2020-08-03 04:34:35,21416,396,13127,7893.0,238641.0,3026.0
