Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Karnataka,India,2020-06-11 03:33:41,5921,66,2604,3251.0,2850570.0,35368.0
Karnataka,India,2020-06-12 05:09:52,6245,72,2977,3196.0,905137.0,11957.0
Karnataka,India,2020-06-13 03:33:14,6245,72,2977,3196.0,2987354.0,38103.0
Karnataka,India,2020-06-14 03:33:15,6516,79,3440,2997.0,11500.0,193.0
Karnataka,India,2020-06-15 03:33:14,6824,81,3648,3095.0,189670.0,3429.0
Karnataka,India,2020-06-16 04:33:09,7213,89,4135,2989.0,2721035.0,32202.0
Karnataka,India,2020-06-17 04:33:21,7530,94,4456,2980.0,3749501.0,38780.0
Karnataka,India,2020-06-18 04:33:18,7734,102,4804,2828.0,2989099.0,38114.0
Karnataka,India,2020-06-19 04:33:17,7944,114,4983,2847.0,2969281.0,37697.0
Karnataka,India,2020-06-20 04:33:19,8281,124,5210,2947.0,735567.0,10159.0
Karnataka,India,2020-06-21 04:33:19,8697,132,5391,3174.0,823699.0,11115.0
Karnataka,India,2020-06-22 04:33:20,9150,137,5618,3395.0,2940295.0,37181.0
Karnataka,India,2020-06-23 04:33:22,9399,142,5730,3527.0,501947.0,7780.0
Karnataka,India,2020-06-24 04:33:28,9721,150,6004,3567.0,2936272.0,37111.0
Karnataka,India,2020-06-25 05:26:54,10118,164,6151,3803.0,2958425.0,37463.0
Karnataka,India,2020-06-26 04:33:43,10560,170,6670,3720.0,2976753.0,37884.0
Karnataka,India,2020-06-27 04:33:35,11005,180,6916,3909.0,238585.0,4147.0
Karnataka,India,2020-06-28 04:34:04,11923,191,7287,4445.0,944878.0,12188.0
Karnataka,India,2020-06-29 04:33:44,13190,207,7507,5476.0,897051.0,11809.0
Karnataka,India,2020-06-30 04:33:48,14295,226,7683,6386.0,3549813.0,38388.0
Karnataka,India,2020-07-01 04:33:52,15242,246,7918,7078.0,2988997.0,38063.0
Karnataka,India,2020-07-02 04:33:46,16514,253,8063,8198.0,709592.0,9870.0
Karnataka,India,2020-07-03 04:33:54,18016,272,8334,9410.0,2962605.0,37603.0
Karnataka,India,2020-07-04 04:33:51,19710,293,8805,10612.0,940562.0,12097.0
Karnataka,India,2020-07-05 04:33:46,21549,335,9244,11970.0,554017.0,8247.0
Karnataka,India,2020-07-06 04:33:57,23474,372,9847,13255.0,2928370.0,36989.0
Karnataka,India,2020-07-07 04:34:00,25317,401,10527,14389.0,16264.0,356.0
Karnataka,India,2020-07-08 05:33:48,26815,416,11098,15301.0,1907563.0,18360.0
