Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Kerala,India,2020-06-11 03:33:41,2096,16,848,1232.0,1125286.0,4616.0
Kerala,India,2020-06-12 05:09:52,2244,18,968,1258.0,3185472.0,15494.0
Kerala,India,2020-06-13 03:33:14,2244,18,968,1258.0,3911262.0,20116.0
Kerala,India,2020-06-14 03:33:15,2322,19,1000,1303.0,4726734.0,25507.0
Kerala,India,2020-06-15 03:33:14,2407,19,1046,1342.0,322805.0,1094.0
Kerala,India,2020-06-16 04:33:09,2543,20,1175,1348.0,3232990.0,15851.0
Kerala,India,2020-06-17 04:33:21,2622,20,1236,1366.0,585085.0,2151.0
Kerala,India,2020-06-18 04:33:18,2697,20,1326,1351.0,193409.0,722.0
Kerala,India,2020-06-19 04:33:17,2794,21,1415,1358.0,1086684.0,4360.0
Kerala,India,2020-06-20 04:33:19,2912,21,1511,1380.0,70943.0,266.0
Kerala,India,2020-06-21 04:33:19,3039,21,1568,1450.0,839804.0,3421.0
Kerala,India,2020-06-22 04:33:20,3172,21,1661,1490.0,2450.0,6.0
Kerala,India,2020-06-23 04:33:22,3310,21,1749,1540.0,4442918.0,23144.0
Kerala,India,2020-06-24 04:33:28,3451,22,1809,1620.0,4387038.0,22628.0
Kerala,India,2020-06-25 05:26:54,3603,22,1888,1693.0,5213986.0,44481.0
Kerala,India,2020-06-26 04:33:43,3726,22,1943,1761.0,2391864.0,7709.0
Kerala,India,2020-06-27 04:33:35,3876,22,2008,1846.0,5593772.0,51717.0
Kerala,India,2020-06-28 04:34:04,4071,22,2110,1939.0,2757403.0,11633.0
Kerala,India,2020-06-29 04:33:44,4189,22,2152,2015.0,1113804.0,4557.0
Kerala,India,2020-06-30 04:33:48,4189,22,2152,2015.0,761735.0,3073.0
Kerala,India,2020-07-01 04:33:52,4442,24,2306,2112.0,2944686.0,13481.0
Kerala,India,2020-07-02 04:33:46,4593,24,2439,2130.0,1132997.0,4656.0
Kerala,India,2020-07-03 04:33:54,4753,25,2640,2088.0,695405.0,2761.0
Kerala,India,2020-07-04 04:33:51,4964,25,2841,2098.0,957399.0,3823.0
Kerala,India,2020-07-05 04:33:46,5204,25,3048,2131.0,2872785.0,12792.0
Kerala,India,2020-07-06 04:33:57,5429,25,3174,2230.0,1861398.0,5721.0
Kerala,India,2020-07-07 04:34:00,5622,27,3341,2254.0,63682.0,247.0
Kerala,India,2020-07-08 05:33:48,5894,27,3452,2415.0,4084142.0,20934.0
Kerala,India,2020-07-09 04:34:23,6195,27,3559,2609.0,4502271.0,23564.0
Kerala,India,2020-07-10 04:34:24,6534,27,3708,2799.0,12491.0,34.0
Kerala,India,2020-07-11 04:34:26,6950,27,3820,3103.0,5117668.0,39098.0
Kerala,India,2020-07-12 04:34:30,7438,29,3963,3446.0,6286469.0,59086.0
Kerala,India,2020-07-13 04:43:04,7873,31,4095,3747.0,5244541.0,48082.0
Kerala,India,2020-07-14 04:34:46,8322,33,4257,4032.0,2161047.0,6482.0
Kerala,India,2020-07-15 04:34:39,8930,34,4438,4458.0,769943.0,3126.0
Kerala,India,2020-07-16 04:44:59,9553,35,4634,4884.0,-2115.0,-6.0
Kerala,India,2020-07-17 04:34:50,10275,37,4862,5376.0,1122156.0,4621.0
Kerala,India,2020-07-18 04:34:45,11066,38,4995,6033.0,1045083.0,4144.0
Kerala,India,2020-07-19 04:34:58,11659,40,5199,6420.0,1107883.0,4550.0
Kerala,India,2020-07-20 05:34:40,12480,42,5371,7067.0,1122753.0,4626.0
Kerala,India,2020-07-21 04:38:46,13274,43,5616,7615.0,95004.0,396.0
Kerala,India,2020-07-22 04:34:42,13994,44,5890,8060.0,426136.0,1468.0
Kerala,India,2020-07-23 05:15:04,15032,45,6162,8825.0,4882852.0,27720.0
Kerala,India,2020-07-24 05:30:40,16110,50,6594,9466.0,-10906.0,-25.0
Kerala,India,2020-07-25 04:47:39,16995,54,7562,9379.0,3635095.0,18340.0
Kerala,India,2020-07-26 04:35:00,18098,59,8611,9428.0,426170.0,1474.0
Kerala,India,2020-07-27 04:35:02,19025,61,9300,9664.0,1048019.0,4180.0
Kerala,India,2020-07-28 04:58:43,19727,63,10045,9619.0,4289967.0,22063.0
Kerala,India,2020-07-29 04:35:11,19727,63,10045,9619.0,377490.0,1289.0
Kerala,India,2020-07-30 04:35:05,21797,68,11365,10364.0,5056187.0,36407.0
Kerala,India,2020-07-31 03:40:34,21797,68,11365,10364.0,1167378.0,4768.0
Kerala,India,2020-08-01 04:36:27,23613,73,13023,10517.0,3678804.0,18670.0
Kerala,India,2020-08-02 04:34:47,24742,81,13775,10886.0,826452.0,3399.0
Kerala,India,2020-08-03 04:34:35,25911,82,14463,11366.0,6245472.0,58173.0
Kerala,India,2020-08-04 04:41:59,26873,84,15278,11511.0,5698213.0,52057.0
Kerala,India,2020-08-05 04:34:43,27956,87,16299,11570.0,19942.0,88.0
Kerala,India,2020-08-06 04:35:02,29151,94,17533,11524.0,5481693.0,51407.0
Kerala,India,2020-08-07 04:35:11,30449,97,18333,12019.0,5126465.0,41027.0
Kerala,India,2020-08-08 04:34:53,31700,102,19147,12451.0,4956010.0,32496.0
Kerala,India,2020-08-09 04:34:54,33120,106,20862,12152.0,5157708.0,42718.0
Kerala,India,2020-08-10 04:34:55,34331,108,21832,12391.0,2668492.0,10696.0
Kerala,India,2020-08-11 04:35:08,35515,115,22616,12784.0,902838.0,3661.0
Kerala,India,2020-08-12 04:27:29,36932,120,24042,12770.0,5191354.0,45741.0
Kerala,India,2020-08-13 04:29:15,38144,126,24922,13096.0,2195324.0,6598.0
Kerala,India,2020-08-14 04:51:19,39708,129,25688,13891.0,643732.0,2578.0
Kerala,India,2020-08-15 04:27:31,41277,139,26992,14146.0,-23179.0,-80.0
Kerala,India,2020-08-16 04:27:42,42885,146,27795,14944.0,3491033.0,17508.0
Kerala,India,2020-08-17 04:27:20,44415,156,28894,15365.0,2469864.0,8485.0
Kerala,India,2020-08-18 04:27:56,46140,169,30025,15946.0,243062.0,834.0
Kerala,India,2020-08-19 04:27:00,47898,175,31390,16333.0,3804086.0,19582.0
Kerala,India,2020-08-20 04:27:43,50231,182,32607,17442.0,9273.0,52.0
Kerala,India,2020-08-21 04:27:41,52199,191,33824,18184.0,573568.0,2167.0
Kerala,India,2020-08-22 04:27:49,54182,203,35243,18736.0,2927539.0,13615.0
Kerala,India,2020-08-23 04:27:48,56354,218,36535,19601.0,1003049.0,3979.0
Kerala,India,2020-08-24 04:27:56,58262,223,37645,20394.0,50016.0,216.0
Kerala,India,2020-08-25 04:28:02,59504,234,38883,20387.0,3727293.0,19111.0
Kerala,India,2020-08-26 04:28:11,61879,244,40339,21296.0,546478.0,2026.0
Kerala,India,2020-08-27 04:28:15,64355,257,41690,22408.0,5077459.0,39875.0
Kerala,India,2020-08-28 04:28:11,66761,267,43757,22737.0,4574826.0,24394.0
Kerala,India,2020-08-29 04:28:19,69304,274,45854,23176.0,-44562.0,-193.0
Kerala,India,2020-08-30 04:28:22,71701,280,48079,23342.0,2737693.0,11780.0
Kerala,India,2020-08-31 04:28:27,73855,287,49849,23719.0,898325.0,3596.0
Kerala,India,2020-09-01 04:28:31,75385,294,51538,23553.0,-55658.0,-231.0
Kerala,India,2020-09-02 04:28:25,76525,298,53649,22578.0,469116.0,1671.0
Kerala,India,2020-09-03 04:28:22,78072,305,55778,21989.0,4629837.0,24998.0
Kerala,India,2020-09-04 04:28:26,79625,315,57728,21582.0,6301438.0,61311.0
Kerala,India,2020-09-05 04:28:19,82104,326,60444,21334.0,4497179.0,23865.0
Kerala,India,2020-09-06 04:28:33,84759,337,62555,21867.0,4837236.0,28536.0
Kerala,India,2020-09-07 04:28:30,87841,347,64751,22743.0,-76182.0,-307.0
Kerala,India,2020-09-08 04:28:25,89489,359,66997,22133.0,4749322.0,26375.0
Kerala,India,2020-09-09 04:28:48,92515,372,68863,23280.0,6152139.0,57368.0
Kerala,India,2020-09-10 04:29:01,95917,384,70917,24616.0,5195422.0,49373.0
Kerala,India,2020-09-11 04:46:23,99266,396,72578,26292.0,1006201.0,4111.0
Kerala,India,2020-09-12 04:25:05,102254,410,73900,27944.0,4952970.0,35275.0
Kerala,India,2020-09-13 04:30:52,105139,425,75844,28870.0,4633652.0,25252.0
Kerala,India,2020-09-14 04:26:00,108278,439,77699,30140.0,491322.0,1784.0
Kerala,India,2020-09-15 03:22:50,108278,439,77699,30140.0,3637179.0,18610.0
Kerala,India,2020-09-16 04:22:53,114033,466,82341,31226.0,-107083.0,-439.0
Kerala,India,2020-09-17 04:22:00,117863,480,84608,32775.0,3136201.0,15489.0
Kerala,India,2020-09-18 05:05:00,122214,489,87345,34380.0,609870.0,2441.0
Kerala,India,2020-09-19 04:22:00,126381,501,90085,35795.0,87118.0,290.0
Kerala,India,2020-09-20 04:22:00,131005,519,92951,37535.0,4203699.0,21784.0
Kerala,India,2020-09-21 04:23:00,135721,535,95702,39484.0,3474472.0,17585.0
Kerala,India,2020-09-22 04:23:00,138631,553,98724,39354.0,4876874.0,33163.0
Kerala,India,2020-09-23 04:23:00,142756,572,101731,40453.0,-46839.0,-188.0
Kerala,India,2020-09-24 04:23:00,148132,592,104682,42858.0,-97901.0,-410.0
Kerala,India,2020-09-25 04:23:00,154456,613,107850,45993.0,5049966.0,43013.0
Kerala,India,2020-09-26 04:23:00,160933,635,111331,48967.0,4943769.0,37040.0
Kerala,India,2020-09-27 04:23:00,167939,656,114530,52753.0,4827316.0,32078.0
Kerala,India,2020-09-28 04:23:00,175384,677,117921,56786.0,3628519.0,18751.0
Kerala,India,2020-09-29 04:23:42,179922,697,121268,57957.0,3766385.0,19616.0
Kerala,India,2020-09-30 04:23:33,187276,719,124688,61869.0,5067698.0,47465.0
Kerala,India,2020-10-01 04:23:42,196106,742,128224,67140.0,25227.0,71.0
Kerala,India,2020-10-02 04:23:51,204241,771,131052,72418.0,2732792.0,12588.0
Kerala,India,2020-10-03 04:23:40,213499,791,135144,77564.0,2652372.0,11908.0
Kerala,India,2020-10-04 04:23:44,221333,813,139620,80900.0,4732730.0,30343.0
Kerala,India,2020-10-05 04:23:33,229886,836,144471,84579.0,880022.0,3691.0
Kerala,India,2020-10-06 04:23:33,234928,859,149111,84958.0,2912053.0,14410.0
Kerala,India,2020-10-07 04:23:40,242799,884,154092,87823.0,2542505.0,10949.0
Kerala,India,2020-10-08 04:23:56,253405,906,160253,92246.0,2785624.0,13474.0
Kerala,India,2020-10-09 04:23:59,258850,930,167256,90664.0,1347969.0,4426.0
Kerala,India,2020-10-10 04:23:57,268100,955,175304,91841.0,766557.0,3134.0
Kerala,India,2020-10-11 04:23:46,279855,978,182874,96003.0,4945917.0,44560.0
Kerala,India,2020-10-12 04:23:45,289202,1003,191798,96401.0,2672382.0,12637.0
Kerala,India,2020-10-13 04:24:02,295132,1025,199634,94473.0,3762101.0,19763.0
Kerala,India,2020-10-14 04:24:05,303896,1046,207357,95493.0,2761440.0,13540.0
Kerala,India,2020-10-15 04:24:28,310140,1066,215149,93925.0,4912427.0,44089.0
Kerala,India,2020-10-16 04:24:01,317929,1089,222231,94609.0,754507.0,3182.0
Kerala,India,2020-10-17 04:24:12,325212,1113,228998,95101.0,3928086.0,20707.0
Kerala,India,2020-10-18 04:24:25,334228,1139,236989,96100.0,3114921.0,15964.0
Kerala,India,2020-10-19 04:24:16,341859,1161,245399,95299.0,505989.0,2302.0
Kerala,India,2020-10-20 04:24:22,346881,1182,252868,92831.0,2980420.0,15275.0
Kerala,India,2020-10-21 04:24:14,353472,1206,260243,92023.0,-265631.0,-859.0
Kerala,India,2020-10-22 04:24:27,361841,1232,267082,93527.0,3008296.0,15469.0
Kerala,India,2020-10-23 04:24:46,369323,1255,274675,93393.0,1455533.0,4427.0
Kerala,India,2020-10-24 04:24:46,377834,1281,280793,95760.0,-8511.0,-26.0
Kerala,India,2020-10-25 04:24:36,386087,1306,287261,97520.0,267954.0,1227.0
Kerala,India,2020-10-26 04:25:02,392930,1332,294910,96688.0,5684626.0,54268.0
Kerala,India,2020-10-27 04:24:45,397217,1352,302017,93848.0,3978214.0,21199.0
Kerala,India,2020-10-28 04:24:39,402674,1376,309032,92266.0,-400578.0,-1360.0
Kerala,India,2020-10-29 04:24:49,411464,1403.0,316692,93369.0,2336740.0,10105.0
