Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Ladakh,India,2020-06-11 03:33:41,108,1,52,55.0,2025.0,18.0
Ladakh,India,2020-06-12 05:09:52,135,1,54,80.0,5306.0,64.0
Ladakh,India,2020-06-13 03:33:14,135,1,54,80.0,4294.0,60.0
Ladakh,India,2020-06-14 03:33:15,239,1,62,176.0,751.0,0.0
Ladakh,India,2020-06-15 03:33:14,437,1,68,368.0,1442.0,8.0
Ladakh,India,2020-06-16 04:33:09,555,1,82,472.0,3597.0,57.0
Ladakh,India,2020-06-17 04:33:21,649,1,85,563.0,8928.0,126.0
Ladakh,India,2020-06-18 04:33:18,687,1,92,594.0,8921.0,126.0
Ladakh,India,2020-06-19 04:33:17,687,1,95,591.0,9134.0,129.0
Ladakh,India,2020-06-20 04:33:19,744,1,95,648.0,20315.0,208.0
Ladakh,India,2020-06-21 04:33:19,836,1,117,718.0,7109.0,100.0
Ladakh,India,2020-06-22 04:33:20,837,1,134,702.0,6097.0,84.0
Ladakh,India,2020-06-23 04:33:22,847,1,136,710.0,5086.0,70.0
Ladakh,India,2020-06-24 04:33:28,932,1,148,783.0,21026.0,216.0
Ladakh,India,2020-06-25 05:26:54,941,1,274,666.0,5198.0,73.0
Ladakh,India,2020-06-26 04:33:43,941,1,358,582.0,3028.0,53.0
Ladakh,India,2020-06-27 04:33:35,946,1,358,587.0,19995.0,207.0
Ladakh,India,2020-06-28 04:34:04,960,1,554,405.0,19461.0,206.0
Ladakh,India,2020-06-29 04:33:44,963,1,586,376.0,4430.0,64.0
Ladakh,India,2020-06-30 04:33:48,964,1,616,347.0,41.0,0.0
Ladakh,India,2020-07-01 04:33:52,973,1,648,324.0,17689.0,188.0
Ladakh,India,2020-07-02 04:33:46,990,1,694,295.0,20337.0,211.0
Ladakh,India,2020-07-03 04:33:54,990,1,730,259.0,3487.0,60.0
Ladakh,India,2020-07-04 04:33:51,1001,1,777,223.0,2831.0,49.0
Ladakh,India,2020-07-05 04:33:46,1005,1,826,178.0,8066.0,121.0
Ladakh,India,2020-07-06 04:33:57,1005,1,826,178.0,19571.0,206.0
Ladakh,India,2020-07-07 04:34:00,1005,1,836,168.0,8629.0,127.0
Ladakh,India,2020-07-08 05:33:48,1041,1,836,204.0,8598.0,127.0
Ladakh,India,2020-07-09 04:34:23,1041,1,836,204.0,21329.0,220.0
Ladakh,India,2020-07-10 04:34:24,1055,1,915,139.0,17131.0,184.0
Ladakh,India,2020-07-11 04:34:26,1064,1,917,146.0,22.0,0.0
Ladakh,India,2020-07-12 04:34:30,1077,1,928,148.0,16455.0,177.0
Ladakh,India,2020-07-13 04:43:04,1086,1,928,157.0,3716.0,62.0
Ladakh,India,2020-07-14 04:34:46,1093,1,946,146.0,3627.0,60.0
Ladakh,India,2020-07-15 04:34:39,1093,1,946,146.0,7322.0,116.0
Ladakh,India,2020-07-16 04:44:59,1142,1,964,177.0,8458.0,126.0
Ladakh,India,2020-07-17 04:34:50,1147,1,970,176.0,19449.0,206.0
Ladakh,India,2020-07-18 04:34:45,1151,1,973,177.0,2484.0,47.0
Ladakh,India,2020-07-19 04:34:58,1159,1,985,173.0,-12.0,0.0
Ladakh,India,2020-07-20 05:34:40,1178,2,1003,173.0,7299.0,117.0
Ladakh,India,2020-07-21 04:38:46,1195,2,1007,186.0,8567.0,128.0
Ladakh,India,2020-07-22 04:34:42,1198,2,1010,186.0,8537.0,128.0
Ladakh,India,2020-07-23 05:15:04,1206,2,1018,186.0,22679.0,220.0
Ladakh,India,2020-07-24 05:30:40,1210,2,1025,183.0,8028.0,121.0
Ladakh,India,2020-07-25 04:47:39,1246,2,1035,209.0,8619.0,128.0
Ladakh,India,2020-07-26 04:35:00,1276,3,1057,216.0,20073.0,209.0
Ladakh,India,2020-07-27 04:35:02,1285,4,1063,218.0,18993.0,202.0
Ladakh,India,2020-07-28 04:58:43,1306,4,1066,236.0,6966.0,110.0
Ladakh,India,2020-07-29 04:35:11,1306,4,1066,236.0,24880.0,221.0
Ladakh,India,2020-07-30 04:35:05,1347,6,1080,261.0,8956.0,124.0
Ladakh,India,2020-07-31 04:35:18,1378,7,1094,277.0,8460.0,123.0
Ladakh,India,2020-08-01 04:36:27,1404,7,1095,302.0,11833.0,129.0
Ladakh,India,2020-08-02 04:34:47,1462,7,1108,347.0,18784.0,199.0
Ladakh,India,2020-08-03 04:34:35,1466,7,1108,351.0,19386.0,201.0
Ladakh,India,2020-08-04 04:41:59,1485,7,1109,369.0,19265.0,200.0
Ladakh,India,2020-08-05 04:34:43,1534,7,1127,400.0,18831.0,200.0
Ladakh,India,2020-08-06 04:35:02,1592,7,1164,421.0,8148.0,123.0
Ladakh,India,2020-08-07 04:35:11,1595,7,1177,411.0,8054.0,121.0
Ladakh,India,2020-08-08 04:34:53,1614,9,1194,411.0,8360.0,121.0
Ladakh,India,2020-08-09 04:34:54,1639,9,1214,416.0,2294.0,42.0
Ladakh,India,2020-08-10 04:34:55,1688,9,1222,457.0,18543.0,197.0
Ladakh,India,2020-08-11 04:35:08,1717,9,1237,471.0,18088.0,193.0
Ladakh,India,2020-08-12 04:27:29,1770,9,1255,506.0,240.0,8.0
Ladakh,India,2020-08-13 04:29:15,1811,9,1274,528.0,17972.0,192.0
Ladakh,India,2020-08-14 04:51:19,1849,9,1282,558.0,-794.0,-8.0
Ladakh,India,2020-08-15 04:27:31,1879,9,1303,567.0,8901.0,122.0
Ladakh,India,2020-08-16 04:27:42,1909,10,1307,592.0,1268.0,26.0
