Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Madhya Pradesh,India,2020-06-11 03:33:41,9849,420,6729,2700.0,978684.0,10219.0
Madhya Pradesh,India,2020-06-12 05:09:52,10241,431,7042,2768.0,783154.0,10098.0
Madhya Pradesh,India,2020-06-13 03:33:14,10241,431,7042,2768.0,205716.0,2916.0
Madhya Pradesh,India,2020-06-14 03:33:15,10443,440,7201,2802.0,168625.0,2602.0
Madhya Pradesh,India,2020-06-15 03:33:14,10641,447,7377,2817.0,222683.0,3055.0
Madhya Pradesh,India,2020-06-16 04:33:09,10935,465,7903,2567.0,66388.0,1144.0
Madhya Pradesh,India,2020-06-17 04:33:21,11083,476,8152,2455.0,778853.0,8525.0
Madhya Pradesh,India,2020-06-18 04:33:18,11244,482,8388,2374.0,36131.0,659.0
Madhya Pradesh,India,2020-06-19 04:33:17,11426,486,8632,2308.0,780675.0,10030.0
Madhya Pradesh,India,2020-06-20 04:33:19,11582,495,8748,2339.0,780047.0,10015.0
Madhya Pradesh,India,2020-06-21 04:33:19,11724,501,8880,2343.0,781138.0,10023.0
Madhya Pradesh,India,2020-06-22 04:33:20,11903,515,9015,2373.0,780951.0,10009.0
Madhya Pradesh,India,2020-06-23 04:33:22,12078,521,9215,2342.0,310260.0,3592.0
Madhya Pradesh,India,2020-06-24 04:33:28,12261,525,9335,2401.0,16328.0,295.0
Madhya Pradesh,India,2020-06-25 05:26:54,12448,534,9473,2441.0,44416.0,748.0
Madhya Pradesh,India,2020-06-26 04:33:43,12596,542,9619,2435.0,2334.0,66.0
Madhya Pradesh,India,2020-06-27 04:33:35,12798,546,9804,2448.0,587632.0,5359.0
Madhya Pradesh,India,2020-06-28 04:34:04,12965,550,9971,2444.0,155004.0,2340.0
Madhya Pradesh,India,2020-06-29 04:33:44,13186,557,10084,2545.0,754088.0,7061.0
Madhya Pradesh,India,2020-06-30 04:33:48,13370,564,10199,2607.0,779309.0,9959.0
Madhya Pradesh,India,2020-07-01 04:33:52,13593,572,10395,2626.0,776103.0,8345.0
Madhya Pradesh,India,2020-07-02 04:33:46,13861,581,10655,2625.0,779461.0,9948.0
Madhya Pradesh,India,2020-07-03 04:33:54,14106,589,10815,2702.0,777930.0,9925.0
Madhya Pradesh,India,2020-07-04 04:33:51,14297,593,11049,2655.0,242932.0,3236.0
Madhya Pradesh,India,2020-07-05 04:33:46,14604,598,11234,2772.0,778315.0,9926.0
Madhya Pradesh,India,2020-07-06 04:33:57,14930,608,11411,2911.0,777942.0,9916.0
Madhya Pradesh,India,2020-07-07 04:34:00,15284,617,11579,3088.0,156798.0,2341.0
Madhya Pradesh,India,2020-07-08 05:33:48,15627,622,11768,3237.0,-12099.0,-614.0
Madhya Pradesh,India,2020-07-09 04:34:23,16036,629,11987,3420.0,81870.0,1248.0
