Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Maharashtra,India,2020-06-11 03:33:41,90787,3289,42638,44860.0,1947843.0,47966.0
Maharashtra,India,2020-06-12 05:09:52,97648,3590,46078,47980.0,5246415.0,76922.0
Maharashtra,India,2020-06-13 03:33:14,97648,3590,46078,47980.0,1996265.0,48163.0
Maharashtra,India,2020-06-14 03:33:15,101141,3717,47796,49628.0,1873347.0,46434.0
Maharashtra,India,2020-06-15 03:33:14,104568,3830,49346,51392.0,1784199.0,44744.0
Maharashtra,India,2020-06-16 04:33:09,110744,4128,56049,50567.0,3529111.0,55025.0
Maharashtra,India,2020-06-17 04:33:21,113445,5537,57851,50057.0,1715381.0,41709.0
Maharashtra,India,2020-06-18 04:33:18,116752,5651,59166,51935.0,407761.0,12399.0
Maharashtra,India,2020-06-19 04:33:17,120504,5751,60838,53915.0,6914157.0,135950.0
Maharashtra,India,2020-06-20 04:33:19,124331,5893,62773,55665.0,5428894.0,81407.0
Maharashtra,India,2020-06-21 04:33:19,128205,5984,64153,58068.0,1714382.0,41615.0
Maharashtra,India,2020-06-22 04:33:20,132075,6170,65744,60161.0,251648.0,7713.0
Maharashtra,India,2020-06-23 04:33:22,135796,6283,67706,61807.0,6499184.0,134679.0
Maharashtra,India,2020-06-24 04:33:28,139010,6531,69631,62848.0,5759540.0,101802.0
Maharashtra,India,2020-06-25 05:26:54,142900,6739,73792,62369.0,1878284.0,44261.0
Maharashtra,India,2020-06-26 04:33:43,147741,6931,77453,63357.0,644800.0,17652.0
Maharashtra,India,2020-06-27 04:33:35,152765,7106,79815,65844.0,2008702.0,45078.0
Maharashtra,India,2020-06-28 04:34:04,159133,7273,84245,67615.0,6475311.0,133668.0
Maharashtra,India,2020-06-29 04:33:44,164626,7429,86575,70622.0,6150437.0,125609.0
Maharashtra,India,2020-06-30 04:33:48,169883,7610,88960,73313.0,2038703.0,44830.0
Maharashtra,India,2020-07-01 04:33:52,174761,7855,90911,75995.0,1662597.0,39617.0
Maharashtra,India,2020-07-02 04:33:46,180298,8053,93154,79091.0,6123417.0,124738.0
Maharashtra,India,2020-07-03 04:33:54,186626,8178,101172,77276.0,-85485.0,-4461.0
Maharashtra,India,2020-07-04 04:33:51,192990,8376,104687,79927.0,6460355.0,133016.0
Maharashtra,India,2020-07-05 04:33:46,200064,8671,108082,83311.0,6069735.0,122934.0
Maharashtra,India,2020-07-06 04:33:57,206619,8822,111740,86057.0,6442977.0,132527.0
Maharashtra,India,2020-07-07 04:34:00,211987,9026,115262,87699.0,1316239.0,31323.0
Maharashtra,India,2020-07-08 05:33:48,217121,9250,118558,89313.0,1829166.0,42075.0
Maharashtra,India,2020-07-09 04:34:23,223724,9448,123192,91084.0,6145278.0,124916.0
Maharashtra,India,2020-07-10 04:34:24,230599,9667,127259,93673.0,3998237.0,54261.0
Maharashtra,India,2020-07-11 04:34:26,238461,9893,132625,95943.0,1227450.0,28824.0
Maharashtra,India,2020-07-12 04:34:30,246600,10116,136985,99499.0,6341829.0,129618.0
Maharashtra,India,2020-07-13 04:43:04,254427,10289,140325,103813.0,6377830.0,130518.0
Maharashtra,India,2020-07-14 04:34:46,260924,10482,144507,105935.0,6126939.0,124427.0
Maharashtra,India,2020-07-15 04:34:39,267665,10695,149007,107963.0,6160629.0,125372.0
