Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active
Manipur,India,2020-06-11 03:33:41,304,0,61,243.0
Manipur,India,2020-06-12 05:09:52,366,0,73,293.0
Manipur,India,2020-06-13 03:33:14,366,0,73,293.0
Manipur,India,2020-06-14 03:33:15,385,0,77,308.0
Manipur,India,2020-06-15 03:33:14,449,0,91,358.0
Manipur,India,2020-06-16 04:33:09,490,0,151,339.0
Manipur,India,2020-06-17 04:33:21,500,0,159,341.0
Manipur,India,2020-06-18 04:33:18,552,0,192,360.0
Manipur,India,2020-06-19 04:33:17,606,0,199,407.0
Manipur,India,2020-06-20 04:33:19,681,0,218,463.0
Manipur,India,2020-06-21 04:33:19,777,0,232,545.0
Manipur,India,2020-06-22 04:33:20,841,0,250,591.0
Manipur,India,2020-06-23 04:33:22,898,0,250,648.0
Manipur,India,2020-06-24 04:33:28,921,0,258,663.0
Manipur,India,2020-06-25 05:26:54,970,0,328,642.0
Manipur,India,2020-06-26 04:33:43,1056,0,354,702.0
Manipur,India,2020-06-27 04:33:35,1075,0,393,682.0
Manipur,India,2020-06-28 04:34:04,1092,0,432,660.0
Manipur,India,2020-06-29 04:33:44,1185,0,455,730.0
Manipur,India,2020-06-30 04:33:48,1227,0,494,733.0
Manipur,India,2020-07-01 04:33:52,1234,0,553,681.0
Manipur,India,2020-07-02 04:33:46,1260,0,579,681.0
Manipur,India,2020-07-03 04:33:54,1279,0,617,662.0
Manipur,India,2020-07-04 04:33:51,1316,0,639,677.0
Manipur,India,2020-07-05 04:33:46,1325,0,667,658.0
Manipur,India,2020-07-06 04:33:57,1366,0,688,678.0
Manipur,India,2020-07-07 04:34:00,1390,0,734,656.0
Manipur,India,2020-07-08 05:33:48,1430,0,771,659.0
Manipur,India,2020-07-09 04:34:23,1435,0,793,642.0
Manipur,India,2020-07-10 04:34:24,1450,0,799,651.0
Manipur,India,2020-07-11 04:34:26,1582,0,832,750.0
Manipur,India,2020-07-12 04:34:30,1593,0,843,750.0
Manipur,India,2020-07-13 04:43:04,1609,0,896,713.0
Manipur,India,2020-07-14 04:34:46,1626,0,970,656.0
Manipur,India,2020-07-15 04:34:39,1672,0,970,702.0
Manipur,India,2020-07-16 04:44:59,1700,0,989,711.0
Manipur,India,2020-07-17 04:34:50,1764,0,1129,635.0
Manipur,India,2020-07-18 04:34:45,1800,0,1163,637.0
Manipur,India,2020-07-19 04:34:58,1891,0,1182,709.0
Manipur,India,2020-07-20 05:34:40,1911,0,1213,698.0
Manipur,India,2020-07-21 04:38:46,1925,0,1307,618.0
Manipur,India,2020-07-22 04:34:42,2015,0,1400,615.0
Manipur,India,2020-07-23 05:15:04,2060,0,1428,632.0
Manipur,India,2020-07-24 05:30:40,2115,0,1466,649.0
Manipur,India,2020-07-25 04:47:39,2146,0,1491,655.0
Manipur,India,2020-07-26 04:35:00,2176,0,1524,652.0
Manipur,India,2020-07-27 04:35:02,2235,0,1554,681.0
Manipur,India,2020-07-28 04:58:43,2286,0,1596,690.0
Manipur,India,2020-07-29 04:35:11,2286,0,1596,690.0
Manipur,India,2020-07-30 04:35:05,2458,0,1639,819.0
Manipur,India,2020-07-31 04:35:18,2505,4,1672,829.0
Manipur,India,2020-08-01 04:36:27,2621,5,1689,927.0
Manipur,India,2020-08-02 04:34:47,2756,6,1699,1051.0
Manipur,India,2020-08-03 04:34:35,2831,7,1737,1087.0
Manipur,India,2020-08-04 04:41:59,2920,7,1766,1147.0
Manipur,India,2020-08-05 04:34:43,3018,7,1814,1197.0
Manipur,India,2020-08-06 04:35:02,3093,7,1862,1224.0
Manipur,India,2020-08-07 04:35:11,3217,8,1905,1304.0
Manipur,India,2020-08-08 04:34:53,3466,10,1926,1530.0
Manipur,India,2020-08-09 04:34:54,3635,11,1927,1697.0
Manipur,India,2020-08-10 04:34:55,3753,11,2044,1698.0
Manipur,India,2020-08-11 04:35:08,3853,11,2122,1720.0
Manipur,India,2020-08-12 04:27:29,3941,12,2128,1801.0
Manipur,India,2020-08-13 04:29:15,3982,12,2231,1739.0
Manipur,India,2020-08-14 04:51:19,4112,13,2295,1804.0
Manipur,India,2020-08-15 04:27:31,4198,13,2360,1825.0
Manipur,India,2020-08-16 04:27:42,4390,13,2438,1939.0
Manipur,India,2020-08-17 04:27:20,4569,16,2632,1921.0
Manipur,India,2020-08-18 04:27:56,4687,17,2734,1936.0
Manipur,India,2020-08-19 04:27:00,4765,18,2789,1958.0
Manipur,India,2020-08-20 04:27:43,4876,18,2885,1973.0
Manipur,India,2020-08-21 04:27:41,4925,18,3002,1905.0
Manipur,India,2020-08-22 04:27:49,5049,20,3261,1768.0
Manipur,India,2020-08-23 04:27:48,5132,22,3455,1655.0
Manipur,India,2020-08-24 04:27:56,5246,22,3616,1608.0
Manipur,India,2020-08-25 04:28:02,5362,22,3714,1626.0
Manipur,India,2020-08-26 04:28:11,5444,24,3812,1608.0
Manipur,India,2020-08-27 04:28:15,5585,25,3829,1731.0
Manipur,India,2020-08-28 04:28:11,5725,25,3957,1743.0
Manipur,India,2020-08-29 04:28:19,5843,27,4057,1759.0
Manipur,India,2020-08-30 04:28:22,5960,28,4186,1746.0
Manipur,India,2020-08-31 04:28:27,6112,28,4239,1845.0
Manipur,India,2020-09-01 04:28:31,6252,28,4330,1894.0
Manipur,India,2020-09-02 04:28:25,6382,29,4450,1903.0
Manipur,India,2020-09-03 04:28:22,6507,29,4607,1871.0
Manipur,India,2020-09-04 04:28:26,6609,32,4774,1803.0
Manipur,India,2020-09-05 04:28:19,6699,35,4899,1765.0
Manipur,India,2020-09-06 04:28:33,6883,36,4975,1872.0
Manipur,India,2020-09-07 04:28:30,7022,38,5164,1820.0
Manipur,India,2020-09-08 04:28:25,7106,38,5358,1710.0
Manipur,India,2020-09-09 04:28:48,7202,39,5480,1683.0
Manipur,India,2020-09-10 04:29:01,7362,40,5548,1774.0
Manipur,India,2020-09-11 04:46:23,7470,44,5793,1633.0
Manipur,India,2020-09-12 04:25:05,7579,44,6002,1533.0
Manipur,India,2020-09-13 04:30:52,7731,45,6102,1584.0
Manipur,India,2020-09-14 04:26:00,7875,46,6191,1638.0
Manipur,India,2020-09-15 03:22:50,7875,46,6191,1638.0
Manipur,India,2020-09-16 04:22:53,8210,47,6418,1745.0
Manipur,India,2020-09-17 04:22:00,8320,48,6521,1751.0
Manipur,India,2020-09-18 05:05:00,8430,51,6538,1841.0
Manipur,India,2020-09-19 04:22:00,8607,52,6629,1926.0
Manipur,India,2020-09-20 04:22:00,8724,55,6723,1946.0
Manipur,India,2020-09-21 04:23:00,8894,57,6767,2070.0
Manipur,India,2020-09-22 04:23:00,9010,59,6838,2113.0
Manipur,India,2020-09-23 04:23:00,9280,60,6887,2333.0
Manipur,India,2020-09-24 04:23:00,9376,62,7108,2206.0
Manipur,India,2020-09-25 04:23:00,9537,62,7369,2106.0
Manipur,India,2020-09-26 04:23:00,9791,63,7602,2126.0
Manipur,India,2020-09-27 04:23:00,10051,64,7681,2306.0
Manipur,India,2020-09-28 04:23:00,10299,64,7876,2359.0
Manipur,India,2020-09-29 04:23:42,10477,64,7982,2431.0
Manipur,India,2020-09-30 04:23:33,10746,65,8039,2642.0
Manipur,India,2020-10-01 04:23:42,10983,67,8460,2456.0
