Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Meghalaya,India,2020-06-11 03:33:41,43,1,13,29.0,37690.0,642.0
Meghalaya,India,2020-06-12 05:09:52,44,1,18,25.0,91577.0,1532.0
Meghalaya,India,2020-06-13 03:33:14,44,1,18,25.0,13677.0,145.0
Meghalaya,India,2020-06-14 03:33:15,44,1,22,21.0,13917.0,147.0
Meghalaya,India,2020-06-15 03:33:14,44,1,22,21.0,77645.0,1338.0
Meghalaya,India,2020-06-16 04:33:09,44,1,25,18.0,13625.0,143.0
Meghalaya,India,2020-06-17 04:33:21,44,1,25,18.0,1070.0,5.0
Meghalaya,India,2020-06-18 04:33:18,44,1,30,13.0,76723.0,1324.0
Meghalaya,India,2020-06-19 04:33:17,44,1,30,13.0,13911.0,147.0
Meghalaya,India,2020-06-20 04:33:19,44,1,33,10.0,84805.0,1483.0
Meghalaya,India,2020-06-21 04:33:19,44,1,33,10.0,82536.0,1424.0
Meghalaya,India,2020-06-22 04:33:20,44,1,33,10.0,759.0,4.0
Meghalaya,India,2020-06-23 04:33:22,44,1,37,6.0,359.0,1.0
Meghalaya,India,2020-06-24 04:33:28,46,1,37,8.0,2870.0,14.0
Meghalaya,India,2020-06-25 05:26:54,46,1,42,3.0,9632.0,89.0
Meghalaya,India,2020-06-26 04:33:43,46,1,42,3.0,84758.0,1483.0
Meghalaya,India,2020-06-27 04:33:35,47,1,42,4.0,41859.0,732.0
Meghalaya,India,2020-06-28 04:34:04,47,1,42,4.0,17061.0,173.0
Meghalaya,India,2020-06-29 04:33:44,47,1,42,4.0,84509.0,1474.0
Meghalaya,India,2020-06-30 04:33:48,47,1,42,4.0,13094.0,132.0
Meghalaya,India,2020-07-01 04:33:52,52,1,42,9.0,13899.0,147.0
Meghalaya,India,2020-07-02 04:33:46,52,1,42,9.0,35138.0,563.0
Meghalaya,India,2020-07-03 04:33:54,56,1,42,13.0,682.0,4.0
Meghalaya,India,2020-07-04 04:33:51,62,1,43,18.0,388.0,1.0
Meghalaya,India,2020-07-05 04:33:46,62,1,43,18.0,81228.0,1403.0
Meghalaya,India,2020-07-06 04:33:57,62,1,43,18.0,84399.0,1471.0
Meghalaya,India,2020-07-07 04:34:00,80,1,43,36.0,84713.0,1482.0
Meghalaya,India,2020-07-08 05:33:48,80,1,43,36.0,56920.0,938.0
Meghalaya,India,2020-07-09 04:34:23,80,1,43,36.0,85224.0,1486.0
Meghalaya,India,2020-07-10 04:34:24,113,2,66,45.0,13263.0,136.0
Meghalaya,India,2020-07-11 04:34:26,207,2,66,139.0,89346.0,1501.0
Meghalaya,India,2020-07-12 04:34:30,207,2,66,139.0,16410.0,167.0
Meghalaya,India,2020-07-13 04:43:04,306,2,66,238.0,83557.0,1456.0
Meghalaya,India,2020-07-14 04:34:46,318,2,66,250.0,584.0,3.0
Meghalaya,India,2020-07-15 04:34:39,318,2,66,250.0,73752.0,1279.0
Meghalaya,India,2020-07-16 04:44:59,346,2,66,278.0,80646.0,1395.0
Meghalaya,India,2020-07-17 04:34:50,377,2,66,309.0,76767.0,1327.0
Meghalaya,India,2020-07-18 04:34:45,403,2,66,335.0,13565.0,146.0
Meghalaya,India,2020-07-19 04:34:58,418,2,66,350.0,18212.0,191.0
Meghalaya,India,2020-07-20 05:34:40,450,2,66,382.0,13494.0,146.0
Meghalaya,India,2020-07-21 01:06:32,450,2,66,382.0,13542.0,146.0
Meghalaya,India,2020-07-22 04:34:42,490,4,70,416.0,70555.0,1209.0
Meghalaya,India,2020-07-23 05:15:04,514,4,77,433.0,13693.0,147.0
Meghalaya,India,2020-07-24 05:30:40,534,4,78,452.0,1383.0,4.0
Meghalaya,India,2020-07-25 04:47:39,588,5,87,496.0,80857.0,1399.0
Meghalaya,India,2020-07-26 04:35:00,646,5,94,547.0,73586.0,1280.0
Meghalaya,India,2020-07-27 04:35:02,702,5,135,562.0,83808.0,1468.0
Meghalaya,India,2020-07-28 04:58:43,738,5,186,547.0,-150.0,0.0
Meghalaya,India,2020-07-29 04:35:11,738,5,186,547.0,-694.0,-4.0
Meghalaya,India,2020-07-30 04:35:05,784,5,207,572.0,91579.0,1543.0
Meghalaya,India,2020-07-31 04:35:18,803,5,210,588.0,6234.0,55.0
Meghalaya,India,2020-08-01 04:36:27,823,5,215,603.0,10881.0,106.0
Meghalaya,India,2020-08-02 04:34:47,856,5,252,599.0,79933.0,1387.0
Meghalaya,India,2020-08-03 04:34:35,874,5,264,605.0,73712.0,1287.0
Meghalaya,India,2020-08-04 04:41:59,902,5,264,633.0,13052.0,143.0
Meghalaya,India,2020-08-05 04:34:43,917,5,330,582.0,74684.0,1301.0
Meghalaya,India,2020-08-06 04:35:02,929,5,330,594.0,77800.0,1362.0
