Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Mizoram,India,2020-06-11 03:33:41,88,0,1,87.0,10245.0,33.0
Mizoram,India,2020-06-12 05:09:52,102,0,1,101.0,116587.0,400.0
Mizoram,India,2020-06-13 03:33:14,102,0,1,101.0,4132.0,8.0
Mizoram,India,2020-06-14 03:33:15,104,0,1,103.0,4078.0,8.0
Mizoram,India,2020-06-15 03:33:14,107,0,1,106.0,2983.0,2.0
Mizoram,India,2020-06-16 04:33:09,117,0,1,116.0,73951.0,246.0
Mizoram,India,2020-06-17 04:33:21,121,0,1,120.0,502.0,0.0
Mizoram,India,2020-06-18 04:33:18,121,0,1,120.0,15243.0,67.0
Mizoram,India,2020-06-19 04:33:17,130,0,1,129.0,19945.0,92.0
Mizoram,India,2020-06-20 04:33:19,130,0,1,129.0,4277.0,10.0
Mizoram,India,2020-06-21 04:33:19,140,0,9,131.0,2170.0,0.0
Mizoram,India,2020-06-22 04:33:20,141,0,9,132.0,133421.0,487.0
Mizoram,India,2020-06-23 04:33:22,141,0,9,132.0,94689.0,310.0
Mizoram,India,2020-06-24 04:33:28,142,0,9,133.0,-40.0,0.0
Mizoram,India,2020-06-25 05:26:54,142,0,19,123.0,1191.0,0.0
Mizoram,India,2020-06-26 04:33:43,145,0,30,115.0,93.0,0.0
Mizoram,India,2020-06-27 04:33:35,145,0,30,115.0,3979.0,7.0
Mizoram,India,2020-06-28 04:34:04,148,0,55,93.0,128069.0,458.0
Mizoram,India,2020-06-29 04:33:44,148,0,55,93.0,4661.0,12.0
Mizoram,India,2020-06-30 04:33:48,148,0,55,93.0,4280.0,10.0
Mizoram,India,2020-07-01 04:33:52,160,0,122,38.0,33292.0,137.0
Mizoram,India,2020-07-02 04:33:46,160,0,123,37.0,2181.0,0.0
Mizoram,India,2020-07-03 04:33:54,162,0,126,36.0,2445.0,0.0
Mizoram,India,2020-07-04 04:33:51,162,0,126,36.0,3603.0,5.0
Mizoram,India,2020-07-05 04:33:46,164,0,130,34.0,6630.0,17.0
Mizoram,India,2020-07-06 04:33:57,186,0,130,56.0,1242.0,0.0
Mizoram,India,2020-07-07 04:34:00,197,0,133,64.0,-49.0,0.0
Mizoram,India,2020-07-08 05:33:48,197,0,133,64.0,663.0,0.0
Mizoram,India,2020-07-09 04:34:23,197,0,133,64.0,147361.0,562.0
Mizoram,India,2020-07-10 04:34:24,197,0,133,64.0,53120.0,200.0
Mizoram,India,2020-07-11 04:34:26,226,0,143,83.0,-96.0,0.0
Mizoram,India,2020-07-12 04:34:30,227,0,150,77.0,3992.0,8.0
Mizoram,India,2020-07-13 04:43:04,231,0,150,81.0,3213.0,5.0
Mizoram,India,2020-07-14 04:34:46,233,0,151,82.0,3966.0,8.0
Mizoram,India,2020-07-15 04:34:39,238,0,159,79.0,411.0,0.0
Mizoram,India,2020-07-16 04:44:59,238,0,159,79.0,4154.0,9.0
Mizoram,India,2020-07-17 04:34:50,272,0,160,112.0,4193.0,11.0
Mizoram,India,2020-07-18 04:34:45,282,0,160,122.0,49668.0,185.0
Mizoram,India,2020-07-19 04:34:58,284,0,167,117.0,4079.0,9.0
Mizoram,India,2020-07-20 05:34:40,284,0,167,117.0,-136.0,0.0
Mizoram,India,2020-07-21 04:38:46,297,0,168,129.0,189618.0,626.0
Mizoram,India,2020-07-22 04:34:42,317,0,168,149.0,122675.0,436.0
Mizoram,India,2020-07-23 05:15:04,317,0,179,138.0,41766.0,157.0
Mizoram,India,2020-07-24 05:30:40,332,0,183,149.0,1921.0,0.0
Mizoram,India,2020-07-25 04:47:39,361,0,183,178.0,143.0,0.0
Mizoram,India,2020-07-26 04:35:00,361,0,183,178.0,158007.0,578.0
Mizoram,India,2020-07-27 04:35:02,361,0,193,168.0,8138.0,23.0
Mizoram,India,2020-07-28 04:58:43,384,0,193,191.0,138843.0,530.0
Mizoram,India,2020-07-29 04:35:11,384,0,193,191.0,58735.0,217.0
Mizoram,India,2020-07-30 04:35:05,398,0,215,183.0,4093.0,11.0
Mizoram,India,2020-07-31 04:35:18,408,0,234,174.0,3984.0,9.0
Mizoram,India,2020-08-01 04:36:27,412,0,247,165.0,185473.0,623.0
Mizoram,India,2020-08-02 04:34:47,468,0,253,215.0,1581.0,0.0
Mizoram,India,2020-08-03 04:34:35,482,0,258,224.0,3880.0,9.0
Mizoram,India,2020-08-04 04:41:59,501,0,266,235.0,159152.0,581.0
Mizoram,India,2020-08-05 04:34:43,504,0,282,222.0,3377.0,6.0
Mizoram,India,2020-08-06 04:35:02,537,0,286,251.0,3928.0,11.0
Mizoram,India,2020-08-07 04:35:11,539,0,288,251.0,124000.0,445.0
Mizoram,India,2020-08-08 04:34:53,566,0,289,277.0,1663.0,0.0
Mizoram,India,2020-08-09 04:34:54,593,0,296,297.0,97582.0,320.0
Mizoram,India,2020-08-10 04:34:55,620,0,298,322.0,15011.0,70.0
Mizoram,India,2020-08-11 04:35:08,623,0,323,300.0,60488.0,218.0
Mizoram,India,2020-08-12 04:27:29,648,0,323,325.0,1597.0,0.0
Mizoram,India,2020-08-13 04:29:15,649,0,330,319.0,91270.0,306.0
Mizoram,India,2020-08-14 04:51:19,649,0,343,306.0,3702.0,9.0
Mizoram,India,2020-08-15 04:27:31,657,0,348,309.0,16093.0,76.0
Mizoram,India,2020-08-16 04:27:42,777,0,356,421.0,40219.0,156.0
Mizoram,India,2020-08-17 04:27:20,789,0,371,418.0,50815.0,192.0
Mizoram,India,2020-08-18 04:27:56,789,0,372,417.0,180907.0,617.0
Mizoram,India,2020-08-19 04:27:00,860,0,379,481.0,18595.0,91.0
Mizoram,India,2020-08-20 04:27:43,873,0,384,489.0,3595.0,11.0
Mizoram,India,2020-08-21 04:27:41,895,0,402,493.0,-246.0,0.0
Mizoram,India,2020-08-22 04:27:49,903,0,420,483.0,3453.0,9.0
Mizoram,India,2020-08-23 04:27:48,917,0,423,494.0,3511.0,10.0
Mizoram,India,2020-08-24 04:27:56,918,0,459,459.0,126630.0,456.0
Mizoram,India,2020-08-25 04:28:02,953,0,461,492.0,139190.0,535.0
Mizoram,India,2020-08-26 04:28:11,967,0,464,503.0,129945.0,473.0
Mizoram,India,2020-08-27 04:28:15,967,0,473,494.0,3343.0,9.0
Mizoram,India,2020-08-28 04:28:11,974,0,500,474.0,117975.0,422.0
Mizoram,India,2020-08-29 04:28:19,1003,0,509,494.0,-806.0,0.0
Mizoram,India,2020-08-30 04:28:22,1008,0,584,424.0,2024.0,2.0
Mizoram,India,2020-08-31 04:28:27,1011,0,589,422.0,-890.0,0.0
Mizoram,India,2020-09-01 04:28:31,1011,0,591,420.0,121343.0,435.0
Mizoram,India,2020-09-02 04:28:25,1020,0,612,408.0,2373.0,4.0
Mizoram,India,2020-09-03 04:28:22,1020,0,661,359.0,-481.0,0.0
Mizoram,India,2020-09-04 04:28:26,1040,0,671,369.0,11594.0,44.0
Mizoram,India,2020-09-05 04:28:19,1046,0,683,363.0,125340.0,453.0
Mizoram,India,2020-09-06 04:28:33,1062,0,718,344.0,114145.0,396.0
Mizoram,India,2020-09-07 04:28:30,1114,0,734,380.0,3208.0,9.0
Mizoram,India,2020-09-08 04:28:25,1114,0,735,379.0,2254.0,3.0
Mizoram,India,2020-09-09 04:28:48,1123,0,745,378.0,3055.0,8.0
Mizoram,India,2020-09-10 04:29:01,1192,0,750,442.0,141056.0,550.0
Mizoram,India,2020-09-11 04:46:23,1333,0,750,583.0,1657.0,2.0
Mizoram,India,2020-09-12 04:25:05,1379,0,790,589.0,4031.0,13.0
Mizoram,India,2020-09-13 04:30:52,1414,0,823,591.0,-637.0,0.0
Mizoram,India,2020-09-14 04:26:00,1428,0,830,598.0,-1242.0,0.0
Mizoram,India,2020-09-15 03:22:50,1428,0,830,598.0,10560.0,36.0
Mizoram,India,2020-09-16 04:22:53,1480,0,922,558.0,66491.0,229.0
Mizoram,India,2020-09-17 04:22:00,1506,0,939,567.0,-633.0,0.0
Mizoram,India,2020-09-18 05:05:00,1534,0,949,585.0,2607.0,7.0
Mizoram,India,2020-09-19 04:22:00,1548,0,973,575.0,43909.0,169.0
Mizoram,India,2020-09-20 04:22:00,1578,0,990,588.0,140171.0,546.0
Mizoram,India,2020-09-21 04:23:00,1585,0,1002,583.0,2423.0,6.0
Mizoram,India,2020-09-22 04:23:00,1692,0,1012,680.0,2694.0,9.0
Mizoram,India,2020-09-23 04:23:00,1713,0,1023,690.0,2682.0,10.0
Mizoram,India,2020-09-24 04:23:00,1713,0,1095,618.0,-924.0,0.0
Mizoram,India,2020-09-25 04:23:00,1786,0,1105,681.0,165939.0,591.0
Mizoram,India,2020-09-26 04:23:00,1835,0,1289,546.0,2142.0,6.0
Mizoram,India,2020-09-27 04:23:00,1865,0,1316,549.0,-451.0,0.0
Mizoram,India,2020-09-28 04:23:00,1908,0,1373,535.0,16501.0,85.0
Mizoram,India,2020-09-29 04:23:42,1958,0,1459,499.0,-1641.0,0.0
Mizoram,India,2020-09-30 04:23:33,1986,0,1576,410.0,137241.0,530.0
Mizoram,India,2020-10-01 04:23:42,2017,0,1597,420.0,24673.0,120.0
Mizoram,India,2020-10-02 04:23:51,2049,0,1721,328.0,2323.0,9.0
Mizoram,India,2020-10-03 04:23:40,2103,0,1759,344.0,1766.0,6.0
