Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Nagaland,India,2020-06-11 03:33:41,127,0,10,117.0,12094.0,91.0
Nagaland,India,2020-06-12 05:09:52,128,0,22,106.0,34276.0,736.0
Nagaland,India,2020-06-13 03:33:14,128,0,22,106.0,21243.0,350.0
Nagaland,India,2020-06-14 03:33:15,156,0,49,107.0,9482.0,52.0
Nagaland,India,2020-06-15 03:33:14,163,0,76,87.0,400.0,0.0
Nagaland,India,2020-06-16 04:33:09,177,0,92,85.0,11681.0,73.0
Nagaland,India,2020-06-17 04:33:21,179,0,92,87.0,478.0,0.0
Nagaland,India,2020-06-18 04:33:18,193,0,103,90.0,3559.0,9.0
Nagaland,India,2020-06-19 04:33:17,193,0,103,90.0,1146.0,4.0
Nagaland,India,2020-06-20 04:33:19,198,0,125,73.0,22853.0,432.0
Nagaland,India,2020-06-21 04:33:19,201,0,138,63.0,32001.0,702.0
Nagaland,India,2020-06-22 04:33:20,211,0,141,70.0,23026.0,435.0
Nagaland,India,2020-06-23 04:33:22,280,0,141,139.0,32250.0,703.0
Nagaland,India,2020-06-24 04:33:28,330,0,141,189.0,25722.0,511.0
Nagaland,India,2020-06-25 05:26:54,347,0,148,199.0,11858.0,91.0
Nagaland,India,2020-06-26 04:33:43,355,0,160,195.0,11878.0,92.0
Nagaland,India,2020-06-27 04:33:35,371,0,162,209.0,868.0,1.0
Nagaland,India,2020-06-28 04:34:04,387,0,164,223.0,12029.0,93.0
Nagaland,India,2020-06-29 04:33:44,415,0,164,251.0,29557.0,617.0
Nagaland,India,2020-06-30 04:33:48,434,0,168,266.0,31730.0,701.0
Nagaland,India,2020-07-01 04:33:52,459,0,168,291.0,31702.0,700.0
Nagaland,India,2020-07-02 04:33:46,459,0,168,291.0,33730.0,713.0
Nagaland,India,2020-07-03 04:33:54,501,0,182,319.0,395.0,0.0
Nagaland,India,2020-07-04 04:33:51,539,0,228,311.0,8124.0,33.0
Nagaland,India,2020-07-05 04:33:46,563,0,228,335.0,9052.0,50.0
Nagaland,India,2020-07-06 04:33:57,590,0,231,359.0,30250.0,653.0
Nagaland,India,2020-07-07 04:34:00,625,0,243,382.0,29093.0,612.0
Nagaland,India,2020-07-08 05:33:48,625,0,243,382.0,8199.0,34.0
Nagaland,India,2020-07-09 04:34:23,657,0,304,353.0,2354.0,8.0
Nagaland,India,2020-07-10 04:34:24,673,0,304,369.0,11689.0,92.0
Nagaland,India,2020-07-11 04:34:26,732,0,304,428.0,24995.0,505.0
Nagaland,India,2020-07-12 04:34:30,748,0,313,435.0,11249.0,84.0
Nagaland,India,2020-07-13 04:43:04,774,0,327,447.0,23855.0,479.0
Nagaland,India,2020-07-14 04:34:46,845,0,340,505.0,11216.0,88.0
Nagaland,India,2020-07-15 04:34:39,896,0,346,550.0,11321.0,91.0
Nagaland,India,2020-07-16 04:44:59,902,0,348,554.0,24717.0,503.0
Nagaland,India,2020-07-17 04:34:50,916,0,391,525.0,5328.0,17.0
Nagaland,India,2020-07-18 04:34:45,956,0,405,551.0,31187.0,699.0
Nagaland,India,2020-07-19 04:34:58,978,0,432,546.0,30960.0,689.0
Nagaland,India,2020-07-20 05:34:40,988,0,445,543.0,30963.0,689.0
Nagaland,India,2020-07-21 04:38:46,1021,0,484,537.0,32457.0,705.0
Nagaland,India,2020-07-22 04:34:42,1030,0,485,545.0,26842.0,566.0
Nagaland,India,2020-07-23 05:15:04,1084,0,486,598.0,11304.0,92.0
Nagaland,India,2020-07-24 05:30:40,1174,0,530,644.0,17784.0,234.0
Nagaland,India,2020-07-25 04:47:39,1239,1,537,701.0,27572.0,584.0
Nagaland,India,2020-07-26 03:35:08,1239,1,537,701.0,12737.0,103.0
Nagaland,India,2020-07-27 04:35:02,1339,4,549,786.0,30420.0,677.0
Nagaland,India,2020-07-28 04:58:43,1385,5,569,811.0,30537.0,684.0
Nagaland,India,2020-07-29 04:35:11,1385,5,569,811.0,33225.0,731.0
Nagaland,India,2020-07-30 04:35:05,1513,5,595,913.0,22131.0,448.0
Nagaland,India,2020-07-31 04:35:18,1566,5,625,936.0,4391.0,12.0
Nagaland,India,2020-08-01 04:36:27,1693,5,635,1053.0,10499.0,86.0
Nagaland,India,2020-08-02 04:34:47,1831,5,640,1186.0,9378.0,59.0
Nagaland,India,2020-08-03 04:34:35,1935,5,648,1282.0,1684.0,3.0
Nagaland,India,2020-08-04 04:41:59,2129,5,657,1467.0,15127.0,172.0
Nagaland,India,2020-08-05 04:34:43,2405,5,659,1741.0,9805.0,86.0
Nagaland,India,2020-08-06 04:35:02,2498,6,685,1807.0,1568.0,3.0
Nagaland,India,2020-08-07 04:35:11,2580,6,819,1755.0,2649.0,9.0
Nagaland,India,2020-08-08 04:34:53,2657,7,824,1826.0,8334.0,54.0
Nagaland,India,2020-08-09 04:34:54,2688,7,896,1785.0,2258.0,3.0
Nagaland,India,2020-08-10 04:34:55,2781,8,904,1869.0,28931.0,671.0
Nagaland,India,2020-08-11 04:35:08,3011,8,973,2030.0,-2810.0,-8.0
Nagaland,India,2020-08-12 04:27:29,3031,8,991,2032.0,29138.0,693.0
Nagaland,India,2020-08-13 04:29:15,3118,8,1113,1997.0,8948.0,80.0
Nagaland,India,2020-08-14 04:51:19,3168,8,1139,2021.0,28962.0,691.0
Nagaland,India,2020-08-15 04:27:31,3322,8,1198,2116.0,24682.0,566.0
Nagaland,India,2020-08-16 04:27:42,3340,8,1321,2011.0,17875.0,335.0
Nagaland,India,2020-08-17 04:27:20,3394,8,1422,1964.0,25757.0,593.0
Nagaland,India,2020-08-18 04:27:56,3394,8,1422,1964.0,12889.0,142.0
Nagaland,India,2020-08-19 04:27:00,3520,8,1664,1848.0,28576.0,688.0
