Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Odisha,India,2020-06-11 03:33:41,3140,9,2133,998.0,1050026.0,8437.0
Odisha,India,2020-06-12 05:09:52,3386,9,2354,1023.0,1252390.0,8639.0
Odisha,India,2020-06-13 03:33:14,3386,9,2354,1023.0,1043617.0,8384.0
Odisha,India,2020-06-14 03:33:15,3498,10,2474,1014.0,990009.0,6813.0
Odisha,India,2020-06-15 03:33:14,3723,10,2594,1119.0,979800.0,6226.0
Odisha,India,2020-06-16 04:33:09,4055,11,2854,1190.0,496107.0,2110.0
Odisha,India,2020-06-17 04:33:21,4163,11,2974,1178.0,96771.0,471.0
Odisha,India,2020-06-18 04:33:18,4338,11,3047,1280.0,1046617.0,8417.0
Odisha,India,2020-06-19 04:33:17,4512,11,3144,1357.0,265834.0,1141.0
Odisha,India,2020-06-20 04:33:19,4677,11,3297,1369.0,325632.0,1872.0
Odisha,India,2020-06-21 04:33:19,4856,12,3534,1310.0,267394.0,1156.0
Odisha,India,2020-06-22 04:33:20,5160,14,3720,1426.0,3910.0,22.0
Odisha,India,2020-06-23 04:33:22,5303,15,3863,1425.0,296271.0,1410.0
Odisha,India,2020-06-24 04:33:28,5470,17,3988,1465.0,999405.0,7680.0
Odisha,India,2020-06-25 05:26:54,5752,17,4123,1612.0,8528.0,57.0
Odisha,India,2020-06-26 04:33:43,5962,17,4291,1654.0,8936.0,60.0
Odisha,India,2020-06-27 04:33:35,6180,17,4422,1741.0,1029793.0,8277.0
Odisha,India,2020-06-28 04:34:04,6350,18,4606,1726.0,63670.0,362.0
Odisha,India,2020-06-29 04:33:44,6614,21,4743,1850.0,318182.0,1799.0
Odisha,India,2020-06-30 04:33:48,6859,23,4946,1890.0,329908.0,1891.0
Odisha,India,2020-07-01 04:33:52,7065,25,5189,1851.0,237077.0,949.0
Odisha,India,2020-07-02 04:33:46,7316,25,5353,1938.0,902484.0,3993.0
Odisha,India,2020-07-03 04:33:54,7545,27,5502,2016.0,1233523.0,8548.0
Odisha,India,2020-07-04 04:33:51,8106,29,5705,2372.0,1266469.0,8809.0
Odisha,India,2020-07-05 04:33:46,8601,34,5934,2633.0,334667.0,1888.0
Odisha,India,2020-07-06 04:33:57,9070,36,6224,2810.0,1035358.0,8332.0
Odisha,India,2020-07-07 04:34:00,9526,38,6486,3002.0,1028438.0,8267.0
Odisha,India,2020-07-08 05:33:48,10097,42,6703,3352.0,1009524.0,8086.0
Odisha,India,2020-07-09 04:34:23,10624,48,7006,3570.0,1080923.0,8421.0
Odisha,India,2020-07-10 04:34:24,11201,52,7407,3742.0,1039559.0,8374.0
Odisha,India,2020-07-11 04:34:26,11956,56,7972,3928.0,949978.0,5252.0
Odisha,India,2020-07-12 04:34:30,12526,61,8360,4105.0,1039792.0,8379.0
Odisha,India,2020-07-13 04:43:04,13121,64,8750,4307.0,71110.0,364.0
Odisha,India,2020-07-14 04:34:46,13737,70,9255,4412.0,1017959.0,8179.0
Odisha,India,2020-07-15 04:34:39,14280,74,9864,4342.0,323580.0,1843.0
Odisha,India,2020-07-16 04:44:59,14898,77,10476,4345.0,986800.0,7349.0
Odisha,India,2020-07-17 04:34:50,15392,79,10877,4436.0,304625.0,1676.0
Odisha,India,2020-07-18 04:34:45,16110,83,11330,4697.0,258071.0,1098.0
Odisha,India,2020-07-19 04:34:58,16701,86,11937,4678.0,309532.0,1750.0
Odisha,India,2020-07-20 05:34:40,17437,91,12453,4893.0,1036332.0,8360.0
Odisha,India,2020-07-21 04:38:46,18110,97,12910,5103.0,293678.0,1495.0
Odisha,India,2020-07-22 04:34:42,18757,103,13310,5344.0,263938.0,1156.0
Odisha,India,2020-07-23 05:15:04,19835,108,13750,5977.0,-9738.0,-66.0
Odisha,India,2020-07-24 05:30:40,21099,114,14393,6592.0,24828.0,158.0
Odisha,India,2020-07-25 04:47:39,22693,120,15201,7372.0,12220.0,77.0
Odisha,India,2020-07-26 04:35:00,24013,130,15929,7954.0,306104.0,1750.0
Odisha,India,2020-07-27 04:35:02,25389,140,16793,8456.0,273379.0,1253.0
Odisha,India,2020-07-28 04:58:43,26892,147,17374,9371.0,962105.0,6418.0
Odisha,India,2020-07-29 04:35:11,26892,147,17374,9371.0,311597.0,1771.0
Odisha,India,2020-07-30 04:35:05,29175,159,18939,10077.0,987187.0,7939.0
Odisha,India,2020-07-31 04:35:18,30378,169,19746,10463.0,291535.0,1615.0
Odisha,India,2020-08-01 04:36:27,31877,177,20518,11182.0,430745.0,1891.0
Odisha,India,2020-08-02 04:34:47,33479,187,21274,12018.0,299965.0,1714.0
Odisha,India,2020-08-03 04:34:35,34913,197,21955,12761.0,1021067.0,8266.0
Odisha,India,2020-08-04 04:41:59,36297,207,23074,13016.0,282010.0,1527.0
Odisha,India,2020-08-05 04:34:43,37681,216,24483,12982.0,990685.0,8004.0
Odisha,India,2020-08-06 04:35:02,39018,225,25738,13055.0,994270.0,8043.0
Odisha,India,2020-08-07 04:35:11,40717,235,26888,13594.0,976116.0,7869.0
Odisha,India,2020-08-08 04:34:53,42550,247,28698,13605.0,492292.0,1933.0
Odisha,India,2020-08-09 04:34:54,44193,259,30242,13692.0,1001669.0,8122.0
Odisha,India,2020-08-10 04:34:55,45927,272,31785,13870.0,921621.0,5240.0
