Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Puducherry,India,2020-06-11 03:33:41,127,0,52,75.0,129165.0,1879.0
Puducherry,India,2020-06-12 05:09:52,157,2,67,88.0,36142.0,606.0
Puducherry,India,2020-06-13 03:33:14,157,2,67,88.0,118259.0,1763.0
Puducherry,India,2020-06-14 03:33:15,157,2,67,88.0,35272.0,595.0
Puducherry,India,2020-06-15 03:33:14,176,2,82,92.0,2339.0,33.0
Puducherry,India,2020-06-16 04:33:09,202,5,95,102.0,300.0,4.0
Puducherry,India,2020-06-17 04:33:21,216,6,99,111.0,29.0,1.0
Puducherry,India,2020-06-18 04:33:18,245,7,109,129.0,38728.0,640.0
Puducherry,India,2020-06-19 04:33:17,271,7,109,155.0,4852.0,73.0
Puducherry,India,2020-06-20 04:33:19,286,7,118,161.0,130436.0,1875.0
Puducherry,India,2020-06-21 04:33:19,286,7,118,161.0,722.0,7.0
Puducherry,India,2020-06-22 04:33:20,366,8,140,218.0,128599.0,1865.0
Puducherry,India,2020-06-23 04:33:22,383,8,149,226.0,36826.0,606.0
Puducherry,India,2020-06-24 04:33:28,402,9,165,228.0,66225.0,892.0
Puducherry,India,2020-06-25 05:26:54,461,9,176,276.0,35539.0,595.0
Puducherry,India,2020-06-26 04:33:43,502,9,187,306.0,-119.0,-1.0
Puducherry,India,2020-06-27 04:33:35,502,9,187,306.0,119321.0,1772.0
Puducherry,India,2020-06-28 04:34:04,619,10,221,388.0,128241.0,1862.0
Puducherry,India,2020-06-29 04:33:44,619,10,221,388.0,126050.0,1833.0
Puducherry,India,2020-06-30 04:33:48,619,10,221,388.0,119482.0,1776.0
Puducherry,India,2020-07-01 04:33:52,714,12,272,430.0,132045.0,1871.0
Puducherry,India,2020-07-02 04:33:46,714,12,272,430.0,127392.0,1847.0
Puducherry,India,2020-07-03 04:33:54,802,12,331,459.0,9720.0,147.0
Puducherry,India,2020-07-04 04:33:51,802,12,331,459.0,36018.0,597.0
Puducherry,India,2020-07-05 04:33:46,802,12,331,459.0,19031.0,373.0
Puducherry,India,2020-07-06 04:33:57,802,12,331,459.0,127363.0,1850.0
Puducherry,India,2020-07-07 04:34:00,802,12,331,459.0,37970.0,631.0
Puducherry,India,2020-07-08 05:33:48,930,14,434,482.0,118475.0,1759.0
