,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
2892,Punjab,India,2020-06-11 03:33:41,2719,55,2167
2928,Punjab,India,2020-06-12 05:09:52,2887,59,2259
13498,Punjab,India,2020-06-13 03:33:14,2887,59,2259
13462,Punjab,India,2020-06-14 03:33:15,2986,63,2282
21418,Punjab,India,2020-06-15 03:33:14,3063,65,2327
21454,Punjab,India,2020-06-16 04:33:09,3267,71,2443
5929,Punjab,India,2020-06-17 04:33:21,3371,72,2461
5893,Punjab,India,2020-06-18 04:33:18,3497,78,2538
12349,Punjab,India,2020-06-19 04:33:17,3615,83,2570
12313,Punjab,India,2020-06-20 04:33:19,3832,92,2636
21270,Punjab,India,2020-06-21 04:33:19,3952,98,2678
21306,Punjab,India,2020-06-22 04:33:20,4074,99,2700
9081,Punjab,India,2020-06-23 04:33:22,4235,101,2825
9045,Punjab,India,2020-06-24 04:33:28,4397,105,3047
5562,Punjab,India,2020-06-25 05:26:54,4627,113,3099
5598,Punjab,India,2020-06-26 04:33:43,4769,120,3192
13200,Punjab,India,2020-06-27 04:33:35,4957,122,3201
13164,Punjab,India,2020-06-28 04:34:04,5056,128,3320
6891,Punjab,India,2020-06-29 04:33:44,5216,133,3526
6781,Punjab,India,2020-06-30 04:33:48,5418,138,3764
15576,Punjab,India,2020-07-01 04:33:52,5568,144,3867
19344,Punjab,India,2020-07-02 04:33:46,5668,149,3867
10307,Punjab,India,2020-07-03 04:33:54,5784,152,4144
10343,Punjab,India,2020-07-04 04:33:51,5937,157,4266
1293,Punjab,India,2020-07-05 04:33:46,6109,162,4306
1257,Punjab,India,2020-07-06 04:33:57,6283,164,4408
17180,Punjab,India,2020-07-07 04:34:00,6491,169,4494
17216,Punjab,India,2020-07-08 05:33:48,6749,175,4554
11310,Punjab,India,2020-07-09 04:34:23,6907,178,4828
11420,Punjab,India,2020-07-10 04:34:24,7140,183,4945
14201,Punjab,India,2020-07-11 04:34:26,7357,187,5017
14165,Punjab,India,2020-07-12 04:34:30,7587,195,5040
3595,Punjab,India,2020-07-13 04:43:04,7821,199,5392
3631,Punjab,India,2020-07-14 04:34:46,8178,204,5586
7113,Punjab,India,2020-07-15 04:34:39,8511,213,5663
7077,Punjab,India,2020-07-16 04:44:59,8799,221,5867
22310,Punjab,India,2020-07-17 04:34:50,9094,230,6277
22346,Punjab,India,2020-07-18 04:34:45,9442,239,6373
5745,Punjab,India,2020-07-19 04:34:58,9792,246,6454
5781,Punjab,India,2020-07-20 05:34:40,10100,254,6535
8004,Punjab,India,2020-07-21 04:38:46,10510,262,7118
7968,Punjab,India,2020-07-22 04:34:42,10889,263,7389
20122,Punjab,India,2020-07-23 05:15:04,11301,269,7641
20158,Punjab,India,2020-07-24 05:30:40,11739,277,7741
