Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Rajasthan,India,2020-06-11 03:33:41,11245,255,8328,2662.0,938439.0,8567.0
Rajasthan,India,2020-06-12 05:09:52,11838,265,8775,2798.0,943400.0,8695.0
Rajasthan,India,2020-06-13 03:33:14,11838,265,8775,2798.0,334953.0,2601.0
Rajasthan,India,2020-06-14 03:33:15,12068,272,8898,2898.0,2862.0,77.0
Rajasthan,India,2020-06-15 03:33:14,12401,282,9337,2782.0,941884.0,8672.0
Rajasthan,India,2020-06-16 04:33:09,12981,301,9785,2895.0,939148.0,8613.0
Rajasthan,India,2020-06-17 04:33:21,13216,308,9849,3059.0,940306.0,8644.0
Rajasthan,India,2020-06-18 04:33:18,13542,313,10467,2762.0,940712.0,8641.0
Rajasthan,India,2020-06-19 04:33:17,13857,323,10742,2792.0,186638.0,1603.0
Rajasthan,India,2020-06-20 04:33:19,14156,333,10997,2826.0,926804.0,8117.0
Rajasthan,India,2020-06-21 04:33:19,14536,337,11274,2925.0,194902.0,1642.0
Rajasthan,India,2020-06-22 04:33:20,14930,349,11597,2984.0,939424.0,8605.0
Rajasthan,India,2020-06-23 04:33:22,15232,356,11910,2966.0,310192.0,2442.0
Rajasthan,India,2020-06-24 04:33:28,15627,365,12213,3049.0,-1770.0,-42.0
Rajasthan,India,2020-06-25 05:26:54,16009,375,12611,3023.0,1002305.0,8616.0
Rajasthan,India,2020-06-26 04:33:43,16296,379,12840,3077.0,-3895.0,-97.0
Rajasthan,India,2020-06-27 04:33:35,16660,380,13062,3218.0,740047.0,5285.0
Rajasthan,India,2020-06-28 04:34:04,16944,391,13367,3186.0,129251.0,1168.0
Rajasthan,India,2020-06-29 04:33:44,17271,399,13611,3261.0,301794.0,2382.0
Rajasthan,India,2020-06-30 04:33:48,17660,405,13618,3637.0,936524.0,8549.0
Rajasthan,India,2020-07-01 04:33:52,18014,413,14220,3381.0,16164.0,189.0
Rajasthan,India,2020-07-02 04:33:46,18312,421,14574,3317.0,272977.0,2121.0
Rajasthan,India,2020-07-03 04:33:54,18662,430,14948,3284.0,180085.0,1487.0
Rajasthan,India,2020-07-04 04:33:51,19052,440,15281,3331.0,934971.0,8514.0
Rajasthan,India,2020-07-05 04:33:46,19532,447,15640,3445.0,448343.0,2942.0
Rajasthan,India,2020-07-06 04:33:57,20164,456,15928,3780.0,18800.0,194.0
Rajasthan,India,2020-07-07 04:34:00,20688,461,16278,3949.0,321066.0,2380.0
Rajasthan,India,2020-07-08 05:33:48,21404,472,16575,4357.0,932058.0,8480.0
Rajasthan,India,2020-07-09 04:34:23,22063,482,16866,4715.0,799462.0,5835.0
Rajasthan,India,2020-07-10 04:34:24,22563,491,17070,5002.0,848703.0,6443.0
Rajasthan,India,2020-07-11 04:34:26,23174,497,17620,5057.0,931674.0,8458.0
Rajasthan,India,2020-07-12 04:34:30,23748,503,17869,5376.0,929874.0,8450.0
Rajasthan,India,2020-07-13 04:43:04,24392,510,18103,5779.0,167237.0,1367.0
Rajasthan,India,2020-07-14 04:34:46,24936,525,18630,5781.0,929482.0,8429.0
Rajasthan,India,2020-07-15 04:34:39,25571,525,19161,5885.0,1021324.0,8485.0
Rajasthan,India,2020-07-16 04:44:59,26437,530,19502,6405.0,955835.0,8444.0
Rajasthan,India,2020-07-17 04:34:50,27174,538,19970,6666.0,-11942.0,-182.0
Rajasthan,India,2020-07-18 04:34:45,27789,546,20626,6617.0,927542.0,8415.0
Rajasthan,India,2020-07-19 04:34:58,28500,553,21144,6803.0,252085.0,1876.0
