Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Sikkim,India,2020-06-11 03:33:41,13,0,0,13.0,32095.0,401.0
Sikkim,India,2020-06-12 05:09:52,14,0,2,12.0,5982.0,129.0
Sikkim,India,2020-06-13 03:33:14,14,0,2,12.0,32197.0,403.0
Sikkim,India,2020-06-14 03:33:15,63,0,2,61.0,6170.0,135.0
Sikkim,India,2020-06-15 03:33:14,63,0,4,59.0,27683.0,355.0
Sikkim,India,2020-06-16 04:33:09,68,0,4,64.0,30095.0,373.0
Sikkim,India,2020-06-17 04:33:21,70,0,4,66.0,27790.0,355.0
Sikkim,India,2020-06-18 04:33:18,70,0,4,66.0,713.0,1.0
Sikkim,India,2020-06-19 04:33:17,70,0,5,65.0,9808.0,167.0
Sikkim,India,2020-06-20 04:33:19,70,0,5,65.0,475.0,0.0
Sikkim,India,2020-06-21 04:33:19,70,0,25,45.0,2353.0,25.0
Sikkim,India,2020-06-22 04:33:20,78,0,25,53.0,32343.0,406.0
Sikkim,India,2020-06-23 04:33:22,78,0,29,49.0,32023.0,400.0
Sikkim,India,2020-06-24 04:33:28,79,0,29,50.0,5842.0,129.0
Sikkim,India,2020-06-25 05:26:54,84,0,39,45.0,31638.0,390.0
Sikkim,India,2020-06-26 04:33:43,85,0,39,46.0,19856.0,301.0
Sikkim,India,2020-06-27 04:33:35,86,0,39,47.0,5082.0,115.0
Sikkim,India,2020-06-28 04:34:04,87,0,46,41.0,38781.0,437.0
Sikkim,India,2020-06-29 04:33:44,88,0,49,39.0,29721.0,369.0
Sikkim,India,2020-06-30 04:33:48,88,0,50,38.0,21485.0,311.0
Sikkim,India,2020-07-01 04:33:52,89,0,52,37.0,371.0,0.0
Sikkim,India,2020-07-02 04:33:46,101,0,53,48.0,32618.0,409.0
Sikkim,India,2020-07-03 04:33:54,102,0,53,49.0,4419.0,91.0
Sikkim,India,2020-07-04 04:33:51,102,0,53,49.0,6003.0,135.0
Sikkim,India,2020-07-05 04:33:46,103,0,58,45.0,5262.0,119.0
Sikkim,India,2020-07-06 04:33:57,123,0,61,62.0,5861.0,129.0
Sikkim,India,2020-07-07 04:34:00,125,0,65,60.0,6138.0,136.0
Sikkim,India,2020-07-08 05:33:48,125,0,70,55.0,6331.0,136.0
Sikkim,India,2020-07-09 04:34:23,133,0,71,62.0,17810.0,279.0
Sikkim,India,2020-07-10 04:34:24,134,0,72,62.0,5711.0,125.0
Sikkim,India,2020-07-11 04:34:26,134,0,80,54.0,29707.0,370.0
Sikkim,India,2020-07-12 04:34:30,151,0,80,71.0,20980.0,308.0
Sikkim,India,2020-07-13 04:43:04,153,0,81,72.0,32678.0,410.0
Sikkim,India,2020-07-14 04:34:46,192,0,86,106.0,31747.0,395.0
Sikkim,India,2020-07-15 04:34:39,209,0,87,122.0,36212.0,419.0
