Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Telangana,India,2020-06-11 03:33:41,3920,148,1809,1963.0,722899.0,3921.0
Telangana,India,2020-06-12 05:09:52,4320,165,1993,2162.0,44939.0,273.0
Telangana,India,2020-06-13 03:33:14,4320,165,1993,2162.0,649715.0,3687.0
Telangana,India,2020-06-14 03:33:15,4484,174,2278,2032.0,660584.0,3738.0
Telangana,India,2020-06-15 03:33:14,4737,182,2352,2203.0,646551.0,3654.0
Telangana,India,2020-06-16 04:33:09,5193,187,2766,2240.0,671183.0,3808.0
Telangana,India,2020-06-17 04:33:21,5406,191,3027,2188.0,265477.0,1271.0
Telangana,India,2020-06-18 04:33:18,5675,192,3071,2412.0,624110.0,3522.0
Telangana,India,2020-06-19 04:33:17,6027,195,3301,2531.0,279041.0,1338.0
Telangana,India,2020-06-20 04:33:19,6526,198,3353,2975.0,102144.0,572.0
Telangana,India,2020-06-21 04:33:19,7072,203,3506,3363.0,292182.0,1432.0
Telangana,India,2020-06-22 04:33:20,7802,210,3731,3861.0,226350.0,1109.0
Telangana,India,2020-06-23 04:33:22,8674,217,4005,4452.0,666940.0,3772.0
Telangana,India,2020-06-24 04:33:28,9553,220,4224,5109.0,654858.0,3689.0
Telangana,India,2020-06-25 05:26:54,10444,225,4361,5858.0,651422.0,3672.0
Telangana,India,2020-06-26 04:33:43,11364,230,4688,6446.0,340060.0,1594.0
Telangana,India,2020-06-27 04:33:35,12349,237,4766,7346.0,-2796.0,-17.0
Telangana,India,2020-06-28 04:34:04,13436,243,4928,8265.0,218398.0,1068.0
Telangana,India,2020-06-29 04:33:44,14419,247,5172,9000.0,282254.0,1371.0
Telangana,India,2020-06-30 04:33:48,15394,253,5582,9559.0,279530.0,1351.0
Telangana,India,2020-07-01 04:33:52,16339,260,7294,8785.0,266008.0,1258.0
Telangana,India,2020-07-02 04:33:46,17357,267,8082,9008.0,661707.0,3745.0
Telangana,India,2020-07-03 04:33:54,18570,275,9069,9226.0,660675.0,3738.0
Telangana,India,2020-07-04 04:33:51,20462,283,10195,9984.0,112944.0,573.0
Telangana,India,2020-07-05 04:33:46,22312,288,11537,10487.0,118657.0,598.0
