Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Tripura,India,2020-06-11 03:33:41,864,1,192,671.0,32529.0,390.0
Tripura,India,2020-06-12 05:09:52,913,1,278,634.0,83779.0,816.0
Tripura,India,2020-06-13 03:33:14,913,1,278,634.0,90022.0,837.0
Tripura,India,2020-06-14 03:33:15,961,1,278,682.0,31617.0,369.0
Tripura,India,2020-06-15 03:33:14,1046,1,315,730.0,29089.0,339.0
Tripura,India,2020-06-16 04:33:09,1086,1,433,652.0,31971.0,375.0
Tripura,India,2020-06-17 04:33:21,1092,1,433,658.0,83913.0,828.0
Tripura,India,2020-06-18 04:33:18,1135,1,556,578.0,30810.0,361.0
Tripura,India,2020-06-19 04:33:17,1155,1,639,515.0,82442.0,804.0
Tripura,India,2020-06-20 04:33:19,1178,1,657,520.0,83642.0,823.0
Tripura,India,2020-06-21 04:33:19,1186,1,680,505.0,32258.0,390.0
Tripura,India,2020-06-22 04:33:20,1221,1,759,461.0,7974.0,77.0
Tripura,India,2020-06-23 04:33:22,1237,1,782,454.0,83550.0,820.0
Tripura,India,2020-06-24 04:33:28,1259,1,807,451.0,66.0,0.0
Tripura,India,2020-06-25 05:26:54,1259,1,897,361.0,82413.0,804.0
Tripura,India,2020-06-26 04:33:43,1290,1,1019,270.0,29003.0,343.0
Tripura,India,2020-06-27 04:33:35,1325,1,1055,269.0,-66.0,0.0
Tripura,India,2020-06-28 04:34:04,1334,1,1071,262.0,32019.0,390.0
Tripura,India,2020-06-29 04:33:44,1346,1,1079,266.0,84414.0,829.0
Tripura,India,2020-06-30 04:33:48,1380,1,1085,294.0,25172.0,288.0
Tripura,India,2020-07-01 04:33:52,1388,1,1086,301.0,31963.0,390.0
Tripura,India,2020-07-02 04:33:46,1396,1,1093,302.0,32347.0,393.0
Tripura,India,2020-07-03 04:33:54,1435,1,1146,288.0,31368.0,371.0
Tripura,India,2020-07-04 04:33:51,1525,1,1199,325.0,78609.0,766.0
Tripura,India,2020-07-05 04:33:46,1546,1,1202,343.0,37028.0,421.0
Tripura,India,2020-07-06 04:33:57,1568,1,1202,365.0,99129.0,918.0
Tripura,India,2020-07-07 04:34:00,1680,1,1219,460.0,72221.0,727.0
Tripura,India,2020-07-08 05:33:48,1704,1,1248,455.0,16107.0,172.0
Tripura,India,2020-07-09 04:34:23,1761,1,1324,436.0,68718.0,711.0
Tripura,India,2020-07-10 04:34:24,1776,1,1338,437.0,52804.0,549.0
Tripura,India,2020-07-11 04:34:26,1918,1,1372,545.0,75494.0,747.0
Tripura,India,2020-07-12 03:34:27,1918,1,1372,545.0,30299.0,363.0
Tripura,India,2020-07-13 04:43:04,2054,2,1421,631.0,16856.0,192.0
Tripura,India,2020-07-14 04:34:46,2080,2,1475,603.0,43143.0,455.0
Tripura,India,2020-07-15 04:34:39,2170,2,1538,630.0,51052.0,532.0
Tripura,India,2020-07-16 04:44:59,2268,3,1604,661.0,82696.0,824.0
Tripura,India,2020-07-17 04:34:50,2283,3,1604,676.0,3570.0,33.0
Tripura,India,2020-07-18 04:34:45,2366,3,1684,679.0,24508.0,290.0
Tripura,India,2020-07-19 04:34:58,2654,5,1735,914.0,69219.0,713.0
Tripura,India,2020-07-20 05:34:40,2878,5,1759,1114.0,30522.0,386.0
Tripura,India,2020-07-21 04:38:46,3079,7,1845,1227.0,30271.0,384.0
Tripura,India,2020-07-22 04:34:42,3331,8,1926,1397.0,30149.0,384.0
Tripura,India,2020-07-23 05:15:04,3449,9,2032,1408.0,31289.0,385.0
Tripura,India,2020-07-24 05:30:40,3656,10,2072,1574.0,32067.0,389.0
Tripura,India,2020-07-25 04:47:39,3759,11,2131,1617.0,80404.0,803.0
Tripura,India,2020-07-26 04:35:00,3862,11,2209,1642.0,14419.0,171.0
Tripura,India,2020-07-27 04:35:02,3900,13,2361,1526.0,-2139.0,-12.0
Tripura,India,2020-07-28 04:58:43,4049,17,2467,1565.0,29421.0,375.0
Tripura,India,2020-07-29 04:35:11,4049,17,2467,1565.0,29375.0,374.0
Tripura,India,2020-07-30 04:35:05,4485,21,2678,1786.0,28351.0,351.0
Tripura,India,2020-07-31 04:35:18,4706,21,2962,1723.0,80462.0,808.0
Tripura,India,2020-08-01 04:36:27,4978,21,3327,1630.0,28280.0,364.0
Tripura,India,2020-08-02 04:34:47,5233,23,3463,1747.0,95482.0,896.0
Tripura,India,2020-08-03 04:34:35,5374,27,3605,1742.0,77300.0,769.0
