Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Uttar Pradesh,India,2020-06-11 03:33:41,11335,301,6669,4365.0,2017881.0,22953.0
Uttar Pradesh,India,2020-06-12 05:09:52,12088,345,7292,4451.0,621945.0,8549.0
Uttar Pradesh,India,2020-06-13 03:33:14,12088,345,7292,4451.0,1977007.0,22780.0
Uttar Pradesh,India,2020-06-14 03:33:15,12616,365,7609,4642.0,190412.0,2784.0
Uttar Pradesh,India,2020-06-15 03:33:14,13118,385,7875,4858.0,1697756.0,22530.0
Uttar Pradesh,India,2020-06-16 04:33:09,13615,399,8268,4948.0,1697744.0,22516.0
Uttar Pradesh,India,2020-06-17 04:33:21,14091,417,8610,5064.0,582046.0,8153.0
Uttar Pradesh,India,2020-06-18 04:33:18,14598,435,8904,5259.0,530947.0,7353.0
Uttar Pradesh,India,2020-06-19 04:33:17,15181,465,9239,5477.0,70280.0,1165.0
Uttar Pradesh,India,2020-06-20 04:33:19,15785,488,9638,5659.0,1884672.0,22512.0
Uttar Pradesh,India,2020-06-21 04:33:19,16594,507,9995,6092.0,1674894.0,19990.0
Uttar Pradesh,India,2020-06-22 04:33:20,17731,550,10995,6186.0,1846635.0,22434.0
Uttar Pradesh,India,2020-06-23 04:33:22,18322,569,11601,6152.0,-4231.0,-152.0
Uttar Pradesh,India,2020-06-24 04:33:28,18893,588,12116,6189.0,1691240.0,22312.0
Uttar Pradesh,India,2020-06-25 05:26:54,19557,596,12586,6375.0,1689543.0,22196.0
Uttar Pradesh,India,2020-06-26 04:33:43,20193,611,13119,6463.0,215564.0,2931.0
Uttar Pradesh,India,2020-06-27 04:33:35,20943,630,13583,6730.0,1689071.0,22267.0
Uttar Pradesh,India,2020-06-28 04:34:04,21549,649,14215,6685.0,569295.0,7803.0
Uttar Pradesh,India,2020-06-29 04:33:44,22147,660,14808,6679.0,582501.0,8080.0
Uttar Pradesh,India,2020-06-30 04:33:48,22828,672,15506,6650.0,1687424.0,22233.0
Uttar Pradesh,India,2020-07-01 04:33:52,23492,697,16084,6711.0,1686854.0,22212.0
Uttar Pradesh,India,2020-07-02 04:33:46,24056,718,16629,6709.0,579294.0,8007.0
Uttar Pradesh,India,2020-07-03 04:33:54,24825,735,17221,6869.0,1227499.0,11835.0
Uttar Pradesh,India,2020-07-04 04:33:51,25797,749,17597,7451.0,577914.0,7979.0
Uttar Pradesh,India,2020-07-05 04:33:46,26554,773,18154,7627.0,1643337.0,18436.0
Uttar Pradesh,India,2020-07-06 04:33:57,27707,785,18761,8161.0,1682801.0,22126.0
Uttar Pradesh,India,2020-07-07 04:34:00,28636,809,19109,8718.0,1091540.0,10605.0
Uttar Pradesh,India,2020-07-08 05:33:48,29968,827,19627,9514.0,1677687.0,21878.0
Uttar Pradesh,India,2020-07-09 04:34:23,31156,845,20331,9980.0,355929.0,4749.0
Uttar Pradesh,India,2020-07-10 04:34:24,32362,862,21127,10373.0,391964.0,5338.0
