Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
Uttarakhand,India,2020-06-11 03:33:41,1537,13,755,769.0,341674.0,7376.0
Uttarakhand,India,2020-06-12 05:09:52,1643,15,842,786.0,10850.0,143.0
Uttarakhand,India,2020-06-13 03:33:14,1643,15,842,786.0,401822.0,7476.0
Uttarakhand,India,2020-06-14 03:33:15,1724,21,947,756.0,341277.0,7366.0
Uttarakhand,India,2020-06-15 03:33:14,1785,23,1077,685.0,94981.0,1657.0
Uttarakhand,India,2020-06-16 04:33:09,1845,24,1189,632.0,173022.0,2478.0
Uttarakhand,India,2020-06-17 04:33:21,1942,25,1216,701.0,73326.0,1213.0
Uttarakhand,India,2020-06-18 04:33:18,2023,26,1254,743.0,7998.0,108.0
Uttarakhand,India,2020-06-19 04:33:17,2102,26,1386,690.0,35037.0,434.0
Uttarakhand,India,2020-06-20 04:33:19,2177,26,1433,718.0,95457.0,1672.0
Uttarakhand,India,2020-06-21 04:33:19,2301,27,1450,824.0,341009.0,7362.0
Uttarakhand,India,2020-06-22 04:33:20,2344,27,1500,817.0,46656.0,584.0
Uttarakhand,India,2020-06-23 04:33:22,2402,28,1521,853.0,341525.0,7373.0
Uttarakhand,India,2020-06-24 04:33:28,2535,30,1602,903.0,337398.0,7065.0
Uttarakhand,India,2020-06-25 05:26:54,2623,35,1721,867.0,340619.0,7354.0
Uttarakhand,India,2020-06-26 04:33:43,2691,36,1758,897.0,338488.0,7303.0
Uttarakhand,India,2020-06-27 04:33:35,2725,37,1822,866.0,81344.0,1338.0
Uttarakhand,India,2020-06-28 04:34:04,2791,37,1912,842.0,72004.0,1194.0
Uttarakhand,India,2020-06-29 04:33:44,2823,38,2018,767.0,338539.0,7316.0
Uttarakhand,India,2020-06-30 04:33:48,2831,39,2111,681.0,340145.0,7348.0
Uttarakhand,India,2020-07-01 04:33:52,2881,41,2231,609.0,339142.0,7321.0
Uttarakhand,India,2020-07-02 04:33:46,2947,41,2317,589.0,340715.0,7355.0
Uttarakhand,India,2020-07-03 04:33:54,2984,42,2405,537.0,109087.0,1738.0
Uttarakhand,India,2020-07-04 04:33:51,3048,42,2481,525.0,429826.0,7601.0
Uttarakhand,India,2020-07-05 04:33:46,3093,42,2502,549.0,-558.0,-12.0
Uttarakhand,India,2020-07-06 04:33:57,3124,42,2524,558.0,95948.0,1665.0
Uttarakhand,India,2020-07-07 04:34:00,3161,42,2586,533.0,-338.0,-4.0
Uttarakhand,India,2020-07-08 05:33:48,3230,43,2621,566.0,93801.0,1649.0
Uttarakhand,India,2020-07-09 04:34:23,3258,46,2650,562.0,-377.0,-5.0
Uttarakhand,India,2020-07-10 04:34:24,3305,46,2672,587.0,68327.0,1116.0
Uttarakhand,India,2020-07-11 04:34:26,3373,46,2706,621.0,93217.0,1627.0
Uttarakhand,India,2020-07-12 04:34:30,3417,46,2718,653.0,-1394.0,-20.0
Uttarakhand,India,2020-07-13 04:43:04,3537,47,2786,704.0,74972.0,1248.0
Uttarakhand,India,2020-07-14 04:34:46,3608,49,2856,703.0,96273.0,1660.0
Uttarakhand,India,2020-07-15 04:34:39,3686,50,2867,769.0,340420.0,7354.0
Uttarakhand,India,2020-07-16 04:44:59,3785,50,2948,787.0,339438.0,7339.0
Uttarakhand,India,2020-07-17 04:34:50,3982,50,2995,937.0,387933.0,7418.0
Uttarakhand,India,2020-07-18 04:34:45,4102,51,3021,1030.0,336622.0,7282.0
Uttarakhand,India,2020-07-19 04:34:58,4276,52,3081,1143.0,338875.0,7337.0
Uttarakhand,India,2020-07-20 05:34:40,4515,52,3116,1347.0,5917.0,84.0
Uttarakhand,India,2020-07-21 04:38:46,4642,55,3212,1375.0,90281.0,1562.0
Uttarakhand,India,2020-07-22 04:34:42,4849,55,3297,1497.0,339684.0,7358.0
Uttarakhand,India,2020-07-23 05:15:04,5300,57,3349,1894.0,-3657.0,-42.0
Uttarakhand,India,2020-07-24 05:30:40,5445,60,3399,1986.0,-3908.0,-47.0
Uttarakhand,India,2020-07-25 04:47:39,5445,60,3399,1986.0,67197.0,1125.0
Uttarakhand,India,2020-07-26 04:35:00,5961,63,3495,2403.0,338222.0,7344.0
Uttarakhand,India,2020-07-27 04:35:02,6104,63,3566,2475.0,67847.0,1151.0
Uttarakhand,India,2020-07-28 04:58:43,6328,66,3675,2587.0,337146.0,7327.0
Uttarakhand,India,2020-07-29 04:35:11,6328,66,3675,2587.0,76678.0,1295.0
Uttarakhand,India,2020-07-30 04:35:05,6866,72,3811,2983.0,336921.0,7326.0
Uttarakhand,India,2020-07-31 04:35:18,7065,76,3996,2993.0,335969.0,7311.0
Uttarakhand,India,2020-08-01 04:36:27,7183,80,4168,2935.0,76319.0,1292.0
Uttarakhand,India,2020-08-02 04:34:47,7447,83,4330,3034.0,101365.0,1677.0
Uttarakhand,India,2020-08-03 04:34:35,7593,86,4437,3070.0,336878.0,7326.0
Uttarakhand,India,2020-08-04 04:41:59,7800,90,4538,3172.0,334986.0,7287.0
Uttarakhand,India,2020-08-05 04:34:43,8008,95,4847,3066.0,68885.0,1178.0
Uttarakhand,India,2020-08-06 04:35:02,8254,98,5233,2923.0,269331.0,4328.0
Uttarakhand,India,2020-08-07 04:35:11,8552,98,5427,3027.0,334967.0,7295.0
Uttarakhand,India,2020-08-08 04:34:53,8901,112,5731,3058.0,89030.0,1592.0
Uttarakhand,India,2020-08-09 04:34:54,9402,117,5963,3322.0,109244.0,1702.0
Uttarakhand,India,2020-08-10 04:34:55,9632,125,6134,3373.0,333507.0,7264.0
Uttarakhand,India,2020-08-11 04:35:08,10021,134,6301,3586.0,10377.0,146.0
Uttarakhand,India,2020-08-12 04:27:29,10432,136,6470,3826.0,333297.0,7261.0
Uttarakhand,India,2020-08-13 04:29:15,10886,140,6687,4059.0,219107.0,3290.0
Uttarakhand,India,2020-08-14 04:51:19,11302,143,7014,4145.0,-7765.0,-96.0
Uttarakhand,India,2020-08-15 04:27:31,11615,147,7502,3966.0,85519.0,1545.0
Uttarakhand,India,2020-08-16 04:27:42,11940,151,7748,4041.0,327597.0,6935.0
Uttarakhand,India,2020-08-17 04:27:20,12175,152,8100,3923.0,84303.0,1512.0
Uttarakhand,India,2020-08-18 04:27:56,12493,158,8485,3850.0,330694.0,7231.0
Uttarakhand,India,2020-08-19 04:27:00,12961,164,8724,4073.0,84845.0,1539.0
