Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths
West Bengal,India,2020-06-11 03:33:41,8985,415,3620,4950.0,42772.0,840.0
West Bengal,India,2020-06-12 05:09:52,9768,442,3988,5338.0,39553.0,779.0
West Bengal,India,2020-06-13 03:33:14,9768,442,3988,5338.0,1563478.0,18421.0
West Bengal,India,2020-06-14 03:33:15,10244,451,4206,5587.0,552551.0,9542.0
West Bengal,India,2020-06-15 03:33:14,10698,463,4542,5693.0,556200.0,9626.0
West Bengal,India,2020-06-16 04:33:09,11494,485,5494,5515.0,554988.0,9595.0
West Bengal,India,2020-06-17 04:33:21,11909,495,6028,5386.0,474890.0,7981.0
West Bengal,India,2020-06-18 04:33:18,12300,506,6533,5261.0,86159.0,1594.0
West Bengal,India,2020-06-19 04:33:17,12735,518,7001,5216.0,552926.0,9545.0
West Bengal,India,2020-06-20 04:33:19,13090,529,7303,5258.0,1804495.0,19430.0
West Bengal,India,2020-06-21 04:33:19,13531,540,7865,5126.0,54161.0,996.0
West Bengal,India,2020-06-22 04:33:20,13945,555,8297,5093.0,56243.0,1026.0
West Bengal,India,2020-06-23 04:33:22,14358,569,8687,5102.0,1488348.0,17189.0
West Bengal,India,2020-06-24 04:33:28,14728,580,9218,4930.0,501777.0,8386.0
West Bengal,India,2020-06-25 05:26:54,15173,591,9702,4880.0,1542241.0,17996.0
West Bengal,India,2020-06-26 04:33:43,15648,606,10190,4852.0,358016.0,6235.0
West Bengal,India,2020-06-27 04:33:35,16190,616,10535,5039.0,1460847.0,16624.0
West Bengal,India,2020-06-28 04:34:04,16711,629,10789,5293.0,1509062.0,17480.0
West Bengal,India,2020-06-29 04:33:44,17283,639,11193,5451.0,145495.0,2589.0
West Bengal,India,2020-06-30 04:33:48,17907,653,11719,5535.0,245727.0,4417.0
West Bengal,India,2020-07-01 04:33:52,18559,668,12130,5761.0,551210.0,9496.0
West Bengal,India,2020-07-02 04:33:46,19170,683,12528,5959.0,528273.0,8915.0
West Bengal,India,2020-07-03 04:33:54,19819,699,13037,6083.0,542253.0,9276.0
West Bengal,India,2020-07-04 04:33:51,20488,717,13571,6200.0,1989229.0,20248.0
West Bengal,India,2020-07-05 04:33:46,21231,736,14166,6329.0,1574183.0,18438.0
West Bengal,India,2020-07-06 04:33:57,22126,757,14711,6658.0,-11428.0,-294.0
West Bengal,India,2020-07-07 04:34:00,22987,779,15235,6973.0,1492612.0,17191.0
West Bengal,India,2020-07-08 05:33:48,23837,804,15790,7243.0,1490871.0,17154.0
West Bengal,India,2020-07-09 04:34:23,24823,827,16291,7705.0,1915097.0,19403.0
West Bengal,India,2020-07-10 04:34:24,25911,854,16826,8231.0,434007.0,7218.0
West Bengal,India,2020-07-11 04:34:26,27109,880,17348,8881.0,210760.0,3726.0
West Bengal,India,2020-07-12 04:34:30,28453,906,17959,9588.0,248596.0,4412.0
West Bengal,India,2020-07-13 04:43:04,30013,932,18581,10500.0,102351.0,1757.0
West Bengal,India,2020-07-14 04:34:46,31448,956,19213,11279.0,542462.0,9295.0
West Bengal,India,2020-07-15 04:34:39,32838,980,19931,11927.0,1510148.0,17384.0
West Bengal,India,2020-07-16 04:44:59,34427,1000,20680,12747.0,1509069.0,17371.0
West Bengal,India,2020-07-17 04:34:50,36117,1023,21415,13679.0,1248856.0,13494.0
West Bengal,India,2020-07-18 04:34:45,38011,1049,22253,14709.0,435976.0,7221.0
West Bengal,India,2020-07-19 04:34:58,40209,1076,23539,15594.0,125512.0,2207.0
West Bengal,India,2020-07-20 05:34:40,42487,1112,24883,16492.0,530392.0,9123.0
West Bengal,India,2020-07-21 04:38:46,44769,1147,26418,17204.0,2261.0,35.0
West Bengal,India,2020-07-22 04:34:42,47030,1182,28035,17813.0,109736.0,1944.0
West Bengal,India,2020-07-23 05:15:04,49321,1221,29650,18450.0,-40336.0,-806.0
West Bengal,India,2020-07-24 05:30:40,51757,1255,31656,18846.0,43797.0,804.0
West Bengal,India,2020-07-25 04:47:39,53973,1290,33529,19154.0,525183.0,9008.0
West Bengal,India,2020-07-26 04:35:00,56377,1332,35654,19391.0,-31554.0,-505.0
West Bengal,India,2020-07-27 04:35:02,58718,1372,37751,19595.0,1569746.0,18324.0
West Bengal,India,2020-07-28 04:58:43,60830,1411,39917,19502.0,1474169.0,16841.0
West Bengal,India,2020-07-29 04:35:11,60830,1411,39917,19502.0,513886.0,8852.0
West Bengal,India,2020-07-30 04:35:05,65258,1490,44116,19652.0,510454.0,8782.0
West Bengal,India,2020-07-31 04:35:18,67692,1536,46256,19900.0,-53747.0,-981.0
West Bengal,India,2020-08-01 04:36:27,70188,1581,48374,20233.0,479527.0,8074.0
West Bengal,India,2020-08-02 04:34:47,72777,1629,50517,20631.0,-46866.0,-775.0
West Bengal,India,2020-08-03 04:34:35,75516,1678,52730,21108.0,2716.0,53.0
West Bengal,India,2020-08-04 04:41:59,78232,1731,54818,21683.0,1465877.0,16652.0
West Bengal,India,2020-08-05 04:34:43,80984,1785,56884,22315.0,1477876.0,16828.0
West Bengal,India,2020-08-06 04:35:02,83800,1846,58962,22992.0,1474317.0,16753.0
West Bengal,India,2020-08-07 04:35:11,86754,1902,61023,23829.0,1776943.0,18111.0
West Bengal,India,2020-08-08 04:34:53,89666,1954,63060,24652.0,2949.0,51.0
West Bengal,India,2020-08-09 04:34:54,92615,2005,65124,25486.0,1495451.0,17076.0
West Bengal,India,2020-08-10 04:34:55,95554,2059,67120,26375.0,225482.0,3997.0
West Bengal,India,2020-08-11 04:35:08,98459,2100,70328,26031.0,443165.0,7373.0
West Bengal,India,2020-08-12 04:27:29,101390,2149,73395,25846.0,458496.0,7773.0
West Bengal,India,2020-08-13 04:29:15,104326,2203,76120,26003.0,1517672.0,17381.0
West Bengal,India,2020-08-14 04:51:19,107323,2259,78617,26447.0,477982.0,8066.0
West Bengal,India,2020-08-15 04:27:31,110358,2319,81189,26850.0,143410.0,2580.0
West Bengal,India,2020-08-16 04:27:42,113432,2377,83836,27219.0,614629.0,8507.0
West Bengal,India,2020-08-17 04:27:20,116498,2428,86771,27299.0,407131.0,6672.0
West Bengal,India,2020-08-18 04:27:56,119578,2473,89703,27402.0,1504583.0,17147.0
West Bengal,India,2020-08-19 04:27:00,122753,2528,92690,27535.0,1883119.0,18295.0
West Bengal,India,2020-08-20 04:27:43,125922,2581,95663,27678.0,1880591.0,18271.0
West Bengal,India,2020-08-21 04:27:41,129119,2634,98789,27696.0,1318985.0,14008.0
West Bengal,India,2020-08-22 04:27:49,132364,2689,101871,27804.0,428345.0,7252.0
West Bengal,India,2020-08-23 04:27:48,135596,2737,104959,27900.0,99077.0,1807.0
West Bengal,India,2020-08-24 04:27:56,138870,2794,108007,28069.0,1861383.0,17893.0
West Bengal,India,2020-08-25 04:28:02,141837,2851,111292,27694.0,328661.0,5373.0
West Bengal,India,2020-08-26 04:28:11,144801,2909,114543,27349.0,1371680.0,15071.0
West Bengal,India,2020-08-27 04:28:15,147775,2964,117857,26954.0,1781186.0,17229.0
West Bengal,India,2020-08-28 04:28:11,150772,3017,121046,26709.0,17925.0,322.0
West Bengal,India,2020-08-29 04:28:19,153754,3073,124332,26349.0,-117637.0,-2050.0
West Bengal,India,2020-08-30 04:28:22,156766,3126,127644,25996.0,413232.0,7047.0
West Bengal,India,2020-08-31 04:28:27,159785,3176,130952,25657.0,409388.0,6972.0
West Bengal,India,2020-09-01 04:28:31,162778,3228,134270,25280.0,250334.0,4175.0
West Bengal,India,2020-09-02 04:28:25,165721,3283,137616,24822.0,402382.0,6832.0
West Bengal,India,2020-09-03 04:28:22,168697,3339,140913,24445.0,405065.0,6910.0
West Bengal,India,2020-09-04 04:28:26,171681,3394,144248,24039.0,401899.0,6852.0
West Bengal,India,2020-09-05 04:28:19,174659,3452,147553,23654.0,1414383.0,15644.0
West Bengal,India,2020-09-06 04:28:33,177701,3510,150801,23390.0,318821.0,5118.0
West Bengal,India,2020-09-07 04:28:30,180788,3562,154008,23218.0,163255.0,3841.0
West Bengal,India,2020-09-08 04:28:25,183865,3620,157029,23216.0,1346985.0,14560.0
West Bengal,India,2020-09-09 04:28:48,186956,3677,160025,23254.0,54103.0,988.0
West Bengal,India,2020-09-10 04:29:01,190063,3730,162992,23341.0,638303.0,7614.0
West Bengal,India,2020-09-11 04:46:23,193175,3771,166027,23377.0,263186.0,4254.0
West Bengal,India,2020-09-12 04:25:05,196332,3828,169043,23461.0,-139955.0,-2496.0
West Bengal,India,2020-09-13 04:30:52,199493,3887,172085,23521.0,1143949.0,11233.0
West Bengal,India,2020-09-14 04:26:00,202708,3945,175139,23624.0,1420901.0,15665.0
West Bengal,India,2020-09-15 03:22:50,202708,3945,175139,23624.0,-157939.0,-2798.0
West Bengal,India,2020-09-16 04:22:53,209146,4062,181142,23942.0,361435.0,6133.0
West Bengal,India,2020-09-17 04:22:00,212383,4123,184113,24147.0,1499574.0,15741.0
West Bengal,India,2020-09-18 05:05:00,215580,4183,187061,24336.0,1365640.0,14806.0
West Bengal,India,2020-09-19 04:22:00,218772,4242,190021,24509.0,212779.0,3419.0
West Bengal,India,2020-09-20 04:22:00,221960,4298,193014,24648.0,206538.0,3312.0
West Bengal,India,2020-09-21 04:23:00,225137,4359,195972,24806.0,1377309.0,14935.0
West Bengal,India,2020-09-22 04:23:00,228302,4421,198983,24898.0,1375016.0,14886.0
West Bengal,India,2020-09-23 04:23:00,231484,4483,202030,24971.0,1266821.0,13196.0
West Bengal,India,2020-09-24 04:23:00,234673,4544,205028,25101.0,525269.0,6465.0
West Bengal,India,2020-09-25 04:23:00,237869,4606,208042,25221.0,1339842.0,14318.0
West Bengal,India,2020-09-26 04:23:00,241059,4665,211020,25374.0,39445.0,711.0
West Bengal,India,2020-09-27 04:23:00,244240,4721,213975,25544.0,1274607.0,13290.0
West Bengal,India,2020-09-28 04:23:00,247425,4781,216921,25723.0,1507621.0,15120.0
West Bengal,India,2020-09-29 04:23:42,250580,4837,219844,25899.0,321640.0,5392.0
West Bengal,India,2020-09-30 04:23:33,253768,4899,222805,26064.0,-240237.0,-4359.0
West Bengal,India,2020-10-01 04:23:42,257049,4958,225759,26332.0,317877.0,5308.0
West Bengal,India,2020-10-02 04:23:51,257049,4958,225759,26332.0,1708196.0,15380.0
West Bengal,India,2020-10-03 04:23:40,263634,5070,231699,26865.0,157206.0,2436.0
West Bengal,India,2020-10-04 04:23:44,266974,5132,234712,27130.0,157701.0,2425.0
West Bengal,India,2020-10-05 04:23:33,270331,5194,237698,27439.0,-26091.0,-473.0
West Bengal,India,2020-10-06 04:23:33,273679,5255,240707,27717.0,1324086.0,13960.0
West Bengal,India,2020-10-07 04:23:40,277049,5318,243743,27988.0,52008.0,862.0
West Bengal,India,2020-10-08 04:23:56,280504,5376,246767,28361.0,-252051.0,-4470.0
West Bengal,India,2020-10-09 04:23:59,284030,5439,249737,28854.0,1295433.0,13514.0
West Bengal,India,2020-10-10 04:23:57,287603,5501,252806,29296.0,593291.0,6136.0
West Bengal,India,2020-10-11 04:23:46,291194,5563,255838,29793.0,1336296.0,14113.0
West Bengal,India,2020-10-12 04:23:45,294806,5622,258948,30236.0,311649.0,4756.0
West Bengal,India,2020-10-13 04:24:02,298389,5682,262103,30604.0,-286895.0,-5197.0
West Bengal,India,2020-10-14 04:24:05,302020,5744,265288,30988.0,-127361.0,-2292.0
West Bengal,India,2020-10-15 04:24:28,305697,5808,268384,31505.0,-285878.0,-5109.0
West Bengal,India,2020-10-16 04:24:01,309417,5870,271563,31984.0,-288929.0,-5153.0
West Bengal,India,2020-10-17 04:24:12,313188,5931,274757,32500.0,276734.0,4404.0
West Bengal,India,2020-10-18 04:24:25,317053,5992,277940,33121.0,213403.0,3243.0
West Bengal,India,2020-10-19 04:24:16,321036,6056,281053,33927.0,211659.0,3221.0
West Bengal,India,2020-10-20 04:24:22,325028,6119,284325,34584.0,1672502.0,14533.0
West Bengal,India,2020-10-21 04:24:14,329057,6180,287707,35170.0,4069.0,64.0
West Bengal,India,2020-10-22 04:24:27,333126,6244,291303,35579.0,-318398.0,-5664.0
West Bengal,India,2020-10-23 04:24:46,337283,6308,294911,36064.0,1254711.0,12818.0
West Bengal,India,2020-10-24 04:24:46,341426,6368,298587,36471.0,261381.0,4002.0
West Bengal,India,2020-10-25 04:24:36,345574,6427,302340,36807.0,1269804.0,13046.0
West Bengal,India,2020-10-26 04:25:02,349701,6487,306197,37017.0,-165836.0,-2867.0
