Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths,state_code
Tripura,2020-06-11,864,1,192,671.0,32529.0,390.0,16
Delhi,2020-06-11,31309,905,11861,18543.0,1403819.0,24113.0,7
Dadar Nagar Haveli,2020-06-11,22,0,2,20.0,1038038.0,13627.0,0
Andhra Pradesh,2020-06-11,5070,77,2802,2191.0,1909143.0,12869.0,37
Andaman and Nicobar Islands,2020-06-11,33,0,33,0.0,7587.0,129.0,35
Uttarakhand,2020-06-11,1537,13,755,769.0,341674.0,7376.0,5
Karnataka,2020-06-11,5921,66,2604,3251.0,2850570.0,35368.0,29
Telangana,2020-06-11,3920,148,1809,1963.0,722899.0,3921.0,36
Tamil Nadu,2020-06-11,34914,307,18325,16282.0,2647223.0,35526.0,33
Jharkhand,2020-06-11,1411,8,559,844.0,188.0,0.0,20
Chhattisgarh,2020-06-11,1240,6,386,848.0,1063.0,6.0,22
Uttar Pradesh,2020-06-11,11335,301,6669,4365.0,2017881.0,22953.0,9
Goa,2020-06-11,359,0,67,292.0,178040.0,3371.0,30
Arunachal Pradesh,2020-06-11,57,0,1,56.0,14334.0,35.0,12
Haryana,2020-06-11,5209,45,2134,3030.0,144824.0,1595.0,6
Punjab,2020-06-11,2719,55,2167,497.0,596022.0,16203.0,3
Nagaland,2020-06-11,127,0,10,117.0,12094.0,91.0,13
Bihar,2020-06-11,5459,32,2864,2563.0,639556.0,3711.0,10
Assam,2020-06-11,2937,4,1085,1848.0,153743.0,558.0,18
Odisha,2020-06-11,3140,9,2133,998.0,1050026.0,8437.0,21
Gujarat,2020-06-11,21014,1313,14365,5336.0,46685.0,1270.0,24
Rajasthan,2020-06-11,11245,255,8328,2662.0,938439.0,8567.0,8
Himachal Pradesh,2020-06-11,445,5,249,191.0,57480.0,979.0,2
Ladakh,2020-06-11,108,1,52,55.0,2025.0,18.0,38
Madhya Pradesh,2020-06-11,9849,420,6729,2700.0,978684.0,10219.0,23
Puducherry,2020-06-11,127,0,52,75.0,129165.0,1879.0,34
Unknown,2020-06-11,9227,0,0,9227.0,-9227.0,0.0,97
Chandigarh,2020-06-11,323,5,286,32.0,65148.0,815.0,4
Kerala,2020-06-11,2096,16,848,1232.0,1125286.0,4616.0,32
Sikkim,2020-06-11,13,0,0,13.0,32095.0,401.0,11
West Bengal,2020-06-11,8985,415,3620,4950.0,42772.0,840.0,19
Jammu and Kashmir,2020-06-11,4346,48,1506,2792.0,118762.0,1872.0,1
Mizoram,2020-06-11,88,0,1,87.0,10245.0,33.0,15
Maharashtra,2020-06-11,90787,3289,42638,44860.0,1947843.0,47966.0,27
Manipur,2020-06-11,304,0,61,243.0,28227.0,364.0,14
Meghalaya,2020-06-11,43,1,13,29.0,37690.0,642.0,17
Ladakh,2020-06-12,135,1,54,80.0,5306.0,64.0,38
Sikkim,2020-06-12,14,0,2,12.0,5982.0,129.0,11
Chandigarh,2020-06-12,332,5,286,41.0,88371.0,1110.0,4
Haryana,2020-06-12,5968,64,2260,3644.0,23007.0,314.0,6
Madhya Pradesh,2020-06-12,10241,431,7042,2768.0,783154.0,10098.0,23
Jammu and Kashmir,2020-06-12,4574,52,1820,2702.0,318848.0,4345.0,1
Punjab,2020-06-12,2887,59,2259,569.0,525789.0,12829.0,3
Telangana,2020-06-12,4320,165,1993,2162.0,44939.0,273.0,36
West Bengal,2020-06-12,9768,442,3988,5338.0,39553.0,779.0,19
Jharkhand,2020-06-12,1599,8,630,961.0,411340.0,5217.0,20
Rajasthan,2020-06-12,11838,265,8775,2798.0,943400.0,8695.0,8
Goa,2020-06-12,417,0,67,350.0,3933.0,29.0,30
Bihar,2020-06-12,5983,36,3266,2681.0,256614.0,1505.0,10
Manipur,2020-06-12,366,0,73,293.0,3575.0,12.0,14
Maharashtra,2020-06-12,97648,3590,46078,47980.0,5246415.0,76922.0,27
Dadra and Nagar Haveli and Daman and Diu,2020-06-12,30,0,2,28.0,10640.0,4.0,26
Andhra Pradesh,2020-06-12,5429,80,3048,2301.0,2058148.0,14263.0,37
Himachal Pradesh,2020-06-12,470,6,280,184.0,1255.0,5.0,2
Tripura,2020-06-12,913,1,278,634.0,83779.0,816.0,16
Chhattisgarh,2020-06-12,1398,6,447,945.0,1004042.0,13562.0,22
Unknown,2020-06-12,8315,0,0,8315.0,-8315.0,0.0,97
Andaman and Nicobar Islands,2020-06-12,38,0,33,5.0,4898.0,62.0,35
Uttarakhand,2020-06-12,1643,15,842,786.0,10850.0,143.0,5
Tamil Nadu,2020-06-12,38716,349,20705,17662.0,2507973.0,33540.0,33
Kerala,2020-06-12,2244,18,968,1258.0,3185472.0,15494.0,32
Meghalaya,2020-06-12,44,1,18,25.0,91577.0,1532.0,17
Delhi,2020-06-12,34687,1085,12731,20871.0,599837.0,9750.0,7
Puducherry,2020-06-12,157,2,67,88.0,36142.0,606.0,34
Mizoram,2020-06-12,102,0,1,101.0,116587.0,400.0,15
Odisha,2020-06-12,3386,9,2354,1023.0,1252390.0,8639.0,21
Karnataka,2020-06-12,6245,72,2977,3196.0,905137.0,11957.0,29
Nagaland,2020-06-12,128,0,22,106.0,34276.0,736.0,13
Assam,2020-06-12,3319,6,1432,1881.0,208108.0,967.0,18
Uttar Pradesh,2020-06-12,12088,345,7292,4451.0,621945.0,8549.0,9
Arunachal Pradesh,2020-06-12,61,0,4,57.0,54751.0,279.0,12
Gujarat,2020-06-12,22032,1385,15101,5546.0,30445.0,867.0,24
Punjab,2020-06-13,2887,59,2259,569.0,257133.0,7219.0,3
Manipur,2020-06-13,366,0,73,293.0,28553.0,367.0,14
Madhya Pradesh,2020-06-13,10241,431,7042,2768.0,205716.0,2916.0,23
Odisha,2020-06-13,3386,9,2354,1023.0,1043617.0,8384.0,21
Puducherry,2020-06-13,157,2,67,88.0,118259.0,1763.0,34
Uttarakhand,2020-06-13,1643,15,842,786.0,401822.0,7476.0,5
Telangana,2020-06-13,4320,165,1993,2162.0,649715.0,3687.0,36
Andaman and Nicobar Islands,2020-06-13,38,0,33,5.0,71.0,0.0,35
Rajasthan,2020-06-13,11838,265,8775,2798.0,334953.0,2601.0,8
Chhattisgarh,2020-06-13,1398,6,447,945.0,1264.0,7.0,22
Tamil Nadu,2020-06-13,38716,349,20705,17662.0,492192.0,8336.0,33
Goa,2020-06-13,417,0,67,350.0,49432.0,718.0,30
Jammu and Kashmir,2020-06-13,4574,52,1820,2702.0,215972.0,2730.0,1
Maharashtra,2020-06-13,97648,3590,46078,47980.0,1996265.0,48163.0,27
Chandigarh,2020-06-13,332,5,286,41.0,65449.0,1073.0,4
Sikkim,2020-06-13,14,0,2,12.0,32197.0,403.0,11
West Bengal,2020-06-13,9768,442,3988,5338.0,1563478.0,18421.0,19
Bihar,2020-06-13,5983,36,3266,2681.0,253798.0,1469.0,10
Uttar Pradesh,2020-06-13,12088,345,7292,4451.0,1977007.0,22780.0,9
Karnataka,2020-06-13,6245,72,2977,3196.0,2987354.0,38103.0,29
Assam,2020-06-13,3319,6,1432,1881.0,631731.0,6183.0,18
Tripura,2020-06-13,913,1,278,634.0,90022.0,837.0,16
Himachal Pradesh,2020-06-13,470,6,280,184.0,19570.0,279.0,2
Haryana,2020-06-13,5968,64,2260,3644.0,250509.0,2739.0,6
Kerala,2020-06-13,2244,18,968,1258.0,3911262.0,20116.0,32
Mizoram,2020-06-13,102,0,1,101.0,4132.0,8.0,15
Meghalaya,2020-06-13,44,1,18,25.0,13677.0,145.0,17
Unknown,2020-06-13,8315,0,0,8315.0,-8315.0,0.0,97
Nagaland,2020-06-13,128,0,22,106.0,21243.0,350.0,13
Dadra and Nagar Haveli and Daman and Diu,2020-06-13,30,0,2,28.0,3368.0,2.0,26
Arunachal Pradesh,2020-06-13,61,0,4,57.0,16784.0,56.0,12
Jharkhand,2020-06-13,1599,8,630,961.0,115489.0,1040.0,20
Ladakh,2020-06-13,135,1,54,80.0,4294.0,60.0,38
Andhra Pradesh,2020-06-13,5429,80,3048,2301.0,1652557.0,10554.0,37
Delhi,2020-06-13,34687,1085,12731,20871.0,1795581.0,24780.0,7
Gujarat,2020-06-13,22032,1385,15101,5546.0,231129.0,2965.0,24
Karnataka,2020-06-14,6516,79,3440,2997.0,11500.0,193.0,29
Jammu and Kashmir,2020-06-14,4730,53,2086,2591.0,99425.0,1560.0,1
Gujarat,2020-06-14,22527,1415,15493,5619.0,12073.0,489.0,24
Mizoram,2020-06-14,104,0,1,103.0,4078.0,8.0,15
Puducherry,2020-06-14,157,2,67,88.0,35272.0,595.0,34
Chhattisgarh,2020-06-14,1429,6,550,873.0,239434.0,2913.0,22
Manipur,2020-06-14,385,0,77,308.0,13171.0,93.0,14
Chandigarh,2020-06-14,334,5,286,43.0,64787.0,809.0,4
Andhra Pradesh,2020-06-14,5680,80,3105,2495.0,2057497.0,14259.0,37
Unknown,2020-06-14,7984,0,0,7984.0,-7984.0,0.0,97
West Bengal,2020-06-14,10244,451,4206,5587.0,552551.0,9542.0,19
Kerala,2020-06-14,2322,19,1000,1303.0,4726734.0,25507.0,32
Uttar Pradesh,2020-06-14,12616,365,7609,4642.0,190412.0,2784.0,9
Sikkim,2020-06-14,63,0,2,61.0,6170.0,135.0,11
Delhi,2020-06-14,36824,1214,13398,22212.0,1723448.0,24289.0,7
Meghalaya,2020-06-14,44,1,22,21.0,13917.0,147.0,17
Maharashtra,2020-06-14,101141,3717,47796,49628.0,1873347.0,46434.0,27
Uttarakhand,2020-06-14,1724,21,947,756.0,341277.0,7366.0,5
Goa,2020-06-14,463,0,69,394.0,49513.0,718.0,30
Madhya Pradesh,2020-06-14,10443,440,7201,2802.0,168625.0,2602.0,23
Dadra and Nagar Haveli and Daman and Diu,2020-06-14,30,0,2,28.0,3345.0,2.0,26
Punjab,2020-06-14,2986,63,2282,641.0,597665.0,16371.0,3
Himachal Pradesh,2020-06-14,486,6,297,183.0,140273.0,1996.0,2
Haryana,2020-06-14,6334,70,2475,3789.0,743728.0,7869.0,6
Assam,2020-06-14,3498,8,1537,1953.0,610668.0,6044.0,18
Odisha,2020-06-14,3498,10,2474,1014.0,990009.0,6813.0,21
Nagaland,2020-06-14,156,0,49,107.0,9482.0,52.0,13
Ladakh,2020-06-14,239,1,62,176.0,751.0,0.0,38
Telangana,2020-06-14,4484,174,2278,2032.0,660584.0,3738.0,36
Bihar,2020-06-14,6103,36,3587,2480.0,409294.0,2186.0,10
Andaman and Nicobar Islands,2020-06-14,38,0,33,5.0,6863.0,108.0,35
Arunachal Pradesh,2020-06-14,67,0,4,63.0,53923.0,271.0,12
Tripura,2020-06-14,961,1,278,682.0,31617.0,369.0,16
Tamil Nadu,2020-06-14,40698,367,22047,18284.0,216915.0,3765.0,33
Rajasthan,2020-06-14,12068,272,8898,2898.0,2862.0,77.0,8
Jharkhand,2020-06-14,1617,8,672,937.0,345941.0,5123.0,20
West Bengal,2020-06-15,10698,463,4542,5693.0,556200.0,9626.0,19
Tamil Nadu,2020-06-15,42687,397,23409,18881.0,2530665.0,33892.0,33
Chandigarh,2020-06-15,345,5,286,54.0,19078.0,310.0,4
Jammu and Kashmir,2020-06-15,4878,55,2269,2554.0,121323.0,1900.0,1
Bihar,2020-06-15,6290,39,3956,2295.0,547513.0,3038.0,10
Ladakh,2020-06-15,437,1,68,368.0,1442.0,8.0,38
Madhya Pradesh,2020-06-15,10641,447,7377,2817.0,222683.0,3055.0,23
Telangana,2020-06-15,4737,182,2352,2203.0,646551.0,3654.0,36
Delhi,2020-06-15,38958,1271,14945,22742.0,601536.0,9647.0,7
Meghalaya,2020-06-15,44,1,22,21.0,77645.0,1338.0,17
Tripura,2020-06-15,1046,1,315,730.0,29089.0,339.0,16
Odisha,2020-06-15,3723,10,2594,1119.0,979800.0,6226.0,21
Kerala,2020-06-15,2407,19,1046,1342.0,322805.0,1094.0,32
Gujarat,2020-06-15,23038,1448,15883,5707.0,801459.0,8628.0,24
Andhra Pradesh,2020-06-15,5965,82,3195,2688.0,2242643.0,14509.0,37
Nagaland,2020-06-15,163,0,76,87.0,400.0,0.0,13
Karnataka,2020-06-15,6824,81,3648,3095.0,189670.0,3429.0,29
Goa,2020-06-15,523,0,70,453.0,177789.0,3368.0,30
Unknown,2020-06-15,7436,0,0,7436.0,-7436.0,0.0,97
Haryana,2020-06-15,6749,78,2803,3868.0,764746.0,9974.0,6
Mizoram,2020-06-15,107,0,1,106.0,2983.0,2.0,15
Jharkhand,2020-06-15,1711,8,816,887.0,117531.0,1073.0,20
Punjab,2020-06-15,3063,65,2327,671.0,138595.0,4393.0,3
Rajasthan,2020-06-15,12401,282,9337,2782.0,941884.0,8672.0,8
Uttarakhand,2020-06-15,1785,23,1077,685.0,94981.0,1657.0,5
Manipur,2020-06-15,449,0,91,358.0,28489.0,367.0,14
Dadra and Nagar Haveli and Daman and Diu,2020-06-15,35,0,2,33.0,2540.0,2.0,26
Chhattisgarh,2020-06-15,1512,6,631,875.0,890819.0,11283.0,22
Andaman and Nicobar Islands,2020-06-15,38,0,33,5.0,3765.0,53.0,35
Uttar Pradesh,2020-06-15,13118,385,7875,4858.0,1697756.0,22530.0,9
Assam,2020-06-15,3718,8,1584,2126.0,210041.0,985.0,18
Arunachal Pradesh,2020-06-15,87,0,4,83.0,21535.0,78.0,12
Sikkim,2020-06-15,63,0,4,59.0,27683.0,355.0,11
Puducherry,2020-06-15,176,2,82,92.0,2339.0,33.0,34
Himachal Pradesh,2020-06-15,502,6,313,183.0,219244.0,3682.0,2
Maharashtra,2020-06-15,104568,3830,49346,51392.0,1784199.0,44744.0,27
Mizoram,2020-06-16,117,0,1,116.0,73951.0,246.0,15
Goa,2020-06-16,592,0,85,507.0,160148.0,2877.0,30
Haryana,2020-06-16,7722,100,3565,4057.0,264798.0,2956.0,6
Nagaland,2020-06-16,177,0,92,85.0,11681.0,73.0,13
Dadra and Nagar Haveli and Daman and Diu,2020-06-16,36,0,5,31.0,10634.0,4.0,26
Uttarakhand,2020-06-16,1845,24,1189,632.0,173022.0,2478.0,5
Manipur,2020-06-16,490,0,151,339.0,28903.0,374.0,14
Delhi,2020-06-16,42829,1400,16427,25002.0,1398620.0,23699.0,7
Punjab,2020-06-16,3267,71,2443,753.0,599776.0,16516.0,3
Jammu and Kashmir,2020-06-16,5220,62,2604,2554.0,347403.0,4495.0,1
Chandigarh,2020-06-16,354,6,296,52.0,64931.0,814.0,4
Tamil Nadu,2020-06-16,46504,479,25344,20681.0,2681846.0,36025.0,33
West Bengal,2020-06-16,11494,485,5494,5515.0,554988.0,9595.0,19
Andhra Pradesh,2020-06-16,6456,88,3316,3052.0,1984200.0,13527.0,37
Maharashtra,2020-06-16,110744,4128,56049,50567.0,3529111.0,55025.0,27
Chhattisgarh,2020-06-16,1756,8,890,858.0,603812.0,6666.0,22
Rajasthan,2020-06-16,12981,301,9785,2895.0,939148.0,8613.0,8
Gujarat,2020-06-16,24055,1505,16664,5886.0,802729.0,8585.0,24
Puducherry,2020-06-16,202,5,95,102.0,300.0,4.0,34
Madhya Pradesh,2020-06-16,10935,465,7903,2567.0,66388.0,1144.0,23
Himachal Pradesh,2020-06-16,556,8,353,195.0,52067.0,877.0,2
Meghalaya,2020-06-16,44,1,25,18.0,13625.0,143.0,17
Odisha,2020-06-16,4055,11,2854,1190.0,496107.0,2110.0,21
Uttar Pradesh,2020-06-16,13615,399,8268,4948.0,1697744.0,22516.0,9
Sikkim,2020-06-16,68,0,4,64.0,30095.0,373.0,11
Telangana,2020-06-16,5193,187,2766,2240.0,671183.0,3808.0,36
Unknown,2020-06-16,7684,0,0,7684.0,-7684.0,0.0,97
Karnataka,2020-06-16,7213,89,4135,2989.0,2721035.0,32202.0,29
Arunachal Pradesh,2020-06-16,91,0,7,84.0,16276.0,55.0,12
Andaman and Nicobar Islands,2020-06-16,41,0,33,8.0,4966.0,62.0,35
